"d_year","lo_partkey","lo_revenue"
1995,71008,2229183
1995,338649,4917753
1993,22549,3933426
1993,376185,4159338
1995,144003,994650
1995,452055,3757228
1996,383215,1586400
1996,131339,772866
1992,464803,2298114
1994,377692,3362392
1994,393086,5019300
1994,84300,4609352
1998,192963,5107004
1998,114831,1908588
1993,391896,7752732
1998,434360,1106660
1998,359963,1638589
1998,289206,119519
1993,384022,5474749
1993,90369,2826109
1996,308348,5154054
1992,533433,3812666
1992,42095,1415627
1997,418318,4984721
1997,467544,5087776
1993,332860,5008481
1993,568213,1153071
1994,595997,6492392
1993,68032,600018
1996,260127,4253861
1996,490390,6493260
1996,380433,5832720
1996,272204,228180
1996,490696,4810382
1993,347581,5051824
1994,125073,4051878
1998,114240,338644
1997,581545,6401982
1993,405069,543514
1998,527554,5693508
1996,386104,321324
1996,304648,4660416
1996,80060,494028
1993,7255,1464435
1993,205274,943408
1993,31104,2108498
1993,393424,1585693
1993,201544,2457401
1993,523104,529727
1992,209472,3412206
1992,588481,7307405
1997,331318,3740259
1996,191654,2297275
1995,337577,3642447
1993,332970,4706956
1996,138008,2626506
1996,486069,2806406
1997,209321,1218006
1997,246149,509235
1992,280922,5840030
1992,439219,3669145
1992,142660,6640374
1996,555322,5578065
1992,163976,6609502
1998,528366,6422330
1996,560334,4238702
1996,484319,3117469
1996,97057,4743225
1996,434126,3218463
1993,506493,3820649
1993,220181,2883964
1993,365873,8562005
1995,63914,7932291
1994,227679,4532387
1996,179503,7050037
1992,250010,4233600
1994,225342,5395023
1994,238359,1017114
1995,389702,7829685
1997,166099,5242905
1997,423822,5645917
1996,294264,1207920
1994,109253,5743237
1993,400640,6000714
1995,50136,5104811
1995,229274,457238
1994,11216,1897094
1994,101360,1535614
1994,295809,5233891
1994,303,4127319
1996,579407,4922890
1997,145513,2314387
1997,452252,2601136
1997,186976,6642763
1994,80823,2298066
1992,105594,950156
1996,182662,5129300
1994,23311,1466360
1994,384306,3776027
1994,243931,2092410
1994,539626,3957465
1992,184141,4952015
1992,50906,3093595
1992,332187,4020822
1997,416091,1495498
1997,239273,460658
1997,351506,5158406
1998,14873,5694365
1997,374857,7524516
1997,349574,4627146
1992,379393,135458
1992,577623,2033917
1997,556818,523066
1998,54669,1768165
1998,291670,756055
1994,92144,3449321
1994,52305,125730
1995,411309,732168
1995,390789,357156
1992,12404,4515252
1993,311116,4639143
1993,94370,5386532
1995,240689,1515593
1995,54831,5093187
1994,523112,4767378
1994,139525,758792
1992,376606,908598
1995,38346,2989943
1993,481873,6610685
1998,348818,1344096
1995,188661,4155442
1995,225297,2395668
1997,32330,2966475
1997,216133,5037874
1992,419945,2834678
1993,568027,2818530
1996,525265,4644864
1995,200336,2447913
1993,3405,4258842
1998,433874,4035121
1998,151746,4206711
1998,539982,2157431
1993,412933,4684919
1997,284528,140663
1997,47718,646295
1998,155473,6355378
1998,33168,3699897
1992,41435,4258674
1992,162572,2402817
1996,75959,3455820
1992,217346,6190317
1992,289713,326918
1995,37084,3763700
1996,460072,3935206
1993,211302,4083934
1993,546465,5341428
1997,96461,1233011
1997,561567,1612254
1998,556524,5942680
1998,281531,6178644
1997,298095,2685697
1998,10928,8275140
1998,370277,3659158
1998,477631,2573776
1994,534435,6413974
1996,598348,951678
1996,434129,2498285
1996,395643,2807887
1992,452514,3064964
1998,568774,1990170
1998,287660,3830786
1998,161425,2501644
1992,556434,700492
1992,415865,2393448
1996,71116,1328448
1998,100686,4842458
1992,8668,3632624
1996,503061,1896119
1995,46775,2386373
1994,287969,8414885
1994,154690,3531252
1993,379433,3176082
1993,411762,4499013
1997,42785,1036668
1995,447881,5673123
1995,202596,2253864
1995,372236,2311624
1995,243051,1431417
1996,121530,6386097
1996,150936,5229599
1993,222900,3084329
1993,203703,289204
1993,591943,5164626
1994,342550,1891937
1996,12928,5412304
1996,393706,7331937
1994,518049,1056349
1995,58710,5865515
1996,139980,5542825
1993,163705,6579564
1994,411816,3459035
1998,31780,2310903
1998,441134,3898348
1997,342177,5157046
1992,130728,7108746
1995,234993,3123327
1993,198947,7365384
1997,425526,1849211
1997,115934,5485153
1993,563007,641988
1993,130326,1477032
1993,64633,6801110
1993,401338,4164081
1992,66875,7625341
1997,470013,1016411
1997,222269,5199806
1997,564278,2343568
1997,88156,210523
1997,230839,3907762
1997,295258,5534307
1995,571713,7870482
1993,454687,2994387
1997,537144,3307136
1996,358071,5532394
1996,398944,6578234
1993,394612,6971461
1996,467466,5524477
1996,197952,4046601
1992,116613,7039915
1996,233128,2881974
1997,266929,6313380
1992,206283,3686737
1992,297613,2899080
1992,421189,1298887
1993,32333,721238
1994,205255,1510632
1996,432856,3058899
1996,91742,3058317
1994,590907,9206231
1993,296237,1032205
1993,378013,4249445
1996,575353,4613505
1996,588870,1140050
1998,303689,7540844
1994,401318,5216122
1994,220616,1857749
1994,487851,4060136
1994,304929,7391404
1996,279421,2882043
1994,407923,7382188
1993,340568,6282996
1995,350633,2309926
1998,4330,4430010
1997,60877,2315716
1998,166638,6581576
1998,439145,4993456
1997,218642,1161108
1993,108938,177170
1993,308136,1318026
1996,231357,644170
1992,157354,1798059
1997,289111,1463133
1994,57425,6231949
1994,568318,1235184
1994,527596,2922426
1996,255410,3539116
1997,38549,2165858
1997,416225,2252728
1997,466787,1832679
1995,501164,3197144
1996,104871,7850515
1996,366319,4937209
1996,443447,625689
1995,251482,516049
1997,329106,2135104
1992,480404,5399082
1996,379216,5478696
1996,379652,4329100
1993,215493,409867
1993,176702,8367004
1992,345302,5214012
1992,287004,4756752
1992,559516,5388175
1994,95546,4686281
1994,477281,4190005
1994,407790,2607774
1998,582175,5913633
1995,594261,5784164
1992,211255,443171
1994,183231,2122481
1997,125537,7422017
1995,464966,7001588
1995,337168,2410300
1997,352071,1185951
1997,46583,734198
1997,504538,2980129
1997,564830,862138
1992,35643,1894368
1992,173244,1090674
1992,265623,7167808
1992,150217,4050003
1993,267467,6261374
1994,153362,1882428
1998,411939,6829857
1998,493624,2484633
1998,122157,4339272
1992,267619,5667335
1993,464716,4840387
1993,534124,224671
1995,352600,5777454
1995,534472,5070710
1995,454017,1048669
1993,312210,2757283
1998,221065,1008729
1998,235067,1250558
1998,219429,6278196
1995,353010,1063000
1998,436446,3147770
1997,437551,736822
1997,89012,2792817
1992,210564,2189706
1996,448018,1651842
1993,50319,5597657
1997,41109,1260120
1997,305486,5220145
1997,64951,6188518
1993,474739,5938005
1992,144981,8853532
1998,581046,1991444
1994,239444,1018204
1994,176879,1689871
1996,521506,6323767
1996,460047,3573913
1992,172097,2151125
1996,236611,6521586
1994,218289,118312
1994,372986,4595621
1992,350617,7680965
1998,359448,6417129
1998,427208,5285398
1998,151276,976870
1992,204059,2383524
1997,158902,9412320
1997,326280,1536173
1997,235617,6174690
1997,312456,2202660
1998,487314,5210365
1997,403826,7638796
1995,128462,4131555
1995,43471,6376430
1995,411987,1367251
1997,589042,1074469
1997,444209,3803187
1998,537198,4644239
1997,334694,7716827
1997,544321,5562232
1994,581652,3668361
1994,17083,4600368
1994,464307,4656698
1994,596865,1345822
1997,447643,6497682
1998,422888,537825
1994,512568,3526184
1994,528677,475876
1995,22958,8575251
1993,526053,971127
1994,307947,5082818
1998,547657,6116212
1998,171393,6888490
1992,128790,2482648
1992,372714,8129485
1993,229434,1587020
1993,496714,4572674
1992,573409,6744829
1992,115161,2100621
1997,546518,6157832
1995,518672,6005188
1995,520183,1970776
1993,177940,3190363
1996,568747,2560165
1996,314479,5817026
1992,439068,2990908
1997,494864,4104318
1993,56522,140459
1993,158291,2698580
1993,595370,5657716
1993,540722,1522972
1996,284205,216432
1996,31099,3065547
1994,431986,3924146
1992,327325,5783829
1994,217035,2252479
1994,292288,4881669
1994,281344,3053560
1992,148789,6123482
1992,324286,5157222
1992,287519,1328733
1992,522510,147119
1994,413778,2202658
1992,357648,7139767
1995,28163,1865883
1996,554678,1450228
1996,272984,7123370
1996,214829,2905187
1997,107635,7411546
1997,327403,6579794
1994,258790,6752039
1994,162985,3244000
1994,276959,528511
1994,563062,931533
1996,548513,741707
1996,497484,4148088
1998,556232,4895198
1992,98317,6187218
1992,13197,2298093
1997,436515,6409779
1997,307012,3562424
1998,6498,983143
1997,238691,3148541
1993,292994,1168344
1992,67030,3693996
1992,409269,3888192
1992,119080,5440446
1995,295413,5327977
1994,345440,1934029
1993,28270,4280220
1997,291407,2417816
1997,287167,2654545
1998,297346,3707590
1995,287425,5288063
1995,320161,687429
1995,142968,4291388
1995,121966,9446785
1997,496355,4493172
1997,433312,1109553
1992,12443,4337408
1992,318764,4765290
1995,48887,3624027
1995,183856,902030
1995,541885,3965477
1992,228253,4571398
1993,229759,7092708
1993,63183,1134718
1998,249424,2288101
1998,466456,1351308
1998,598924,8747019
1994,431617,3100277
1996,482036,3771727
1992,174286,244850
1994,548384,1615702
1994,164779,5962752
1998,411046,92830
1993,31769,1119100
1997,235129,2614518
1997,202910,7249787
1994,195395,4903383
1997,96436,1186052
1995,149380,4386767
1994,336538,289711
1994,588352,2851853
1994,248801,2138243
1994,187895,8119934
1996,581723,4551453
1995,596483,4852101
1995,273629,3538562
1995,65452,1998604
1992,395174,2558626
1994,241354,5720221
1995,569874,8762875
1995,364528,748479
1995,9345,2383246
1992,496866,1609493
1992,575980,3865204
1993,134213,4407640
1993,595537,3820073
1994,217214,214928
1993,208816,2293984
1993,164420,3414166
1992,206872,8193429
1992,490462,1408866
1992,383141,4348109
1993,54616,6181920
1997,582665,6663751
1992,174642,3568894
1998,312885,1262083
1993,270069,4301667
1993,392223,4907048
1993,480239,573028
1995,265758,6977699
1994,277588,5861494
1996,387637,5863708
1995,424603,2444128
1994,125199,4749857
1996,16318,4643474
1992,346967,1466155
1992,71072,2327089
1993,109941,8344170
1992,26614,6778684
1995,153236,3001327
1992,413269,2638759
1996,521962,8445632
1995,205290,1054236
1992,100518,2118321
1992,210970,1459624
1992,9504,260084
1992,132367,4030156
1992,329184,3384744
1994,167450,6561453
1994,83244,1767225
1997,499677,3520965
1994,424578,6491016
1994,3361,5467092
1994,558627,7846468
1994,140047,4197061
1995,196479,1347026
1995,466611,2574626
1992,350360,6295802
1998,597225,925540
1998,145041,4642821
1997,548840,5130035
1992,113178,321615
1992,177909,6723669
1992,299792,4741049
1994,549137,2914272
1992,299152,3352119
1994,577892,4968012
1994,89844,495136
1994,475822,4179885
1998,255564,6105551
1998,132389,2835653
1995,25461,1147988
1997,393233,493353
1997,164120,4774371
1997,157458,4009880
1997,485358,1063917
1992,53202,2129033
1992,10741,6012333
1992,515110,3638541
1992,186923,2315427
1997,500622,6406024
1998,430308,1894568
1996,156828,7341373
1996,134090,4966229
1995,44447,3545389
1995,20108,3809110
1998,510088,1341829
1994,150224,4281379
1993,92814,5843223
1992,289629,6264020
1994,457354,477324
1992,137318,788790
1995,182359,4423503
1995,590751,5469938
1998,319776,5177176
1992,234027,4566719
1996,40862,3748145
1994,516205,1795134
1994,68745,4832746
1997,195685,2468022
1998,212754,666696
1992,179349,1246940
1992,247476,3044780
1995,517590,5742240
1995,557096,3076390
1994,542483,579674
1994,500739,4627628
1995,377656,5159312
1992,184010,4244758
1996,103616,6530267
1996,267833,4541668
1992,359997,4541811
1992,401892,5171727
1992,18780,6727168
1996,183555,5161432
1993,223485,4732459
1993,296397,4458816
1998,140026,601235
1998,46466,3014189
1997,212341,2167007
1993,321257,6012840
1994,285364,5586309
1996,279190,3928444
1996,197122,5364128
1994,258893,4166730
1994,485473,857568
1996,467300,4151609
1992,460584,3591102
1992,482808,1052978
1992,149079,1340147
1993,141258,1372008
1993,587571,5201212
1992,85693,2998140
1993,433712,5050622
1993,207835,3808061
1998,152370,1308580
1998,479077,4223143
1993,486655,1260771
1997,427284,2136662
1997,151278,5341006
1995,169008,4962816
1995,40244,4185104
1995,175886,4979251
1995,203022,3330036
1995,585342,1491549
1994,334637,1588039
1992,91412,3502911
1997,145472,1711706
1997,543986,1808694
1997,290604,2232426
1992,206295,3798447
1992,397577,7713023
1992,17245,5073177
1995,3256,1832774
1995,556877,3221794
1995,248688,952541
1992,368425,430102
1992,322048,1868272
1994,486393,1776628
1993,221480,5133584
1997,448608,2460952
1992,265688,1537913
1992,210905,2491401
1992,473167,5530819
1992,105607,6966432
1992,280484,5982359
1992,328953,8663059
1994,191584,3483530
1998,83405,5064883
1996,17820,2213982
1995,476977,7239384
1995,537769,876268
1995,475332,258847
1995,490833,5144968
1995,24433,2470522
1992,238782,1280252
1993,197816,1148286
1992,413860,842574
1992,264810,6694545
1994,535186,241789
1993,579054,3961072
1993,114099,4710596
1997,300712,1102978
1992,459779,2347312
1992,556614,4971675
1996,576912,5489336
1992,64692,5248393
1992,62005,826785
1994,253938,2436792
1994,8550,137103
1998,241946,5663790
1998,266030,3352603
1997,128499,5279005
1995,424912,3971356
1997,114813,5615032
1997,56314,6351550
1997,71450,2228833
1993,461293,4451404
1992,387265,3672711
1992,197587,7428997
1992,435980,6698196
1997,489312,1210199
1997,551676,974394
1996,371624,3357307
1996,480865,671885
1996,486390,4759487
1996,512339,385123
1993,261093,4192076
1997,90046,3795014
1997,566393,1328026
1995,257847,2252427
1997,242381,5046009
1997,288044,396299
1997,350650,4744785
1997,334985,9303981
1995,336677,3358773
1996,34167,3815519
1993,115038,1245734
1993,375464,5209498
1995,551453,1877528
1995,407958,709053
1995,132231,4877331
1992,67573,415953
1994,228746,5700780
1994,33659,4790691
1994,183775,3457312
1994,142675,1406771
1994,326518,2389341
1994,186888,6497355
1992,39104,2467974
1992,227939,3993341
1994,462736,6132343
1994,3141,920931
