"lo_orderdate","lo_partkey","lo_revenue","lo_suppkey"
19930203,164036,2910679,1492
19930203,145011,1672719,703
19930603,103277,4516792,1348
19931207,130991,8718820,1698
19930804,55417,4526208,585
19931230,84633,7217865,1125
19931022,197219,1805840,206
19931022,40489,415978,1719
19930521,48336,4450203,1741
19930521,173108,584644,682
19930318,183604,6780776,322
19930525,96002,677642,1037
19930525,104687,1507286,469
19930322,176245,6408014,1496
19930930,197158,3408987,1701
19931217,110492,4372245,1225
19931217,37605,305434,1255
19930201,193904,581388,1865
19931023,66709,1990731,710
19931023,184785,6166534,320
19930906,105604,4683936,69
19930906,79895,5382809,1941
19930331,96992,5316570,1802
19930107,131459,5459518,1780
19930726,198931,5967994,814
19930614,123675,7903911,292
19930614,193406,1308976,1555
19931019,67878,7878173,343
19930422,157988,5614169,1826
19930422,191787,1487993,242
19930101,198148,3419408,483
19930710,151512,1857449,1850
19930624,180170,3759261,1494
19930624,4563,5978839,1288
19930509,161539,6365307,1801
19930124,15856,6945652,297
19930422,68699,3235318,1839
19930118,151483,3721114,775
19930118,173609,6925581,69
19930502,67402,4649113,1507
19930326,195731,7957235,916
19930515,190721,2869764,544
19931205,174252,1286462,1629
19931205,53300,122823,1293
19930515,36164,2347741,822
19930226,181782,3105057,1811
19930226,34907,5359929,856
19930226,76115,2484457,1680
19930703,78647,5416632,1427
19930117,26190,757893,476
19930529,184523,7484613,506
19930729,29586,441033,1293
19930406,167574,3025413,399
19930324,3752,7950911,1874
19930106,177512,3237831,1960
19930106,186070,4261274,1015
19930106,61982,5845547,738
19930607,160207,860428,830
19930312,173641,2016416,1151
19930425,83529,3961289,299
19930425,165091,1009266,493
19930425,164199,4251897,1308
19930313,108810,1800621,829
19930202,163486,5215549,1603
19930202,92635,789400,238
19930202,103903,6288956,378
19931116,160938,9301021,1479
19931116,70604,155885,1047
19930609,114847,2189523,1159
19930609,368,1476371,1229
19931214,5534,1140107,20
19930419,145936,5959663,267
19931003,17953,1100118,668
19930226,72110,3213866,1373
19930226,150288,1987345,1082
19930301,104316,5046224,1749
19930301,26518,4719214,1693
19930301,183613,5374860,1573
19930213,118267,5793952,1563
19930526,80874,3598447,1858
19930526,185651,3874466,1771
19930410,142102,2996397,979
19931116,97865,8945453,172
19930810,98740,7838239,1582
19931101,8695,6600788,668
