"lo_orderdate","lo_partkey","lo_revenue"
19960102,155190,2032150
19960102,67310,4184467
19960102,15635,4614674
19961201,106170,4469446
19931014,183095,3166705
19940730,37531,6755238
19920221,139636,5703844
19960110,182052,1265599
19960110,79251,4047522
19931027,33918,6909476
19951023,161940,6398200
19920603,126782,6701529
19960920,67831,7778140
19950318,59694,4170606
19950318,1388,2464005
19961219,20193,1215603
19961219,40613,3394637
19980418,7068,277892
19980418,175180,5658351
19980418,82758,4559024
19940604,104180,3486225
19931218,45734,1829225
19980124,65916,513761
19940417,135390,4233408
19930129,77699,2994568
19960317,138418,1642830
19960620,194658,1020042
19921119,2867,7490047
19921119,39444,4382737
19921119,168569,155568
19920508,11860,3061774
19930611,140449,2680992
19930611,119053,4563716
19930611,114419,4403435
19951021,108205,5359917
19970905,36818,4548467
19921021,91309,3076509
19921021,3037,1967482
19930130,58520,2217780
19930130,139190,5601418
19950912,99652,6297741
19971125,82915,4649879
19930808,93878,4046982
19920405,56176,869506
19950407,17936,4449432
19980102,101952,6319074
19940618,108609,5279846
19940618,93857,7745807
19950525,171925,726878
19950525,198212,5542188
19930310,37309,3969465
19930310,117956,367154
19930310,82937,9031350
19930310,117961,2521195
19951110,174102,2625055
19931229,83580,3064616
19931229,176948,595332
19931019,118399,5102604
19980328,146229,848021
19931229,161762,7632435
19931229,132912,5908636
19930929,192201,775920
19961210,5337,3242481
19930629,173959,5236879
19930629,118455,6931108
19951125,60074,3105312
19970221,98833,6462696
19970221,78406,2446234
19970210,39439,6550299
19940101,1888,868091
19921002,186406,1477476
19921002,117267,1602756
19920319,183246,1249485
19931017,158791,5723250
19931017,185139,569220
19931017,18788,5555568
19950604,156712,7106676
19931231,102699,6503859
19960314,49480,1841170
19940630,45214,417315
19940630,107463,6917043
19940630,55342,4946757
19961009,113143,2825606
19961009,185814,6360563
19930920,190028,4308849
19930920,96557,2143899
19930920,161283,4172645
19941219,11158,1924470
19941219,182663,3854417
19920303,63342,5820511
19920303,92053,1149555
19920303,131403,1847507
19960322,53025,4138980
19950125,152405,5115474
19970126,55927,3291344
19940217,189295,251940
19980407,124632,1658286
19941117,121586,2048056
19930927,174101,2732107
19940206,131087,221379
19961001,152691,5466468
19961001,70495,2044358
19961001,148401,2439340
19951031,100885,905222
19951031,161079,2382746
19920222,133070,108100
19970531,175984,8623076
19960601,131890,4877756
19950821,125197,488876
19950821,137283,2975911
19950720,9982,527862
19950305,106298,632580
19950305,152726,5400193
19980525,129532,5509077
19980525,76558,4124870
19970526,197917,8976424
19970526,94318,3417255
19930508,52148,2323495
19921008,20646,2738486
19960326,38215,5251718
19970103,31950,7960648
19970103,164805,3825610
19970103,96871,1849191
19960311,67040,3907315
19960311,28099,286558
19950520,179419,5693958
19950520,82470,1321747
19950501,61732,3082588
19930829,182145,1349854
19980421,24974,2067978
19970407,44551,4061913
19980208,83164,2506544
19980208,70019,1566591
19980208,196358,5161488
19980208,185956,9507319
19971031,150926,569352
19930217,138474,6539920
19960622,70789,7123589
19920713,65213,3902231
19920713,23480,5013230
19950802,190307,4158364
19950530,161089,1711319
19970513,33096,580406
19970110,155542,6262356
19970319,144364,130977
19970319,119625,6956742
19970319,188537,2028661
19960228,153579,2853732
19960228,197310,5460362
19950802,110792,7950303
19950802,189280,3475232
19930127,80676,152413
19921021,87737,158675
19921201,194109,2526510
19930123,416,4791732
19930830,125192,2169032
19930830,70043,2456622
19930830,3794,6473673
19950325,12260,3282328
19950325,44743,6055611
19941203,4703,6498323
19941122,29744,3775957
19941122,98738,5845833
19970731,156455,145099
19970731,136633,5376208
19970731,4669,6587340
19961213,50972,1574912
19961213,77668,3060927
19961213,165127,3658616
