"d_yearmonthnum","s_city","lo_custkey","lo_revenue"
199206,"RUSSIA   2",12533,2151630
199204,"RUSSIA   3",3974,2665275
199203,"RUSSIA   2",10417,2688336
199206,"RUSSIA   4",8344,2927633
199210,"RUSSIA   9",15490,2793473
199211,"RUSSIA   2",12940,2431656
199212,"RUSSIA   4",15247,2739384
199207,"RUSSIA   2",11504,1840160
199205,"RUSSIA   6",8177,3436772
199204,"RUSSIA   6",12241,3183415
199211,"RUSSIA   4",23242,3201894
199211,"RUSSIA   4",457,2880271
199212,"RUSSIA   2",7711,3004548
199212,"RUSSIA   3",11971,1982809
199210,"RUSSIA   9",23075,1642793
199202,"RUSSIA   4",2755,2012580
199201,"RUSSIA   9",16640,2146577
199203,"RUSSIA   6",7333,3426766
199201,"RUSSIA   5",17047,2775197
199201,"RUSSIA   8",7066,2086339
199201,"RUSSIA   6",2887,3932370
199212,"RUSSIA   6",29086,2334999
199210,"RUSSIA   0",7936,1772046
199205,"RUSSIA   3",11258,3503800
199206,"RUSSIA   4",6932,2181103
199205,"RUSSIA   8",20762,3126741
199207,"RUSSIA   2",20911,2147438
199208,"RUSSIA   2",29983,1958185
199201,"RUSSIA   4",16706,4087376
199211,"RUSSIA   5",12161,1780604
199204,"RUSSIA   5",29653,2272907
199212,"RUSSIA   4",19369,2534527
199212,"RUSSIA   3",27230,2936088
199202,"RUSSIA   3",2491,5024876
199206,"RUSSIA   5",17074,2307048
199202,"RUSSIA   3",2866,2221474
199210,"RUSSIA   2",24181,4208587
199207,"RUSSIA   4",23143,3392887
199206,"RUSSIA   6",15683,2853532
199212,"RUSSIA   3",11516,2239459
199208,"RUSSIA   3",6400,1616012
199212,"RUSSIA   4",8203,2947080
199202,"RUSSIA   2",5368,4032787
199206,"RUSSIA   3",5986,2550384
199209,"RUSSIA   2",15505,4481121
199210,"RUSSIA   5",27112,3513445
199210,"RUSSIA   2",4763,2390293
199202,"RUSSIA   4",13003,2794110
199209,"RUSSIA   1",17405,3853881
199205,"RUSSIA   0",23459,3065273
199211,"RUSSIA   3",4474,3448947
199209,"RUSSIA   3",3226,2734084
199211,"RUSSIA   9",5150,2807938
199210,"RUSSIA   1",10282,2211854
199206,"RUSSIA   3",25117,2408402
199209,"RUSSIA   7",28519,2385763
199207,"RUSSIA   4",23122,4406158
199211,"RUSSIA   7",21850,3719574
199209,"RUSSIA   4",24700,1914212
199212,"RUSSIA   3",23827,2782474
199210,"RUSSIA   6",1366,2452216
199205,"RUSSIA   6",20026,3496383
199209,"RUSSIA   0",14353,3065951
199201,"RUSSIA   5",18913,3305277
199210,"RUSSIA   0",13747,3100723
199207,"RUSSIA   2",23347,1925971
199212,"RUSSIA   5",18470,3927710
199201,"RUSSIA   5",22331,3116397
199207,"RUSSIA   3",8464,3386401
199205,"RUSSIA   3",28867,4268982
199201,"RUSSIA   3",10702,2824192
199207,"RUSSIA   0",23947,3053799
199204,"RUSSIA   3",7079,3865377
199208,"RUSSIA   7",12169,4180755
199202,"RUSSIA   4",15064,3681288
199209,"RUSSIA   6",19927,3027650
199205,"RUSSIA   0",11125,4086244
199207,"RUSSIA   3",22502,3312829
199212,"RUSSIA   4",6418,2324669
199206,"RUSSIA   4",18209,2738565
199202,"RUSSIA   3",3397,3315279
199204,"RUSSIA   5",7675,3147896
199203,"RUSSIA   7",11989,4401943
199209,"RUSSIA   8",1162,3478566
199210,"RUSSIA   3",23261,3333195
199201,"RUSSIA   7",27382,2344408
199205,"RUSSIA   2",19130,2123893
199210,"RUSSIA   9",24037,2536920
199210,"RUSSIA   8",10508,3182471
199206,"RUSSIA   9",28180,2576849
199207,"RUSSIA   5",15310,2428240
199211,"RUSSIA   3",26215,4523413
199208,"RUSSIA   2",12697,2807552
199201,"RUSSIA   4",1472,2958449
199205,"RUSSIA   2",12233,2942406
199205,"RUSSIA   6",27920,2479954
199205,"RUSSIA   5",19736,2613168
199203,"RUSSIA   0",19825,3096531
199210,"RUSSIA   3",5476,4565045
199203,"RUSSIA   4",28873,2780338
199202,"RUSSIA   3",11545,2351571
199205,"RUSSIA   5",20845,2455511
199212,"RUSSIA   4",1060,3902220
199204,"RUSSIA   5",15221,4287338
199211,"RUSSIA   2",14389,4616392
199207,"RUSSIA   4",4504,2851835
199206,"RUSSIA   2",2131,2175275
199210,"RUSSIA   4",23672,2922622
199201,"RUSSIA   4",7405,3445574
199204,"RUSSIA   2",20446,2817871
199209,"RUSSIA   0",21802,2357391
199202,"RUSSIA   5",18475,2914795
199205,"RUSSIA   2",28628,1595649
199210,"RUSSIA   5",28576,3302821
199207,"RUSSIA   5",2185,2603577
199202,"RUSSIA   7",4867,2597124
199201,"RUSSIA   0",11792,2705645
199201,"RUSSIA   5",20135,3141612
199207,"RUSSIA   8",25678,3692339
199207,"RUSSIA   5",25664,1628967
199207,"RUSSIA   3",13394,3234689
199203,"RUSSIA   1",27439,2610536
199212,"RUSSIA   7",8749,2745524
199202,"RUSSIA   6",21511,2393582
199205,"RUSSIA   3",24154,2554853
199209,"RUSSIA   9",15721,3593708
199209,"RUSSIA   2",1315,3267091
199206,"RUSSIA   4",18382,2371507
199201,"RUSSIA   3",23161,3634493
199202,"RUSSIA   2",8435,2351639
199203,"RUSSIA   8",11080,2970992
199202,"RUSSIA   0",21067,2766210
199202,"RUSSIA   6",17230,3655280
199206,"RUSSIA   4",13768,4008839
199212,"RUSSIA   5",23648,3232463
199207,"RUSSIA   5",24439,3178481
199201,"RUSSIA   2",14426,3806316
199202,"RUSSIA   4",10141,2876227
199207,"RUSSIA   2",21478,3133389
199203,"RUSSIA   0",6280,4082327
199202,"RUSSIA   4",2176,2329180
199212,"RUSSIA   8",20218,2833007
199202,"RUSSIA   9",5890,2541345
199204,"RUSSIA   5",21782,2799095
199205,"RUSSIA   6",5927,3365832
199210,"RUSSIA   4",11849,2801778
199201,"RUSSIA   7",3991,1458329
199212,"RUSSIA   5",16876,5044679
199210,"RUSSIA   6",13760,2544192
199201,"RUSSIA   2",9004,2209055
199209,"RUSSIA   3",649,2736689
199202,"RUSSIA   2",16393,2659374
199211,"RUSSIA   9",24436,2509097
199211,"RUSSIA   8",17797,3316334
199211,"RUSSIA   3",11569,3098652
199204,"RUSSIA   0",21623,2558048
199210,"RUSSIA   9",4117,3810264
199204,"RUSSIA   0",1976,2570424
199207,"RUSSIA   9",26465,2176441
199210,"RUSSIA   4",11509,2873862
199203,"RUSSIA   8",5374,2149392
199212,"RUSSIA   7",11812,2653117
199206,"RUSSIA   8",24655,3686024
199209,"RUSSIA   2",19954,4192947
199209,"RUSSIA   1",19954,3110704
199210,"RUSSIA   2",20386,1822581
199206,"RUSSIA   3",29741,3729752
199207,"RUSSIA   7",17395,2277731
199210,"RUSSIA   5",6491,2340974
199204,"RUSSIA   6",11326,3159522
199203,"RUSSIA   0",4294,4245058
199202,"RUSSIA   3",26312,2800124
199207,"RUSSIA   3",27214,4400103
199205,"RUSSIA   4",3383,1846261
199207,"RUSSIA   7",12337,3281083
199210,"RUSSIA   7",9955,2011236
199210,"RUSSIA   3",9955,4424603
199206,"RUSSIA   5",7654,3119474
199208,"RUSSIA   0",4477,2511115
199202,"RUSSIA   7",8569,2758206
199210,"RUSSIA   0",16577,4006275
199204,"RUSSIA   0",26402,3192588
199204,"RUSSIA   5",26402,4207241
199204,"RUSSIA   8",17135,3128015
199203,"RUSSIA   5",10433,3517436
199203,"RUSSIA   5",27940,4068340
199203,"RUSSIA   4",27940,2507076
199208,"RUSSIA   3",8836,4689478
199212,"RUSSIA   9",27961,3919255
199208,"RUSSIA   9",5227,2391653
199206,"RUSSIA   3",2359,2613482
199205,"RUSSIA   0",5485,1691425
199203,"RUSSIA   2",12262,3898068
199205,"RUSSIA   2",4453,2384355
199205,"RUSSIA   1",9551,1840148
199201,"RUSSIA   4",21734,3310873
199212,"RUSSIA   6",12058,2545442
199203,"RUSSIA   4",27599,2742755
199205,"RUSSIA   4",29780,2433526
199208,"RUSSIA   4",15217,1645802
199210,"RUSSIA   4",1543,2568384
199210,"RUSSIA   3",8434,2649284
199206,"RUSSIA   9",24742,2349296
