"s_city","lo_custkey","lo_orderdate","lo_revenue"
"RUSSIA   2",12533,19920604,2151630
"RUSSIA   3",3974,19920407,2665275
"RUSSIA   2",10417,19920309,2688336
"RUSSIA   4",8344,19920607,2927633
"RUSSIA   9",15490,19921017,2793473
"RUSSIA   2",12940,19921119,2431656
"RUSSIA   4",15247,19921207,2739384
"RUSSIA   2",11504,19920708,1840160
"RUSSIA   6",8177,19920504,3436772
"RUSSIA   6",12241,19920401,3183415
"RUSSIA   4",23242,19921120,3201894
"RUSSIA   4",457,19921127,2880271
"RUSSIA   2",7711,19921230,3004548
"RUSSIA   3",11971,19921209,1982809
"RUSSIA   9",23075,19921028,1642793
"RUSSIA   4",2755,19920225,2012580
"RUSSIA   9",16640,19920109,2146577
"RUSSIA   6",7333,19920320,3426766
"RUSSIA   5",17047,19920118,2775197
"RUSSIA   8",7066,19920106,2086339
"RUSSIA   6",2887,19920115,3932370
"RUSSIA   6",29086,19921222,2334999
"RUSSIA   0",7936,19921021,1772046
"RUSSIA   3",11258,19920524,3503800
"RUSSIA   4",6932,19920615,2181103
"RUSSIA   8",20762,19920516,3126741
"RUSSIA   2",20911,19920723,2147438
"RUSSIA   2",29983,19920829,1958185
"RUSSIA   4",16706,19920130,4087376
"RUSSIA   5",12161,19921124,1780604
"RUSSIA   5",29653,19920422,2272907
"RUSSIA   4",19369,19921209,2534527
"RUSSIA   3",27230,19921227,2936088
"RUSSIA   3",2491,19920210,5024876
"RUSSIA   5",17074,19920604,2307048
"RUSSIA   3",2866,19920201,2221474
"RUSSIA   2",24181,19921025,4208587
"RUSSIA   4",23143,19920711,3392887
"RUSSIA   6",15683,19920601,2853532
"RUSSIA   3",11516,19921210,2239459
"RUSSIA   3",6400,19920812,1616012
"RUSSIA   4",8203,19921225,2947080
"RUSSIA   2",5368,19920202,4032787
"RUSSIA   3",5986,19920618,2550384
"RUSSIA   2",15505,19920923,4481121
"RUSSIA   5",27112,19921027,3513445
"RUSSIA   2",4763,19921003,2390293
"RUSSIA   4",13003,19920224,2794110
"RUSSIA   1",17405,19920908,3853881
"RUSSIA   0",23459,19920502,3065273
"RUSSIA   3",4474,19921104,3448947
"RUSSIA   3",3226,19920918,2734084
"RUSSIA   9",5150,19921124,2807938
"RUSSIA   1",10282,19921007,2211854
"RUSSIA   3",25117,19920603,2408402
"RUSSIA   7",28519,19920929,2385763
"RUSSIA   4",23122,19920715,4406158
"RUSSIA   7",21850,19921102,3719574
"RUSSIA   4",24700,19920906,1914212
"RUSSIA   3",23827,19921206,2782474
"RUSSIA   6",1366,19921010,2452216
"RUSSIA   6",20026,19920511,3496383
"RUSSIA   0",14353,19920906,3065951
"RUSSIA   5",18913,19920104,3305277
"RUSSIA   0",13747,19921011,3100723
"RUSSIA   2",23347,19920702,1925971
"RUSSIA   5",18470,19921204,3927710
"RUSSIA   5",22331,19920111,3116397
"RUSSIA   3",8464,19920710,3386401
"RUSSIA   3",28867,19920505,4268982
"RUSSIA   3",10702,19920129,2824192
"RUSSIA   0",23947,19920706,3053799
"RUSSIA   3",7079,19920425,3865377
"RUSSIA   7",12169,19920807,4180755
"RUSSIA   4",15064,19920202,3681288
"RUSSIA   6",19927,19920929,3027650
"RUSSIA   0",11125,19920513,4086244
"RUSSIA   3",22502,19920718,3312829
"RUSSIA   4",6418,19921230,2324669
"RUSSIA   4",18209,19920609,2738565
"RUSSIA   3",3397,19920229,3315279
"RUSSIA   5",7675,19920414,3147896
"RUSSIA   7",11989,19920329,4401943
"RUSSIA   8",1162,19920919,3478566
"RUSSIA   3",23261,19921028,3333195
"RUSSIA   7",27382,19920109,2344408
"RUSSIA   2",19130,19920524,2123893
"RUSSIA   9",24037,19921001,2536920
"RUSSIA   8",10508,19921003,3182471
"RUSSIA   9",28180,19920603,2576849
"RUSSIA   5",15310,19920724,2428240
"RUSSIA   3",26215,19921110,4523413
"RUSSIA   2",12697,19920822,2807552
"RUSSIA   4",1472,19920123,2958449
"RUSSIA   2",12233,19920531,2942406
"RUSSIA   6",27920,19920508,2479954
"RUSSIA   5",19736,19920506,2613168
"RUSSIA   0",19825,19920330,3096531
"RUSSIA   3",5476,19921026,4565045
"RUSSIA   4",28873,19920331,2780338
"RUSSIA   3",11545,19920216,2351571
"RUSSIA   5",20845,19920508,2455511
"RUSSIA   4",1060,19921222,3902220
"RUSSIA   5",15221,19920427,4287338
"RUSSIA   2",14389,19921116,4616392
"RUSSIA   4",4504,19920711,2851835
"RUSSIA   2",2131,19920628,2175275
"RUSSIA   4",23672,19921013,2922622
"RUSSIA   4",7405,19920125,3445574
"RUSSIA   2",20446,19920409,2817871
"RUSSIA   0",21802,19920905,2357391
"RUSSIA   5",18475,19920208,2914795
"RUSSIA   2",28628,19920519,1595649
"RUSSIA   5",28576,19921009,3302821
"RUSSIA   5",2185,19920703,2603577
"RUSSIA   7",4867,19920227,2597124
"RUSSIA   0",11792,19920122,2705645
"RUSSIA   5",20135,19920102,3141612
"RUSSIA   8",25678,19920731,3692339
"RUSSIA   5",25664,19920710,1628967
"RUSSIA   3",13394,19920715,3234689
"RUSSIA   1",27439,19920321,2610536
"RUSSIA   7",8749,19921210,2745524
"RUSSIA   6",21511,19920219,2393582
"RUSSIA   3",24154,19920519,2554853
"RUSSIA   9",15721,19920909,3593708
"RUSSIA   2",1315,19920902,3267091
"RUSSIA   4",18382,19920603,2371507
"RUSSIA   3",23161,19920124,3634493
"RUSSIA   2",8435,19920213,2351639
"RUSSIA   8",11080,19920309,2970992
"RUSSIA   0",21067,19920226,2766210
"RUSSIA   6",17230,19920214,3655280
"RUSSIA   4",13768,19920604,4008839
"RUSSIA   5",23648,19921211,3232463
"RUSSIA   5",24439,19920729,3178481
"RUSSIA   2",14426,19920128,3806316
"RUSSIA   4",10141,19920206,2876227
"RUSSIA   2",21478,19920716,3133389
"RUSSIA   0",6280,19920310,4082327
"RUSSIA   4",2176,19920205,2329180
"RUSSIA   8",20218,19921225,2833007
"RUSSIA   9",5890,19920222,2541345
"RUSSIA   5",21782,19920405,2799095
"RUSSIA   6",5927,19920505,3365832
"RUSSIA   4",11849,19921010,2801778
"RUSSIA   7",3991,19920111,1458329
"RUSSIA   5",16876,19921220,5044679
"RUSSIA   6",13760,19921016,2544192
"RUSSIA   2",9004,19920102,2209055
"RUSSIA   3",649,19920906,2736689
"RUSSIA   2",16393,19920216,2659374
"RUSSIA   9",24436,19921113,2509097
"RUSSIA   8",17797,19921129,3316334
"RUSSIA   3",11569,19921119,3098652
"RUSSIA   0",21623,19920408,2558048
"RUSSIA   9",4117,19921006,3810264
"RUSSIA   0",1976,19920428,2570424
"RUSSIA   9",26465,19920723,2176441
"RUSSIA   4",11509,19921010,2873862
"RUSSIA   8",5374,19920314,2149392
"RUSSIA   7",11812,19921230,2653117
"RUSSIA   8",24655,19920620,3686024
"RUSSIA   2",19954,19920916,4192947
"RUSSIA   1",19954,19920916,3110704
"RUSSIA   2",20386,19921001,1822581
"RUSSIA   3",29741,19920628,3729752
"RUSSIA   7",17395,19920716,2277731
"RUSSIA   5",6491,19921006,2340974
"RUSSIA   6",11326,19920418,3159522
"RUSSIA   0",4294,19920306,4245058
"RUSSIA   3",26312,19920225,2800124
"RUSSIA   3",27214,19920704,4400103
"RUSSIA   4",3383,19920507,1846261
"RUSSIA   7",12337,19920721,3281083
"RUSSIA   7",9955,19921021,2011236
"RUSSIA   3",9955,19921021,4424603
"RUSSIA   5",7654,19920608,3119474
"RUSSIA   0",4477,19920817,2511115
"RUSSIA   7",8569,19920228,2758206
"RUSSIA   0",16577,19921013,4006275
"RUSSIA   0",26402,19920403,3192588
"RUSSIA   5",26402,19920403,4207241
"RUSSIA   8",17135,19920403,3128015
"RUSSIA   5",10433,19920330,3517436
"RUSSIA   5",27940,19920302,4068340
"RUSSIA   4",27940,19920302,2507076
"RUSSIA   3",8836,19920807,4689478
"RUSSIA   9",27961,19921207,3919255
"RUSSIA   9",5227,19920802,2391653
"RUSSIA   3",2359,19920627,2613482
"RUSSIA   0",5485,19920513,1691425
"RUSSIA   2",12262,19920326,3898068
"RUSSIA   2",4453,19920514,2384355
"RUSSIA   1",9551,19920504,1840148
