"d_year","s_nation","lo_custkey","lo_revenue"
1996,"VIETNAM",7381,2032150
1996,"JAPAN",7381,4184467
1996,"VIETNAM",7381,4614674
1996,"JAPAN",15601,4469446
1993,"VIETNAM",24664,3166705
1994,"INDONESIA",8897,6755238
1992,"JAPAN",11125,5703844
1996,"JAPAN",7828,1265599
1996,"INDIA",7828,4047522
1993,"CHINA",13393,6909476
1995,"CHINA",25519,6398200
1992,"VIETNAM",17224,6701529
1996,"VIETNAM",16354,7778140
1995,"INDIA",3251,4170606
1995,"INDIA",3251,2464005
1996,"CHINA",11323,1215603
1996,"JAPAN",11323,3394637
1994,"JAPAN",16898,3486225
1993,"INDONESIA",12868,1829225
1994,"INDIA",21556,4233408
1993,"CHINA",4213,2994568
1996,"JAPAN",5600,1642830
1996,"CHINA",5821,1020042
1992,"JAPAN",14227,7490047
1992,"INDONESIA",14227,4382737
1992,"CHINA",14227,155568
1992,"CHINA",7393,3061774
1993,"VIETNAM",5279,2680992
1993,"INDONESIA",5279,4563716
1993,"INDONESIA",5279,4403435
1995,"INDIA",12097,5359917
1997,"INDIA",17552,4548467
1992,"CHINA",157,3076509
1992,"JAPAN",157,1967482
1993,"INDONESIA",5449,2217780
1993,"CHINA",5449,5601418
1995,"JAPAN",21563,6297741
1997,"VIETNAM",16514,4649879
1993,"CHINA",15814,4046982
1992,"INDONESIA",12346,869506
1995,"INDONESIA",6503,4449432
1994,"JAPAN",496,5279846
1994,"CHINA",496,7745807
1995,"INDONESIA",6607,726878
1995,"VIETNAM",6607,5542188
1993,"CHINA",25495,3969465
1993,"VIETNAM",25495,367154
1993,"CHINA",25495,9031350
1993,"VIETNAM",25495,2521195
1995,"INDIA",1978,2625055
1993,"VIETNAM",22346,3064616
1993,"INDONESIA",22346,595332
1993,"INDONESIA",24967,5102604
1993,"CHINA",8374,7632435
1993,"JAPAN",8374,5908636
1993,"INDIA",8638,775920
1996,"JAPAN",20947,3242481
1993,"JAPAN",9215,5236879
1993,"INDIA",9215,6931108
1995,"JAPAN",6071,3105312
1997,"VIETNAM",1420,6462696
1997,"JAPAN",1420,2446234
1997,"INDIA",20750,6550299
1994,"INDONESIA",23591,868091
1992,"INDONESIA",5986,1477476
1992,"JAPAN",5986,1602756
1992,"VIETNAM",26710,1249485
1993,"VIETNAM",8005,5723250
1993,"CHINA",8005,569220
1993,"VIETNAM",8005,5555568
1995,"CHINA",15199,7106676
1993,"INDONESIA",356,6503859
1996,"INDIA",27655,1841170
1994,"CHINA",29362,417315
1994,"JAPAN",29362,6917043
1994,"CHINA",29362,4946757
1996,"VIETNAM",12079,2825606
1996,"INDONESIA",12079,6360563
1993,"CHINA",458,4308849
1993,"JAPAN",458,2143899
1993,"CHINA",458,4172645
1994,"INDIA",15520,1924470
1994,"VIETNAM",15520,3854417
1992,"INDONESIA",22603,5820511
1992,"VIETNAM",22603,1149555
1992,"CHINA",22603,1847507
1996,"VIETNAM",6590,4138980
1995,"VIETNAM",12022,5115474
1997,"INDONESIA",661,3291344
1994,"INDONESIA",25396,251940
1994,"JAPAN",22057,2048056
1993,"INDONESIA",8026,2732107
1994,"INDIA",10918,221379
1996,"INDONESIA",23254,5466468
1996,"JAPAN",23254,2044358
1996,"JAPAN",23254,2439340
1995,"INDONESIA",18029,905222
1995,"INDONESIA",18029,2382746
1992,"CHINA",7831,108100
1997,"INDIA",14615,8623076
1996,"JAPAN",20680,4877756
1995,"VIETNAM",29929,488876
1995,"INDIA",29929,2975911
1995,"CHINA",19154,527862
1995,"CHINA",9476,632580
1995,"INDIA",9476,5400193
1997,"INDONESIA",8806,8976424
1997,"VIETNAM",8806,3417255
1993,"VIETNAM",14278,2323495
