"s_nation","lo_custkey","lo_orderdate","lo_revenue"
"VIETNAM",7381,19960102,2032150
"JAPAN",7381,19960102,4184467
"VIETNAM",7381,19960102,4614674
"JAPAN",15601,19961201,4469446
"VIETNAM",24664,19931014,3166705
"INDONESIA",8897,19940730,6755238
"JAPAN",11125,19920221,5703844
"JAPAN",7828,19960110,1265599
"INDIA",7828,19960110,4047522
"CHINA",13393,19931027,6909476
"CHINA",25519,19951023,6398200
"VIETNAM",17224,19920603,6701529
"VIETNAM",16354,19960920,7778140
"INDIA",3251,19950318,4170606
"INDIA",3251,19950318,2464005
"CHINA",11323,19961219,1215603
"JAPAN",11323,19961219,3394637
"CHINA",5710,19980418,277892
"JAPAN",5710,19980418,5658351
"VIETNAM",5710,19980418,4559024
"JAPAN",16898,19940604,3486225
"INDONESIA",12868,19931218,1829225
"INDONESIA",676,19980124,513761
"INDIA",21556,19940417,4233408
"CHINA",4213,19930129,2994568
"JAPAN",5600,19960317,1642830
"CHINA",5821,19960620,1020042
"JAPAN",14227,19921119,7490047
"INDONESIA",14227,19921119,4382737
"CHINA",14227,19921119,155568
"CHINA",7393,19920508,3061774
"VIETNAM",5279,19930611,2680992
"INDONESIA",5279,19930611,4563716
"INDONESIA",5279,19930611,4403435
"INDIA",12097,19951021,5359917
"INDIA",17552,19970905,4548467
"CHINA",157,19921021,3076509
"JAPAN",157,19921021,1967482
"INDONESIA",5449,19930130,2217780
"CHINA",5449,19930130,5601418
"JAPAN",21563,19950912,6297741
"VIETNAM",16514,19971125,4649879
"CHINA",15814,19930808,4046982
"INDONESIA",12346,19920405,869506
"INDONESIA",6503,19950407,4449432
"INDONESIA",22045,19980102,6319074
"JAPAN",496,19940618,5279846
"CHINA",496,19940618,7745807
"INDONESIA",6607,19950525,726878
"VIETNAM",6607,19950525,5542188
"CHINA",25495,19930310,3969465
"VIETNAM",25495,19930310,367154
"CHINA",25495,19930310,9031350
"VIETNAM",25495,19930310,2521195
"INDIA",1978,19951110,2625055
"VIETNAM",22346,19931229,3064616
"INDONESIA",22346,19931229,595332
"INDONESIA",24967,19931019,5102604
"INDIA",24539,19980328,848021
"CHINA",8374,19931229,7632435
"JAPAN",8374,19931229,5908636
"INDIA",8638,19930929,775920
"JAPAN",20947,19961210,3242481
"JAPAN",9215,19930629,5236879
"INDIA",9215,19930629,6931108
"JAPAN",6071,19951125,3105312
"VIETNAM",1420,19970221,6462696
"JAPAN",1420,19970221,2446234
"INDIA",20750,19970210,6550299
"INDONESIA",23591,19940101,868091
"INDONESIA",5986,19921002,1477476
"JAPAN",5986,19921002,1602756
"VIETNAM",26710,19920319,1249485
"VIETNAM",8005,19931017,5723250
"CHINA",8005,19931017,569220
"VIETNAM",8005,19931017,5555568
"CHINA",15199,19950604,7106676
"INDONESIA",356,19931231,6503859
"INDIA",27655,19960314,1841170
"CHINA",29362,19940630,417315
"JAPAN",29362,19940630,6917043
"CHINA",29362,19940630,4946757
"VIETNAM",12079,19961009,2825606
"INDONESIA",12079,19961009,6360563
"CHINA",458,19930920,4308849
