"s_city","lo_custkey","lo_orderdate","lo_revenue"
"UNITED ST1",505,19941205,4147627
"UNITED ST0",22225,19950512,3362388
"UNITED ST9",22225,19950512,1289803
"UNITED ST4",23390,19970701,2095881
"UNITED ST7",17659,19960517,2566956
"UNITED ST6",14146,19920611,2456732
"UNITED ST9",18353,19950215,7270852
"UNITED ST0",16787,19931007,1592533
"UNITED ST8",29753,19960511,5957118
"UNITED ST9",2611,19970208,6166933
"UNITED ST4",16927,19960701,5383630
"UNITED ST8",7195,19930205,880338
"UNITED ST3",29821,19950902,5325655
"UNITED ST1",28471,19920202,1065714
"UNITED ST9",24112,19920325,4123955
"UNITED ST4",12392,19940629,3079538
"UNITED ST5",24797,19920802,4470888
"UNITED ST4",1828,19970604,1709337
"UNITED ST6",7462,19970811,685355
"UNITED ST0",24832,19940717,4222184
"UNITED ST1",12049,19950821,4081365
"UNITED ST0",21719,19940811,5894208
"UNITED ST1",21719,19940811,453964
"UNITED ST4",11770,19961018,2220899
"UNITED ST7",8905,19961113,716389
"UNITED ST8",1387,19960809,975576
"UNITED ST1",23603,19920217,638175
"UNITED ST1",9008,19930114,7905997
"UNITED ST8",24818,19940723,3610118
"UNITED ST4",4889,19930925,2113066
"UNITED ST7",4934,19920121,2843873
"UNITED ST8",18929,19921122,3935302
"UNITED ST7",8299,19930709,1541166
"UNITED ST6",15895,19970803,6545111
"UNITED ST6",13951,19950107,3567623
"UNITED ST0",28795,19960107,434004
"UNITED ST9",8776,19921116,5493334
"UNITED ST4",26791,19940927,4791112
"UNITED ST1",12991,19920212,2488082
"UNITED ST4",4174,19950830,1337596
"UNITED ST9",17705,19920817,7656734
"UNITED ST1",22705,19920517,6908142
"UNITED ST9",10751,19931006,2065854
"UNITED ST3",17407,19920903,6435069
"UNITED ST8",26180,19940918,2348434
"UNITED ST1",9850,19960220,1739182
"UNITED ST6",13816,19930515,7435307
"UNITED ST4",8395,19970722,6073147
"UNITED ST4",8992,19971106,4249575
"UNITED ST5",8992,19971106,925159
"UNITED ST0",15254,19940514,5143444
"UNITED ST6",26362,19931120,6396143
"UNITED ST4",26362,19931120,4010677
"UNITED ST3",26362,19931120,4573664
"UNITED ST8",26921,19930424,5786593
"UNITED ST9",4171,19961102,3893523
"UNITED ST0",8335,19940311,2945208
"UNITED ST0",5218,19960818,4954111
"UNITED ST1",19220,19980424,1074104
"UNITED ST7",19220,19980424,5924361
"UNITED ST7",628,19931113,5920815
"UNITED ST4",628,19931113,3119490
"UNITED ST1",4645,19970201,6427530
"UNITED ST0",15916,19920626,5949603
"UNITED ST9",15602,19970327,1208070
"UNITED ST6",15602,19970327,6393824
"UNITED ST1",16306,19920701,364484
"UNITED ST7",16306,19920701,6177804
"UNITED ST5",29077,19951114,3443332
"UNITED ST5",2485,19961215,2231968
"UNITED ST0",29569,19971213,937355
"UNITED ST1",15985,19950521,2248622
"UNITED ST0",21343,19940508,6288695
"UNITED ST3",7624,19950207,2790255
"UNITED ST1",2188,19950411,171445
"UNITED ST3",29875,19941107,3936752
"UNITED ST0",20857,19960218,1419003
"UNITED ST0",5113,19930421,5963503
"UNITED ST5",20176,19940921,1177219
"UNITED ST7",8213,19960709,2909536
"UNITED ST1",10138,19940214,7324382
"UNITED ST4",8137,19950722,129224
"UNITED ST1",8989,19980201,932580
"UNITED ST0",121,19951212,6635159
"UNITED ST3",14842,19970413,6084116
"UNITED ST9",18970,19941221,7530357
"UNITED ST0",24811,19940331,2631505
"UNITED ST1",7774,19971001,3619679
"UNITED ST3",26543,19920306,8976163
"UNITED ST4",26543,19920306,898171
"UNITED ST0",4565,19930121,4512186
"UNITED ST4",4565,19930121,1038486
"UNITED ST5",6433,19921130,5796805
"UNITED ST9",3058,19980613,4548086
"UNITED ST4",19667,19921109,3341975
"UNITED ST6",27056,19920604,1819916
"UNITED ST4",16859,19960227,5159512
"UNITED ST7",10282,19930831,2824975
"UNITED ST6",4708,19960806,919499
"UNITED ST1",24272,19921121,2111120
"UNITED ST6",24272,19921121,3812094
"UNITED ST9",11144,19940617,5495638
"UNITED ST3",25060,19930107,796024
"UNITED ST0",13715,19930531,3132530
"UNITED ST7",10957,19920723,3814945
"UNITED ST5",13660,19960430,3162285
"UNITED ST6",13660,19960430,1552799
"UNITED ST3",4214,19930412,1079361
"UNITED ST0",15574,19940220,4587988
"UNITED ST0",13264,19971210,2377716
"UNITED ST9",13264,19971210,4970863
"UNITED ST0",21440,19970205,3769166
"UNITED ST1",12460,19960113,2417520
"UNITED ST3",18772,19920612,449795
"UNITED ST5",14320,19960917,4437819
"UNITED ST1",20944,19970519,2494475
"UNITED ST9",22843,19970324,6586022
"UNITED ST6",19813,19950113,1978063
"UNITED ST7",1768,19920810,5354784
"UNITED ST4",16783,19970602,3998517
"UNITED ST8",4225,19920401,4197708
"UNITED ST7",26372,19961127,797305
"UNITED ST0",15980,19950307,6724662
"UNITED ST3",15799,19920404,7324218
"UNITED ST7",15799,19920404,2237369
"UNITED ST1",152,19950926,5464462
"UNITED ST9",10424,19951016,1020880
"UNITED ST9",23620,19950113,1323752
"UNITED ST5",23644,19940426,2205187
"UNITED ST4",23644,19940426,4465847
"UNITED ST6",8185,19950726,1582076
"UNITED ST9",8185,19950726,5022190
"UNITED ST7",17405,19960318,442937
"UNITED ST1",1135,19940426,2219680
"UNITED ST1",9907,19980122,5491769
"UNITED ST7",15386,19931128,2720150
"UNITED ST9",958,19970326,5441920
"UNITED ST9",12170,19951215,2124300
"UNITED ST1",12170,19951215,1419736
"UNITED ST8",7849,19980718,2546351
"UNITED ST5",12349,19931108,1450570
"UNITED ST8",14539,19971228,5942728
"UNITED ST8",14188,19940101,3837358
"UNITED ST1",14999,19980518,7052922
"UNITED ST0",18041,19970305,2624484
"UNITED ST5",13702,19960123,3241597
"UNITED ST1",2015,19950117,3399283
"UNITED ST1",9911,19950910,844184
"UNITED ST7",10354,19930321,7102279
"UNITED ST1",8777,19930529,8833923
"UNITED ST0",8777,19930529,1411941
"UNITED ST3",9874,19931218,6919757
"UNITED ST7",122,19960109,6682216
"UNITED ST9",122,19960109,4398276
"UNITED ST4",5710,19970701,7369157
"UNITED ST1",23161,19931023,4804600
"UNITED ST5",12752,19950213,6181869
"UNITED ST1",16991,19931127,6272993
"UNITED ST1",4675,19980620,3371576
"UNITED ST5",4849,19970621,8139648
