"d_year","s_city","lo_custkey","lo_revenue"
1996,"UNITED ST0",26812,1670543
1996,"UNITED ST0",11317,3172253
1995,"UNITED ST9",12659,3129396
1993,"UNITED ST9",8443,8635282
1995,"UNITED ST9",26713,354188
1997,"UNITED ST0",22528,1101471
1997,"UNITED ST9",26461,397491
1996,"UNITED ST0",25690,1091616
1996,"UNITED ST9",5578,1952669
1994,"UNITED ST9",24719,5752897
1994,"UNITED ST9",23300,867859
1995,"UNITED ST0",1220,3195630
1995,"UNITED ST0",16873,5920956
1997,"UNITED ST0",24662,4821686
1995,"UNITED ST0",28346,2858271
1992,"UNITED ST0",24658,1649700
1994,"UNITED ST9",14473,3449900
1992,"UNITED ST9",25336,3449001
1992,"UNITED ST0",11413,290155
1995,"UNITED ST9",7051,1957095
1993,"UNITED ST0",11126,6292296
1996,"UNITED ST0",749,1363919
1992,"UNITED ST9",13300,2366792
1994,"UNITED ST0",15647,3085588
1993,"UNITED ST0",18395,5076180
1993,"UNITED ST0",24010,4033743
1995,"UNITED ST0",22051,117128
1996,"UNITED ST0",21656,590291
1995,"UNITED ST0",2945,3476210
1993,"UNITED ST9",9973,3581050
1995,"UNITED ST9",25579,1618323
1994,"UNITED ST0",7555,5039378
1997,"UNITED ST0",16148,2560896
1993,"UNITED ST0",13889,4929707
1995,"UNITED ST9",4999,1799657
1992,"UNITED ST0",27463,631310
1994,"UNITED ST9",12994,6547675
1992,"UNITED ST0",17434,3321681
1996,"UNITED ST0",15301,902388
1993,"UNITED ST0",4624,2929197
1994,"UNITED ST9",380,2847284
1994,"UNITED ST0",20462,3214281
1997,"UNITED ST9",19451,4691127
1995,"UNITED ST0",7705,6124261
1997,"UNITED ST9",46,5952639
1996,"UNITED ST0",16145,1392576
1992,"UNITED ST0",23884,3355092
1996,"UNITED ST9",9983,5723055
1992,"UNITED ST9",23416,6768854
1996,"UNITED ST0",19765,1708675
1997,"UNITED ST9",9371,5283797
1992,"UNITED ST9",15730,6362544
1992,"UNITED ST9",21205,2588083
1994,"UNITED ST0",18746,6516479
1993,"UNITED ST0",3931,5501854
1995,"UNITED ST9",20942,4160898
1992,"UNITED ST0",26542,4137735
1993,"UNITED ST9",23920,3741605
1997,"UNITED ST9",10492,6988536
1994,"UNITED ST0",20800,3961180
1995,"UNITED ST0",4663,3046937
1997,"UNITED ST0",23621,3630894
1997,"UNITED ST9",28961,6993143
1995,"UNITED ST9",5677,4770263
1996,"UNITED ST0",2671,4546886
1994,"UNITED ST9",9274,1361214
1993,"UNITED ST9",1066,3857975
1992,"UNITED ST9",7963,507393
1995,"UNITED ST9",11315,237444
1997,"UNITED ST9",18278,3195367
1992,"UNITED ST9",2890,1101039
1997,"UNITED ST9",12718,5139119
1995,"UNITED ST9",4894,2516299
1995,"UNITED ST0",4894,4504860
1994,"UNITED ST9",15391,7570059
1993,"UNITED ST0",15026,3789633
1996,"UNITED ST9",5861,3921827
1992,"UNITED ST9",20194,5708176
1996,"UNITED ST0",20680,6961014
1995,"UNITED ST0",598,1522948
1995,"UNITED ST9",28412,7392637
1993,"UNITED ST0",17293,7818248
1994,"UNITED ST0",13291,2120614
1994,"UNITED ST0",16456,4136392
1995,"UNITED ST9",4039,8124029
1992,"UNITED ST0",3361,279259
1995,"UNITED ST0",26785,156282
1993,"UNITED ST9",11935,442618
1997,"UNITED ST0",13558,5305692
1994,"UNITED ST9",6470,704066
1993,"UNITED ST0",3280,4144948
1996,"UNITED ST0",14084,920658
1996,"UNITED ST0",27187,2341107
1995,"UNITED ST0",17104,5946294
1995,"UNITED ST0",13619,6020677
1994,"UNITED ST9",11560,2609194
1997,"UNITED ST9",6161,164868
1995,"UNITED ST0",26180,3950412
1993,"UNITED ST9",15020,3002659
1993,"UNITED ST9",7348,4182330
1995,"UNITED ST9",1442,1830113
1995,"UNITED ST0",11641,2318425
1997,"UNITED ST9",25391,2001337
1995,"UNITED ST9",7057,305286
1993,"UNITED ST0",119,556429
1996,"UNITED ST9",28765,8965028
1993,"UNITED ST9",4237,4239734
1996,"UNITED ST9",12431,4166164
1994,"UNITED ST0",6883,4368056
1993,"UNITED ST0",22790,201492
1994,"UNITED ST0",11204,5664274
1992,"UNITED ST9",8686,3674281
1997,"UNITED ST9",12070,3348035
1997,"UNITED ST9",27080,1232056
1997,"UNITED ST9",1201,1879970
1997,"UNITED ST0",1201,4874719
1997,"UNITED ST9",22052,7547375
1996,"UNITED ST9",2065,3380614
1996,"UNITED ST0",18736,849590
1993,"UNITED ST0",16993,354418
1995,"UNITED ST9",9476,1565740
1992,"UNITED ST0",25126,911537
1996,"UNITED ST9",4975,3497941
1997,"UNITED ST0",28775,513733
1995,"UNITED ST9",14108,6120183
1992,"UNITED ST9",22340,2733704
1996,"UNITED ST0",20393,6248497
1995,"UNITED ST0",24623,8572775
1995,"UNITED ST0",3953,383671
1995,"UNITED ST0",24983,2686993
1996,"UNITED ST9",23323,867692
1992,"UNITED ST0",17059,5301201
1994,"UNITED ST9",20921,769952
1992,"UNITED ST0",24811,4869532
1996,"UNITED ST9",9346,3081624
1992,"UNITED ST9",24991,140197
1994,"UNITED ST9",5756,8588943
1992,"UNITED ST0",12232,3761018
1992,"UNITED ST9",14242,6825480
1997,"UNITED ST9",9556,2925220
1993,"UNITED ST0",4528,5860483
1997,"UNITED ST0",9893,2120636
1994,"UNITED ST9",13004,953104
1995,"UNITED ST9",25927,8529092
1994,"UNITED ST0",29564,3607139
1992,"UNITED ST0",5446,7037171
1994,"UNITED ST0",11276,4108204
1992,"UNITED ST0",808,3341047
1994,"UNITED ST0",9131,4096608
1994,"UNITED ST9",2647,4067022
1994,"UNITED ST0",26020,6031204
1997,"UNITED ST0",18923,3033026
1993,"UNITED ST9",6001,4130156
1995,"UNITED ST0",8881,3101400
1995,"UNITED ST0",20447,4402817
1997,"UNITED ST0",10961,4541732
1997,"UNITED ST0",20654,3493978
1992,"UNITED ST0",20108,753016
1992,"UNITED ST0",20108,942454
1996,"UNITED ST0",22102,7284963
1993,"UNITED ST0",301,4203477
1993,"UNITED ST9",10705,6260354
1997,"UNITED ST0",23443,510848
1994,"UNITED ST9",18550,1441621
1994,"UNITED ST9",1168,1641086
1997,"UNITED ST0",8798,3743140
1995,"UNITED ST9",21121,394703
1995,"UNITED ST9",23299,2862918
1997,"UNITED ST9",26333,237003
1996,"UNITED ST0",4430,3694936
1994,"UNITED ST0",5510,3522038
1993,"UNITED ST9",9560,3867821
1994,"UNITED ST0",25717,1330899
1994,"UNITED ST9",13633,6550572
1997,"UNITED ST0",10976,2149998
1995,"UNITED ST0",20287,5381631
1997,"UNITED ST9",5803,5311997
1995,"UNITED ST0",28195,8313943
1992,"UNITED ST9",10097,7982450
1993,"UNITED ST0",12094,3721912
1993,"UNITED ST9",24307,3471617
1997,"UNITED ST9",16036,8275319
1992,"UNITED ST0",29200,7332667
1992,"UNITED ST9",23812,893289
1993,"UNITED ST9",4978,582560
1996,"UNITED ST0",26798,3068439
1996,"UNITED ST9",28577,7831440
1997,"UNITED ST9",10009,5906376
1996,"UNITED ST0",21817,3287226
1995,"UNITED ST0",2081,5239180
1993,"UNITED ST9",25627,517774
1997,"UNITED ST0",12107,3274514
1997,"UNITED ST0",4642,1881399
1996,"UNITED ST9",19939,6132475
1995,"UNITED ST0",16481,4753997
1995,"UNITED ST0",25937,6154286
1992,"UNITED ST0",11669,4195757
1997,"UNITED ST0",9442,4280976
1995,"UNITED ST9",1348,680141
1997,"UNITED ST9",22048,3846106
1994,"UNITED ST9",25807,2237636
1997,"UNITED ST0",21497,1206150
1994,"UNITED ST0",19868,554170
1995,"UNITED ST0",21287,2834166
1994,"UNITED ST0",23944,5622622
1992,"UNITED ST9",1486,1005194
1993,"UNITED ST0",13823,5658475
1995,"UNITED ST9",24473,787350
1994,"UNITED ST0",27836,1473972
1996,"UNITED ST9",6640,3072249
1993,"UNITED ST0",14257,1687415
1994,"UNITED ST9",5071,4417329
1993,"UNITED ST9",15814,1989220
1992,"UNITED ST0",6808,2419003
1992,"UNITED ST9",17501,2778624
1997,"UNITED ST0",6809,252059
1996,"UNITED ST0",22216,1311151
1997,"UNITED ST9",17512,5627119
1992,"UNITED ST0",13081,2120378
1992,"UNITED ST9",22480,1768080
1997,"UNITED ST0",26537,4354074
1993,"UNITED ST9",2356,2730418
1994,"UNITED ST9",4364,560658
1995,"UNITED ST0",20396,1730949
1994,"UNITED ST0",20944,1264351
1994,"UNITED ST0",1084,3624656
1996,"UNITED ST9",7334,4665633
1993,"UNITED ST0",6346,1718287
1996,"UNITED ST0",22303,3082495
