"d_year","lo_custkey","lo_revenue","lo_suppkey"
1992,4451,1162483,296
1992,4451,2756113,266
1992,9406,5058270,34
1992,9406,4609289,784
1992,9406,3131069,1740
1992,9406,5878416,89
1992,9406,2735086,877
1992,9406,3829815,1368
1992,6352,5643302,1198
1992,19469,6979046,1306
1992,19469,6441633,23
1992,19469,5126608,874
1992,19469,400323,768
1992,19469,3034440,63
1992,19469,5593715,120
1992,12233,5275973,221
1992,12233,988017,1678
1992,17951,827899,633
1992,17951,6909483,2
1992,3295,5287079,943
1992,27148,7875328,779
1992,27148,160895,58
1992,27148,1277699,965
1992,27148,1621786,1692
1992,6613,4126607,1878
1992,6613,1905337,310
1992,6613,2480277,157
1992,6613,3593374,1280
1992,3151,4152458,505
1992,3151,911322,981
1992,3151,6081991,222
1992,3151,6028846,1052
1992,3151,6429786,140
1992,12761,2814695,1430
1992,12761,2521886,1790
1992,12761,8219423,1164
1992,12761,4021653,1576
1992,12854,5274637,1337
1992,13915,6909027,194
1992,13915,6008082,615
1992,4870,2939860,1608
1992,4870,171090,1632
1992,4870,4254715,1685
1992,4870,5484844,1083
1992,4870,737837,1829
1992,4870,4215138,1657
1992,7034,1594620,1212
1992,7034,133150,1252
1992,7034,2729882,1332
1992,7034,4457012,238
1992,7034,2632465,97
1992,7129,4284896,1958
1992,7129,6925908,1006
1992,7129,5386841,1481
1992,6365,1756189,623
1992,6365,2414808,1485
1992,6365,4951612,399
1992,6365,5661305,1030
1992,6365,3881386,1952
1992,6365,1156620,982
1992,6871,6612325,1095
1992,6871,2169468,617
1992,6871,309174,236
1992,6871,3188296,1314
1992,6871,1767424,109
1992,6871,1049991,1136
1992,6871,6203196,1855
1992,2524,3775104,1627
1992,2524,5931056,116
1992,2524,2193384,1602
1992,2524,1090945,1512
1992,2524,4170608,33
1992,2524,2533892,725
1992,2183,5066827,1668
1992,2183,5014588,1481
1992,2183,4160224,398
1992,2183,2205593,578
1992,18205,3524196,897
1992,4315,2340455,1319
1992,4315,7224990,1437
1992,4315,2857734,379
1992,6727,376595,1512
1992,6727,98172,615
1992,6727,976312,858
1992,6727,5583877,1123
1992,6727,1402098,1202
1992,6727,5391153,79
1992,6727,1214905,1236
1992,7699,1300277,772
1992,7699,979411,1260
1992,7699,6806808,1297
1992,7699,584136,929
1992,7699,700895,99
1992,7699,9578271,18
1992,650,1911505,673
1992,650,6521743,1082
1992,650,4311106,1904
1992,650,3562111,1304
1992,9239,1173160,608
1992,9239,2828794,1618
1992,20111,557779,906
1992,20111,3493981,1434
1992,20111,1349860,1068
1992,20111,6585489,187
1992,20111,2717253,809
