"d_yearmonthnum","s_nation","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
199210,"IRAQ",14848,75898,4223748,112433
199205,"JORDAN",3796,134866,5322408,114051
199206,"JORDAN",13219,18930,4210013,110935
199201,"IRAN",6943,172027,2393665,65941
199201,"EGYPT",11974,28703,6200460,97902
199207,"EGYPT",20872,41076,100689,61024
199206,"EGYPT",28078,39630,4922359,94177
199210,"SAUDI ARABIA",6796,50859,886826,108591
199201,"IRAQ",21358,140812,3994658,111168
199201,"SAUDI ARABIA",10852,2657,7183747,93579
199212,"IRAN",14881,175794,555327,112187
199203,"JORDAN",9715,1584,1188464,89134
199209,"IRAQ",27272,2547,3444107,86972
199206,"IRAN",26405,57749,1689672,102404
199203,"IRAQ",26333,63371,5604354,80062
199203,"IRAQ",26333,21117,513864,62286
199204,"SAUDI ARABIA",21598,39510,5540027,86970
199207,"JORDAN",22066,78886,7675846,111892
199210,"IRAQ",11710,155770,8767347,109546
199205,"SAUDI ARABIA",5047,63782,6221959,104746
199205,"IRAN",5047,36032,2779214,58081
199208,"IRAN",25214,179384,434623,87802
199211,"EGYPT",8417,34614,4139434,92916
199212,"EGYPT",16693,112908,8836140,115254
199201,"IRAN",8908,5749,4216277,99284
199203,"IRAQ",9095,197489,1884738,95188
199201,"IRAQ",21466,36125,2416170,63667
199203,"SAUDI ARABIA",17890,23942,8128034,111956
199208,"IRAQ",25289,91380,2036499,82282
199205,"IRAN",5323,197318,1415310,84918
199205,"SAUDI ARABIA",5845,63350,919345,78801
199212,"IRAQ",21157,189826,1706995,114949
199212,"SAUDI ARABIA",19886,64424,5773050,83305
199207,"IRAN",1177,38850,8944250,107331
199210,"IRAQ",11629,128155,1301465,70989
199210,"JORDAN",11629,197505,2062417,96150
199211,"EGYPT",24691,98567,7439541,93933
199205,"EGYPT",17521,106790,1617111,107807
199211,"SAUDI ARABIA",12076,10517,4568032,85650
199204,"IRAN",23230,81394,3774070,82523
199210,"EGYPT",4507,153926,1746289,118795
199207,"IRAN",16604,16802,171880,103128
199206,"SAUDI ARABIA",17029,190062,4628977,69123
199206,"EGYPT",17029,164527,2836088,95491
199205,"EGYPT",17782,62758,7925774,103245
199202,"EGYPT",12247,87146,226628,67988
199207,"SAUDI ARABIA",3047,180128,4832480,72487
199201,"SAUDI ARABIA",24857,22164,3193310,65169
199205,"EGYPT",4940,183021,4526482,66241
199212,"JORDAN",1504,51142,2999576,65588
199203,"EGYPT",9802,185285,5505785,82216
199208,"SAUDI ARABIA",27778,183461,5146140,92667
199201,"IRAQ",10163,41379,3697036,79222
199212,"IRAN",26179,161340,6797900,84080
199206,"EGYPT",18811,84832,8720784,109009
199210,"SAUDI ARABIA",11776,49334,2892625,76999
199210,"JORDAN",11776,115255,4527171,76215
199205,"SAUDI ARABIA",23948,25361,2773392,77181
199202,"JORDAN",27071,148836,8127386,113089
199207,"EGYPT",4924,47160,3432196,66429
199207,"IRAQ",19636,28406,1200960,80064
199206,"IRAQ",9269,609,4632962,90576
199206,"IRAN",9269,26972,7595880,113938
199202,"EGYPT",2668,105660,3754397,99939
199212,"SAUDI ARABIA",5615,37908,6213299,110754
199208,"EGYPT",2296,53087,4576352,62404
199205,"IRAQ",13928,13753,2833475,100005
199205,"EGYPT",23425,32074,704249,60364
199209,"JORDAN",27229,132155,3606561,71229
199209,"IRAN",20381,168740,7799286,108524
199201,"SAUDI ARABIA",13076,70864,2517427,110091
199206,"EGYPT",19921,112294,1280164,78377
199208,"EGYPT",18991,136262,2077216,77895
199201,"SAUDI ARABIA",8107,166386,2904760,87142
199209,"EGYPT",20512,118409,419655,85644
199207,"JORDAN",26524,73665,2271182,98319
199212,"EGYPT",6013,165970,3829659,122158
199201,"SAUDI ARABIA",22238,150886,189814,116212
199207,"SAUDI ARABIA",10294,187981,7241430,124138
199201,"IRAN",15361,155739,8618293,107683
