"s_nation","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"IRAQ",14848,19921028,75898,4223748,112433
"JORDAN",3796,19920502,134866,5322408,114051
"JORDAN",13219,19920620,18930,4210013,110935
"IRAN",6943,19920120,172027,2393665,65941
"EGYPT",11974,19920108,28703,6200460,97902
"EGYPT",20872,19920730,41076,100689,61024
"EGYPT",28078,19920619,39630,4922359,94177
"SAUDI ARABIA",6796,19921028,50859,886826,108591
"IRAQ",21358,19920122,140812,3994658,111168
"SAUDI ARABIA",10852,19920101,2657,7183747,93579
"IRAN",14881,19921207,175794,555327,112187
"JORDAN",9715,19920310,1584,1188464,89134
"IRAQ",27272,19920918,2547,3444107,86972
"IRAN",26405,19920608,57749,1689672,102404
"IRAQ",26333,19920306,63371,5604354,80062
"IRAQ",26333,19920306,21117,513864,62286
"SAUDI ARABIA",21598,19920402,39510,5540027,86970
"JORDAN",22066,19920731,78886,7675846,111892
"IRAQ",11710,19921019,155770,8767347,109546
"SAUDI ARABIA",5047,19920508,63782,6221959,104746
"IRAN",5047,19920508,36032,2779214,58081
"IRAN",25214,19920821,179384,434623,87802
"EGYPT",8417,19921102,34614,4139434,92916
"EGYPT",16693,19921217,112908,8836140,115254
"IRAN",8908,19920130,5749,4216277,99284
"IRAQ",9095,19920302,197489,1884738,95188
"IRAQ",21466,19920105,36125,2416170,63667
"SAUDI ARABIA",17890,19920314,23942,8128034,111956
"IRAQ",25289,19920801,91380,2036499,82282
"IRAN",5323,19920502,197318,1415310,84918
"SAUDI ARABIA",5845,19920523,63350,919345,78801
"IRAQ",21157,19921205,189826,1706995,114949
"SAUDI ARABIA",19886,19921226,64424,5773050,83305
"IRAN",1177,19920707,38850,8944250,107331
"IRAQ",11629,19921007,128155,1301465,70989
"JORDAN",11629,19921007,197505,2062417,96150
"EGYPT",24691,19921114,98567,7439541,93933
"EGYPT",17521,19920504,106790,1617111,107807
"SAUDI ARABIA",12076,19921106,10517,4568032,85650
