"d_yearmonthnum","s_nation","lo_partkey","lo_revenue","lo_supplycost"
199201,"EGYPT",28703,6200460,97902
199207,"EGYPT",41076,100689,61024
199204,"SAUDI ARABIA",39510,5540027,86970
199207,"JORDAN",78886,7675846,111892
199201,"IRAN",5749,4216277,99284
199207,"IRAN",16802,171880,103128
199207,"SAUDI ARABIA",180128,4832480,72487
199201,"SAUDI ARABIA",22164,3193310,65169
199206,"EGYPT",84832,8720784,109009
199208,"EGYPT",136262,2077216,77895
199209,"EGYPT",118409,419655,85644
199212,"EGYPT",165970,3829659,122158
199201,"IRAN",155739,8618293,107683
199207,"IRAN",4253,2268210,69435
199212,"SAUDI ARABIA",26397,4539227,79403
199207,"EGYPT",179255,130756,80055
199205,"JORDAN",142969,199184,120717
199205,"IRAQ",69240,2873154,72554
199211,"EGYPT",54080,4446544,62044
199203,"JORDAN",123200,2397472,73392
199207,"IRAN",82405,543860,83244
199210,"IRAN",31999,8689455,115859
199205,"IRAN",136331,5820723,82039
199207,"JORDAN",10739,5552991,98983
199204,"SAUDI ARABIA",155511,5012832,93990
199202,"SAUDI ARABIA",152443,740242,89726
199212,"IRAN",16549,3016081,87932
199212,"IRAN",98178,352851,70570
199201,"SAUDI ARABIA",121473,439374,89668
199203,"JORDAN",87777,8474425,105886
199205,"IRAN",38634,7784518,94357
199207,"IRAQ",126605,323056,97896
199207,"EGYPT",92461,3133659,87207
199202,"IRAQ",58392,3208526,81023
199209,"IRAN",160679,6436779,104380
199210,"IRAN",166395,3215058,87683
199210,"IRAN",19946,9143106,111956
199204,"EGYPT",49882,1465504,109912
199204,"IRAN",2270,4710180,70336
199211,"JORDAN",158815,6492751,112428
199212,"IRAQ",34462,5200417,83787
199210,"SAUDI ARABIA",173591,6198933,99875
199203,"SAUDI ARABIA",156224,5449896,76813
199208,"SAUDI ARABIA",119711,8310869,103842
199209,"SAUDI ARABIA",186489,3781152,94528
199202,"IRAQ",131825,8639783,111409
199201,"IRAQ",90438,979902,85705
199204,"EGYPT",80186,2565596,69970
199211,"JORDAN",113172,3555510,71110
199203,"EGYPT",194343,4930076,86240
199202,"JORDAN",77405,4606156,82944
199205,"IRAQ",96721,5723443,103063
199208,"IRAQ",38361,2186822,77961
199207,"SAUDI ARABIA",146137,1391360,70987
199207,"EGYPT",143466,3254395,90567
199207,"IRAN",26990,6951005,115019
199207,"IRAQ",171761,1632989,109965
199212,"EGYPT",130707,6193162,104262
199208,"IRAQ",186915,6540239,120114
199211,"IRAN",193806,6702494,113988
199212,"EGYPT",113137,575065,69007
199203,"EGYPT",76389,3211373,81922
199209,"IRAN",119955,5225717,118497
199206,"JORDAN",125886,4496741,114712
199206,"JORDAN",48012,2728348,57600
199208,"IRAQ",75844,5528673,109190
199204,"IRAN",110169,3235615,70749
199204,"JORDAN",182235,2839947,79033
199209,"EGYPT",181003,4399956,65040
199212,"SAUDI ARABIA",56374,931259,79822
199202,"SAUDI ARABIA",25691,1616690,97001
199208,"IRAQ",40242,354672,70934
199203,"IRAQ",133651,1981148,101079
199211,"EGYPT",133231,4955781,75853
199202,"EGYPT",136890,7742244,115613
199202,"IRAQ",97411,2788651,84504
199203,"EGYPT",162972,8461405,122098
199212,"SAUDI ARABIA",2805,5188296,102468
199208,"SAUDI ARABIA",76145,112114,67268
199211,"IRAN",3158,2016185,63669
199206,"IRAN",28058,2733330,59163
199205,"EGYPT",152148,4586935,72008
199203,"SAUDI ARABIA",115329,1463964,80659
199203,"IRAQ",33681,161468,96880
199208,"IRAQ",171897,7796804,118133
199201,"IRAQ",48635,783896,95017
199205,"EGYPT",124722,6162428,104803
199210,"IRAQ",136349,1221869,83120
199207,"EGYPT",1970,7675077,112318
199209,"IRAN",194513,1286008,96450
199205,"IRAN",32862,6332266,107691
199207,"IRAN",18869,176998,107271
199212,"IRAN",141943,7002868,119096
199207,"EGYPT",100325,3542580,79519
199206,"IRAN",133239,997428,76333
199206,"JORDAN",176571,6425523,98854
199202,"SAUDI ARABIA",35275,5930323,72616
199209,"SAUDI ARABIA",18040,2910525,57482
199201,"EGYPT",198691,4474225,107381
199210,"IRAQ",160112,5860550,70326
199209,"SAUDI ARABIA",124879,8481740,114232
199208,"IRAN",22376,5853051,77902
199202,"EGYPT",75928,6408594,114235
199209,"IRAN",111062,4837354,64383
199205,"JORDAN",45828,7301043,106429
199208,"SAUDI ARABIA",130075,765813,66304
199208,"SAUDI ARABIA",130502,1072750,91950
199204,"IRAQ",192746,7171086,110324
199210,"SAUDI ARABIA",181300,1777733,82878
199212,"IRAQ",122306,5786074,79698
199203,"JORDAN",120223,3692363,74593
199212,"EGYPT",84179,227981,69790
199212,"EGYPT",193011,1530157,66240
199202,"SAUDI ARABIA",181031,1334436,66721
199208,"IRAQ",174380,1439836,87262
199208,"IRAN",2606,6637840,90516
199202,"JORDAN",131747,3345809,106724
199210,"SAUDI ARABIA",178900,5485510,118734
199209,"JORDAN",199870,984935,118192
199204,"SAUDI ARABIA",32453,1523995,83127
199211,"JORDAN",72258,5480763,73815
199208,"IRAQ",117716,343274,104022
199202,"IRAN",118340,3194815,81500
199204,"IRAN",179669,1398928,104919
199205,"EGYPT",7936,3614102,110635
199208,"JORDAN",58678,4910010,98200
199211,"IRAQ",18626,1967845,92677
199212,"EGYPT",76949,1132452,115556
199205,"SAUDI ARABIA",138591,1466631,97775
199205,"IRAQ",103070,3824421,64384
199202,"IRAQ",33731,5768289,99883
199203,"IRAQ",23654,1236877,94659
199211,"EGYPT",1570,5047485,88294
199205,"SAUDI ARABIA",95809,5233920,108288
199204,"IRAQ",177458,2610265,92127
199206,"SAUDI ARABIA",150103,4843020,69186
199207,"IRAQ",161258,3561975,79155
199201,"EGYPT",96191,3324132,71231
199203,"SAUDI ARABIA",101844,1628030,110750
199207,"EGYPT",177942,5857826,121196
199207,"EGYPT",110048,523729,63482
199211,"IRAN",170756,8220375,109605
199202,"IRAQ",98118,4156393,66966
199202,"EGYPT",61963,1924960,115497
199210,"SAUDI ARABIA",59950,9549750,114597
199210,"IRAQ",172433,5216314,90325
199209,"IRAN",26618,756858,92676
199209,"JORDAN",55156,990034,66669
199201,"JORDAN",97941,7870157,116336
199208,"JORDAN",1495,4516248,83789
199205,"SAUDI ARABIA",142136,824691,70687
199204,"IRAN",35263,1198260,71895
199207,"IRAN",169204,5293965,76392
199204,"IRAN",82928,5159484,114655
199210,"IRAQ",98309,6144310,78438
199202,"JORDAN",98659,2486475,99459
199205,"IRAN",117391,1126712,84503
199205,"IRAN",19757,8383750,100605
199205,"SAUDI ARABIA",16123,822983,62347
199204,"IRAN",24356,1792490,76821
199207,"IRAN",76949,2478684,115556
199204,"JORDAN",96508,3276801,90270
199209,"EGYPT",197797,8905513,113687
199209,"EGYPT",35581,4458745,90994
199212,"SAUDI ARABIA",108598,4016475,96395
199209,"IRAQ",81172,4859458,69190
199201,"IRAQ",176547,6911409,97412
199209,"IRAQ",118093,2529951,66665
199206,"IRAQ",37516,5468104,87210
199211,"SAUDI ARABIA",88725,6213948,102823
199207,"EGYPT",123300,655033,79398
199203,"IRAN",5276,3780064,70876
199203,"JORDAN",119410,4145289,85764
199202,"JORDAN",195752,4708067,110865
199208,"JORDAN",15962,5521202,112677
199205,"IRAQ",12977,7671388,113398
199207,"SAUDI ARABIA",199643,512336,104558
199210,"IRAQ",53998,5465572,117119
199202,"SAUDI ARABIA",11763,6797850,100485
199212,"JORDAN",101145,4469946,68768
199212,"JORDAN",42084,1422146,61564
199209,"IRAQ",189758,9238750,110865
199207,"EGYPT",137933,7883720,118255
199207,"SAUDI ARABIA",24513,4648907,86250
199205,"IRAQ",53112,2556264,63906
199206,"SAUDI ARABIA",169341,7051700,84620
199208,"IRAN",159006,2191770,63900
199201,"IRAN",135324,5861387,81559
199209,"SAUDI ARABIA",69111,108011,64806
199210,"SAUDI ARABIA",119514,1533510,92010
199203,"EGYPT",170807,3128414,112668
199203,"IRAN",143597,1768556,98435
199203,"EGYPT",31293,3672870,73457
199206,"EGYPT",93149,3426420,68528
199206,"EGYPT",84963,5843880,116877
199202,"EGYPT",11499,6702648,84629
199201,"IRAQ",39042,4422528,58862
199210,"SAUDI ARABIA",197765,3872678,111765
199210,"SAUDI ARABIA",139799,5946646,110327
199212,"JORDAN",189813,2983606,114168
199201,"EGYPT",76546,4823406,91352
199202,"SAUDI ARABIA",75166,2348507,68469
