"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
23584,19920119,87459,6237092,831,86787
5956,19920919,84880,3877085,16,111892
14848,19921028,75898,4223748,1648,112433
14848,19921028,13973,6287384,1784,113218
15517,19921206,3049,2760916,1096,57122
2345,19920607,31468,1920059,562,83967
3796,19920502,152826,7998136,204,112729
3796,19920502,134866,5322408,1914,114051
21032,19921220,46326,1511516,1791,76339
26434,19920507,105607,3160696,1795,96756
13177,19921111,116297,520062,76,78797
25796,19920804,46902,6160534,90,110934
22526,19920427,150203,3473870,1431,75192
22526,19920427,60963,3847920,87,115437
13219,19920620,18930,4210013,1952,110935
11953,19920722,88623,3474652,178,96697
18260,19920226,131744,6037516,1525,106544
18157,19921103,104138,228426,39,68527
18157,19921103,47171,2988868,978,67090
18157,19921103,187803,8338428,393,113448
18157,19921103,176202,3706780,243,76692
1907,19920704,1610,3142637,1488,90696
4538,19920110,126720,1210476,1841,104803
4538,19920110,179782,2006998,1726,111706
8494,19920522,192886,8311296,418,118732
22087,19920210,101209,3474484,1863,72612
21662,19920102,89193,2106662,134,70931
27026,19920810,61978,6721996,458,116398
5702,19920228,39037,2512301,827,58561
5702,19920228,101958,4417727,1705,117597
862,19920424,163948,9657312,1140,120716
862,19920424,78177,3056579,1730,69310
24019,19920501,50126,1598038,628,64567
19552,19920311,173920,996960,705,119635
19552,19920311,199491,7243091,210,95429
21298,19920507,77121,2798009,603,65887
20110,19920902,176757,181541,1933,110025
6943,19920120,153262,6380326,571,78915
6943,19920120,172027,2393665,1236,65941
20680,19920723,65523,4465560,1070,89311
20680,19920723,32580,4891683,1973,90754
2980,19920217,65122,4892040,1795,65227
26089,19920524,159136,5270523,888,71707
26737,19920329,133120,4972253,1637,69187
21196,19920212,167148,601494,448,72908
21196,19920212,55954,3181976,1797,114597
11974,19920108,191173,6007335,1097,75850
11974,19920108,28703,6200460,513,97902
20872,19920730,41076,100689,1095,61024
28078,19920619,39630,4922359,877,94177
28078,19920619,81546,4888128,1791,91652
10414,19920103,78724,6007196,163,102163
6796,19921028,20441,2535001,362,81686
6796,19921028,148578,7644879,1675,97594
6796,19921028,146907,3446679,224,117234
6796,19921028,50859,886826,1353,108591
6796,19921028,182911,4494273,453,119634
15994,19920823,113804,3272040,1834,109068
8299,19921211,62515,4580281,1175,88650
21358,19920122,140812,3994658,1193,111168
10852,19920101,2657,7183747,445,93579
10852,19920101,116837,7630364,1194,111229
10852,19920101,183486,5336232,1664,94168
14881,19921207,175794,555327,1266,112187
21256,19920702,10279,2330969,1649,71356
21256,19920702,103712,1008837,1472,102942
9715,19920310,1584,1188464,166,89134
5644,19920809,44928,5747991,1455,112375
5644,19920809,99369,5610276,1730,82101
1684,19920310,45038,3503518,1141,58981
27272,19920918,2547,3444107,1449,86972
770,19920525,58758,1514173,1671,103005
14590,19920712,132615,978680,962,98856
14590,19920712,83359,263100,589,80541
14590,19920712,2683,6976992,517,95140
3373,19920301,126204,3321540,1860,73812
7472,19920529,26980,7627920,1342,114418
29395,19920510,25435,5521985,327,81625
28873,19920403,115980,9193483,835,119758
28873,19920403,68401,1762417,873,82164
28873,19920403,78826,8397827,1043,108289
26405,19920608,57749,1689672,1392,102404
26333,19920306,98844,8108496,26,110570
26333,19920306,63371,5604354,280,80062
26333,19920306,73364,6553064,1344,80241
26333,19920306,21117,513864,872,62286
21598,19920402,39510,5540027,929,86970
11740,19920824,57434,964260,663,83485
3166,19920530,68849,6118849,1291,109070
28949,19921005,152485,5574902,1306,92248
28949,19921005,76558,6445110,327,92073
28949,19921005,93943,9103618,1323,116216
26995,19921027,197714,7279450,1031,108702
22066,19920731,80888,2014652,959,112132
22066,19920731,78886,7675846,1915,111892
11710,19921019,105787,4082160,1497,107566
11710,19921019,155770,8767347,1162,109546
9998,19920813,112738,3151314,1688,105043
12844,19920516,7622,4197277,1015,91777
12844,19920516,101781,2970111,1060,106966
9425,19921206,18907,5422923,1215,109554
5047,19920508,63782,6221959,659,104746
5047,19920508,169920,3120194,295,119395
5047,19920508,36032,2779214,1677,58081
5047,19920508,188737,6145407,1765,109543
25214,19920821,152463,2700549,1939,90927
25214,19920821,179384,434623,923,87802
25841,19920803,22788,1693672,997,102646
8417,19921102,34614,4139434,502,92916
16693,19921217,112908,8836140,1756,115254
8908,19920130,5749,4216277,1264,99284
27319,19921206,59726,5782019,575,101143
9095,19920302,197489,1884738,2000,95188
9095,19920302,75255,2214450,408,73815
9095,19920302,196541,6098198,1895,98252
29000,19921129,140718,5745705,1362,105522
29000,19921129,2568,2620537,1569,88233
12850,19920119,104455,2043230,744,87567
21466,19920105,36125,2416170,1135,63667
26695,19920724,66611,2839698,1145,94656
17890,19920314,23942,8128034,1456,111956
25289,19920801,91380,2036499,1193,82282
25289,19920801,8416,3671264,351,79464
23644,19921101,104122,3090073,366,67567
23644,19921101,164097,5347980,630,69665
9571,19920730,65259,6060037,1361,73455
18343,19920624,139331,4431647,1294,82219
1315,19920727,110657,2167945,764,100059
5323,19920502,34557,2953269,1699,89493
5323,19920502,197318,1415310,443,84918
5323,19920502,108355,3817380,902,81801
14935,19921222,183309,818672,746,83538
14935,19921222,61185,458472,1332,68770
5845,19920523,27326,5639940,823,75199
5845,19920523,63350,919345,1595,78801
223,19920108,5121,1026120,1913,61567
223,19920108,23186,869597,1056,66550
21157,19921205,189826,1706995,525,114949
19886,19921226,198755,908337,1451,111225
19886,19921226,62008,485000,1384,58200
19886,19921226,166467,5367110,854,92007
19886,19921226,64424,5773050,472,83305
19886,19921226,110972,594891,1404,118978
10471,19920816,110849,7625344,1466,111590
10471,19920816,35446,1381440,1642,82886
1177,19920707,38850,8944250,1102,107331
1177,19920707,100378,2456255,1455,82702
26135,19921022,100203,120320,43,72192
26135,19921022,107648,3278167,82,99338
26135,19921022,115356,548540,71,82281
26135,19921022,173476,3188809,1388,92968
14887,19920326,59407,3142720,1857,81984
163,19921219,174766,4920351,623,110445
11629,19921007,128155,1301465,1715,70989
11629,19921007,197505,2062417,980,96150
11629,19921007,52961,3253732,560,114837
2107,19920404,97168,3539756,595,69909
24691,19921114,141186,1336399,482,73630
24691,19921114,98567,7439541,1269,93933
16693,19920214,118458,3800382,1343,88587
17521,19920504,30630,4326066,894,93637
17521,19920504,106790,1617111,133,107807
20638,19920301,29967,3568181,903,113817
10040,19921219,20403,2593864,1375,79404
12076,19921106,10517,4568032,445,85650
19090,19920711,99123,1649516,640,67327
23230,19920420,81394,3774070,1232,82523
23230,19920420,186885,7536525,952,118312
109,19920225,55462,5417532,1112,85047
109,19920225,4674,5998946,892,94720
22450,19920913,162812,8436645,801,112488
26896,19920218,42083,502289,1693,61504
26896,19920218,110335,6659383,1963,80719
9748,19920617,198017,1672515,862,66900
9748,19920617,148521,5904534,229,94171
4507,19921024,153926,1746289,1405,118795
28639,19920225,52359,2856120,800,78681
28639,19920225,129686,2522049,1110,102940
28639,19920225,23215,4127149,92,68292
16604,19920707,71066,2464054,1885,62223
16604,19920707,43762,5458432,1073,102345
16604,19920707,16802,171880,299,103128
17029,19920617,190062,4628977,1046,69123
17029,19920617,164527,2836088,599,95491
17029,19920617,110165,349022,1626,70509
16855,19921226,34757,6797451,1839,101505
16855,19921226,160180,2701112,663,74410
16855,19921226,132943,4149474,1629,118556
25073,19920416,199688,6971952,482,107260
7694,19920708,93109,3672197,523,66126
17782,19920528,62758,7925774,1942,103245
13948,19920508,94072,5010529,651,63964
7369,19920302,198782,930986,771,112846
7369,19920302,112738,875365,483,105043
12247,19920207,87146,226628,596,67988
2032,19920308,155592,2099029,597,98855
3047,19920722,40666,6908638,1897,96399
3047,19920722,180128,4832480,445,72487
5054,19920829,113152,3921894,566,69909
24857,19920102,22164,3193310,357,65169
5608,19920910,112372,1628019,1570,83062
4940,19920527,183021,4526482,1134,66241
15577,19920101,12430,4736093,581,80545
26374,19920715,61258,1689880,364,73155
14488,19920816,175680,6496016,322,105340
14488,19920816,99595,7657221,239,95675
1504,19921224,51142,2999576,1914,65588
1504,19921224,185464,1994155,1070,92967
20798,19920701,55456,5504655,411,84687
11594,19920507,176100,5057230,879,70566
11594,19920507,14137,525565,1045,63067
24364,19920920,31250,5325075,1221,70875
24364,19920920,16412,1171657,1038,79704
10864,19921231,113938,4099053,397,117115
1570,19921002,181116,4692671,234,71826
9802,19920306,185285,5505785,856,82216
18019,19920419,118810,7498121,1632,109728
18019,19920419,30427,2261461,1477,81445
20840,19920726,137652,1520685,532,101379
27778,19920808,183461,5146140,262,92667
10163,19920130,41379,3697036,911,79222
10163,19920130,26712,5620775,482,98322
10163,19920130,133023,4809115,376,63361
3595,19920829,22360,1410596,1752,76941
3595,19920829,123890,5873728,999,114833
18248,19920908,28358,3056367,1159,77181
26179,19921205,161340,6797900,926,84080
10664,19920612,187504,4679010,1678,95490
10664,19920612,178945,1821546,1752,121436
9860,19920721,28705,5227840,667,98022
9860,19920721,28675,6033006,551,96220
5189,19920722,143221,1982296,573,75853
5189,19920722,2154,422460,463,63369
6550,19920329,57865,4557150,607,109371
6550,19920329,38472,2094547,1793,84628
21166,19920513,22210,3106784,1431,67932
21166,19920513,77735,4196188,1288,102763
27689,19920414,98932,3784622,210,115855
1361,19920615,66912,9206659,939,112734
1361,19920615,43606,7283120,722,92976
1361,19920615,84544,6740861,1654,91712
26581,19921203,123428,6466076,957,87085
16960,19920203,73422,410253,168,83725
18811,19920617,128493,2890831,1610,91289
18811,19920617,84832,8720784,1723,109009
11776,19921031,49334,2892625,415,76999
11776,19921031,145431,1771716,448,88585
11776,19921031,115255,4527171,1574,76215
11776,19921031,136972,5826013,1854,120538
2068,19921111,166186,2208845,744,75130
2068,19921111,87161,5288424,1759,68889
16223,19921228,62352,2318513,15,78861
16223,19921228,139017,2428823,1771,63360
19024,19920504,77878,2728128,1382,111352
19024,19920504,4647,465492,1080,93098
23948,19920511,25361,2773392,1789,77181
23948,19920511,28901,8966510,1666,109794
23948,19920511,127400,2378048,194,85644
23948,19920511,63413,5643281,532,82584
1901,19920811,125209,4813380,995,74052
1901,19920811,186488,6612816,459,94468
8758,19920110,194854,572961,292,116931
17923,19920607,89152,1711725,1992,68469
27073,19920626,125130,2287157,1437,69307
27073,19920626,48812,862796,1547,105648
5266,19920902,114071,2061633,1701,65104
10490,19920201,17216,3702197,1870,67992
2714,19920113,19184,2537314,1858,66190
2714,19920113,131013,930212,1798,62640
16406,19920814,152709,1761700,1538,105702
27071,19920221,148836,8127386,1575,113089
3352,19921124,75485,3291921,210,87628
3352,19921124,98576,5300002,1961,94474
3352,19921124,152667,3234680,26,103179
17182,19920520,64111,212871,410,64506
17182,19920520,28135,520933,1490,63787
3802,19921027,21960,2446548,134,112917
3802,19921027,83977,6341776,1632,117658
11315,19920710,73126,1632193,1927,65947
7009,19920927,175042,4050387,1594,67022
7009,19920927,124283,4836936,1194,78436
10042,19920811,163606,981724,733,100176
10042,19920811,30446,5859505,1113,82586
14500,19921225,182660,7245980,177,104559
14500,19921225,48956,8960884,585,114297
4730,19920415,192994,5991748,137,125219
3844,19920405,88487,3098508,196,88528
3844,19920405,190714,1414892,1469,108282
17327,19920816,178947,7941684,517,121556
17327,19920816,148415,5853640,587,87804
25517,19920509,110759,884875,845,106185
11627,19921201,75748,1535852,508,103424
8393,19920722,142548,2703918,768,95432
8393,19920722,174430,6469049,394,90265
8393,19920722,40724,3915421,392,99883
25669,19920129,160452,4537350,1215,90747
6637,19921130,174588,814664,1483,99754
29431,19920317,125935,7686845,390,117655
4924,19920715,102504,3877731,1644,90390
4924,19920715,47160,3432196,105,66429
19636,19920714,28406,1200960,88,80064
19636,19920714,95671,8000016,31,100000
12052,19920414,154979,1006815,1803,122038
12052,19920414,127631,4876372,180,99517
21679,19920920,46757,7252863,1355,102225
21679,19920920,36867,4596235,785,108231
3289,19920403,70170,5251623,704,68410
19822,19920705,109265,126151,31,76455
24373,19921117,138249,1019494,480,77234
24373,19921117,54876,3588505,743,109852
25298,19920626,100405,2810800,499,84324
21635,19920508,98341,3080482,161,80360
17284,19921206,113397,3490715,314,84623
9269,19920611,113418,4068067,743,85884
9269,19920611,609,4632962,416,90576
9269,19920611,26972,7595880,694,113938
2668,19920220,8575,6379351,1486,89014
2668,19920220,105660,3754397,1892,99939
2668,19920220,26114,208022,770,62406
9043,19920713,133235,2610017,204,76093
9043,19920713,87447,7100478,324,86066
9043,19920713,114009,1432200,178,61380
5615,19921202,37908,6213299,718,110754
5615,19921202,120800,3605184,597,109248
5615,19921202,83815,2698215,1969,107928
2296,19920801,53087,4576352,699,62404
20272,19920604,67703,7939166,1850,100242
20272,19920604,79443,4267320,586,85346
1354,19921112,90595,621551,419,95135
6734,19920301,88737,8029821,198,103543
6734,19920301,131773,3790017,812,108286
13928,19920521,57296,4912896,696,75197
13928,19920521,13753,2833475,1561,100005
23704,19921104,111655,8249917,749,99999
23704,19921104,105511,7282281,62,90990
26359,19920920,116222,4952880,1355,74293
11740,19920922,65199,1152548,721,69851
27253,19921222,101039,4633333,153,62401
19177,19920604,57202,1476820,1156,69552
23425,19920527,5047,4011896,704,57122
23425,19920527,32074,704249,1222,60364
23707,19920112,34118,3299416,1858,63126
25277,19921118,81223,1192177,1860,72253
25277,19921118,184062,449255,1178,68763
9073,19920903,44119,833478,441,63786
12905,19920610,114726,5396232,102,104443
2446,19920711,31792,1689314,1159,103427
8483,19920626,186440,747955,1519,91586
27229,19920914,132155,3606561,1100,71229
13789,19920316,130490,3040980,814,91229
3541,19920131,43495,6266062,418,86309
11026,19921022,187213,6307318,858,78012
11026,19921022,128836,5482600,1899,111889
9430,19920920,30329,1259320,296,75559
6128,19920808,13617,7349989,326,91836
6128,19920808,7389,777828,456,77782
23602,19920930,66594,7490832,1532,93635
13615,19920615,189612,5785474,310,102096
