"d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1993,22022,106313,5224467,79158
1993,5491,30323,5128585,75199
1993,5491,37902,5519700,110394
1994,14048,52068,3682416,61203
1994,27677,163274,1885550,80236
1993,13096,42793,1718432,104147
1995,21620,72186,2808586,69490
1995,21580,142165,3625101,72429
1995,21580,169071,1769388,68404
1998,24667,135413,5283799,86904
1998,24667,78253,3821800,73875
1998,9673,149155,357632,72249
1997,18878,77695,6545235,100361
1997,20746,190725,1245583,108943
1993,17155,60296,1502522,75377
1993,17155,131815,1344477,110808
1993,26954,180612,4932265,101556
1993,26954,131304,1424765,80118
1993,29888,157288,2126887,80716
1995,21545,26178,3149092,66250
1995,5359,12920,8358115,109975
1996,22811,108339,1034749,80839
1992,3269,130421,2612556,87085
1997,9080,159589,4121450,98914
1998,683,142596,150750,98315
1998,683,155239,640643,77653
1994,3979,22304,4892937,73578
1994,3979,48195,5158073,68591
1994,3979,73386,6261304,81562
1994,692,51019,2976960,58200
1994,692,85751,159781,104205
1994,692,6064,3001365,58203
1995,9931,190809,4616514,113988
1994,18424,22093,1477971,60905
1998,9493,55339,6150656,77659
1998,9493,69532,3770341,90091
1994,26674,120466,4281004,89187
1994,26674,65028,4289846,59581
1993,5711,125414,6981138,86364
1993,5711,109582,6881991,95494
1994,2863,146435,6968646,88885
1994,16547,77794,1374909,106307
1997,22327,99633,6492969,97957
1993,9529,179257,6217571,80175
1993,9529,192416,7021648,90504
1993,9529,119468,4518903,89247
1993,5543,59504,993716,87810
1997,7444,45032,3159715,58621
1998,25474,13243,1828015,69374
1998,25474,141426,4042742,88045
1996,6001,83136,2522519,67147
1996,6001,61396,2450088,81443
1995,13141,137564,1768122,96093
1992,15517,39259,690192,71895
1995,27139,43601,4893292,92676
1995,17347,76742,4716222,103124
1995,17347,196079,705042,70504
1995,17347,94328,5775893,79339
1996,26866,66236,2404460,72133
1996,26866,22293,4210979,72917
1994,8845,6910,6410058,109014
1996,7061,165040,3500766,66302
1996,7061,57913,7745567,112254
1995,8051,161570,323050,97894
1996,6989,27748,1067446,100544
1995,28777,73886,546804,111592
1996,14809,191178,2802327,76150
1997,6824,193205,5971720,77892
1992,3796,86815,5027049,108108
1992,21032,64796,6965685,105647
1997,16615,187248,4967092,80114
1997,16615,62996,5759430,117539
1998,3865,156248,5159573,78254
1997,26062,102437,5333088,86365
1994,3577,42533,2360848,88531
1995,18803,96967,7810668,117837
1995,18803,96449,6439435,86726
1993,8137,161181,6148791,74530
1997,15409,7181,4807579,65290
1997,16967,159785,5770471,110686
1995,29116,1258,2499343,69555
1992,13177,194883,5696294,118672
1998,29762,119764,3610330,107025
1998,29762,57691,7996146,98921
1992,4127,35559,2362883,89673
1992,1412,35415,745426,81024
1992,25796,65225,5202451,71413
1992,25796,35894,3030297,109793
1992,22526,60963,3847920,115437
1992,22526,5015,1242013,55200
1993,20285,33915,6190150,110934
1994,1007,10344,1269392,75260
1994,1007,46897,8850672,110633
1992,26891,87651,3020031,98319
1997,28184,49094,3097977,62585
1997,28184,107273,2335212,76816
1997,28184,197252,1666323,80955
1996,4597,159729,3826072,107323
1996,4597,162096,3554178,69485
1996,4597,124432,4903799,87385
1994,4880,190818,6871716,114528
1995,16924,49509,5289979,87510
1997,20881,91453,1415561,86667
1992,13219,155803,4639564,111528
1993,7244,45405,6025484,81024
