"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
22022,19931117,106313,5224467,79158
5491,19930113,30323,5128585,75199
5491,19930113,37902,5519700,110394
14048,19940924,52068,3682416,61203
27677,19941015,163274,1885550,80236
13096,19930704,42793,1718432,104147
21620,19950527,72186,2808586,69490
21580,19950207,142165,3625101,72429
21580,19950207,169071,1769388,68404
24667,19980619,135413,5283799,86904
24667,19980619,78253,3821800,73875
9673,19980725,149155,357632,72249
18878,19970709,77695,6545235,100361
20746,19970405,190725,1245583,108943
17155,19930412,60296,1502522,75377
17155,19930412,131815,1344477,110808
26954,19930206,180612,4932265,101556
26954,19930206,131304,1424765,80118
29888,19930817,157288,2126887,80716
21545,19950527,26178,3149092,66250
5359,19951229,12920,8358115,109975
22811,19960320,108339,1034749,80839
3269,19920817,130421,2612556,87085
9080,19970905,159589,4121450,98914
683,19980710,142596,150750,98315
683,19980710,155239,640643,77653
3979,19941217,22304,4892937,73578
3979,19941217,48195,5158073,68591
3979,19941217,73386,6261304,81562
692,19941102,51019,2976960,58200
692,19941102,85751,159781,104205
692,19941102,6064,3001365,58203
9931,19950124,190809,4616514,113988
18424,19940314,22093,1477971,60905
9493,19980628,55339,6150656,77659
9493,19980628,69532,3770341,90091
26674,19940501,120466,4281004,89187
26674,19940501,65028,4289846,59581
5711,19930502,125414,6981138,86364
5711,19930502,109582,6881991,95494
2863,19940314,146435,6968646,88885
16547,19941019,77794,1374909,106307
22327,19970820,99633,6492969,97957
9529,19930224,179257,6217571,80175
9529,19930224,192416,7021648,90504
9529,19930224,119468,4518903,89247
5543,19930615,59504,993716,87810
7444,19970713,45032,3159715,58621
25474,19980122,13243,1828015,69374
25474,19980122,141426,4042742,88045
6001,19961201,83136,2522519,67147
6001,19961201,61396,2450088,81443
13141,19950107,137564,1768122,96093
15517,19921206,39259,690192,71895
27139,19950413,43601,4893292,92676
17347,19950818,76742,4716222,103124
17347,19950818,196079,705042,70504
17347,19950818,94328,5775893,79339
26866,19961026,66236,2404460,72133
26866,19961026,22293,4210979,72917
8845,19940401,6910,6410058,109014
7061,19960917,165040,3500766,66302
7061,19960917,57913,7745567,112254
8051,19951129,161570,323050,97894
6989,19960430,27748,1067446,100544
28777,19950324,73886,546804,111592
14809,19961216,191178,2802327,76150
6824,19970717,193205,5971720,77892
3796,19920502,86815,5027049,108108
21032,19921220,64796,6965685,105647
16615,19970413,187248,4967092,80114
16615,19970413,62996,5759430,117539
3865,19980414,156248,5159573,78254
26062,19970804,102437,5333088,86365
3577,19940609,42533,2360848,88531
18803,19950312,96967,7810668,117837
18803,19950312,96449,6439435,86726
8137,19931124,161181,6148791,74530
15409,19970211,7181,4807579,65290
16967,19971017,159785,5770471,110686
29116,19950128,1258,2499343,69555
13177,19921111,194883,5696294,118672
29762,19980802,119764,3610330,107025
29762,19980802,57691,7996146,98921
4127,19920412,35559,2362883,89673
1412,19920511,35415,745426,81024
25796,19920804,65225,5202451,71413
25796,19920804,35894,3030297,109793
22526,19920427,60963,3847920,115437
22526,19920427,5015,1242013,55200
20285,19931109,33915,6190150,110934
1007,19940803,10344,1269392,75260
1007,19940803,46897,8850672,110633
26891,19921028,87651,3020031,98319
28184,19970212,49094,3097977,62585
28184,19970212,107273,2335212,76816
28184,19970212,197252,1666323,80955
4597,19960819,159729,3826072,107323
4597,19960819,162096,3554178,69485
4597,19960819,124432,4903799,87385
4880,19940513,190818,6871716,114528
16924,19950730,49509,5289979,87510
20881,19971122,91453,1415561,86667
13219,19920620,155803,4639564,111528
7244,19930403,45405,6025484,81024
28895,19960120,77479,5493804,87388
28895,19960120,14735,7055895,98983
18668,19980116,131729,4646540,105643
18668,19980116,153740,6855674,107624
18260,19920226,9156,1343154,63909
18157,19921103,188302,6473236,83418
16492,19960821,140308,4294335,80898
1907,19920704,44528,6219924,88351
24353,19960224,96491,6711554,89249
24353,19960224,91001,2777600,59520
5032,19971114,112311,2911282,79398
4538,19920110,179782,2006998,111706
4538,19920110,187807,2940729,113688
19555,19980710,123087,399628,66604
23653,19970205,173177,2700367,75010
23653,19970205,170128,2789223,71887
23653,19970205,20925,3654921,110755
14641,19930313,143503,4361130,92790
14641,19930313,59030,2848406,59341
6602,19970910,49117,2110897,63966
18295,19971231,55202,3407954,69432
6227,19980729,1456,5932056,81447
6227,19980729,199537,2382787,98191
5017,19940112,131325,3420639,81379
28372,19970421,197998,3546415,125759
21079,19971109,7976,5906245,113038
20707,19961021,99652,2304051,99099
10946,19980402,151462,4694752,90807
7273,19931125,10327,5512260,74239
15016,19980129,107979,7550486,119218
15016,19980129,168177,2484114,74710
6001,19961007,6319,5883938,73518
19624,19960331,178323,3643432,84079
27328,19920109,85988,2514850,118438
27328,19920109,163153,111885,72969
27328,19920109,96685,4313509,100900
16747,19950812,194466,2075411,93627
16747,19950812,188154,1485611,74529
7351,19950323,133007,773760,62400
11008,19970429,160127,747885,71227
11008,19970429,189053,4008595,68523
11008,19970429,197476,467320,94408
25175,19961006,122548,6860118,94232
9943,19970727,11616,2199758,91656
8494,19920522,98090,3168518,65285
8494,19920522,192886,8311296,118732
8494,19920522,34325,5387370,75559
8494,19920522,95960,3872800,117357
22942,19950930,47648,1970615,95738
