"d_year","s_nation","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1993,"PERU",24664,4297,5081456,72077
1993,"UNITED STATES",13393,61336,3659767,77839
1992,"ARGENTINA",17224,22630,5651573,93157
1992,"BRAZIL",17224,12903,7417951,108954
1993,"PERU",12868,179809,183213,113328
1992,"ARGENTINA",14792,106828,6553977,110089
1992,"ARGENTINA",7393,1739,7639238,98443
1992,"CANADA",1240,641,3237444,92498
1992,"ARGENTINA",1240,35172,1262173,66430
1992,"UNITED STATES",157,125509,5656167,92070
1993,"BRAZIL",15814,153954,2951686,120477
1992,"CANADA",12346,148984,3057601,121978
1993,"CANADA",27085,93847,7170071,110450
1993,"PERU",27085,85446,4477544,85886
1993,"PERU",12965,135052,2003433,65223
1993,"ARGENTINA",25495,96909,762360,114354
1993,"CANADA",25495,137802,7955295,110388
1993,"BRAZIL",20507,194908,1165687,120174
1993,"BRAZIL",8374,106194,960152,72011
1993,"BRAZIL",8638,23514,5494163,86250
1993,"CANADA",8638,195335,394771,85819
1993,"ARGENTINA",9215,65662,3255320,97659
1993,"ARGENTINA",10100,59620,4896822,94777
1992,"CANADA",8935,32590,6075134,91355
1992,"UNITED STATES",8935,64486,5453804,87028
1993,"CANADA",8026,93563,3891400,93393
1993,"BRAZIL",28366,130881,6056835,114712
1992,"UNITED STATES",21985,188735,6445061,109423
1992,"BRAZIL",16286,66130,5371037,65767
1992,"CANADA",16286,38942,5003300,112856
1992,"CANADA",13082,104545,5020509,92972
1993,"UNITED STATES",26561,94311,4960178,78318
1992,"ARGENTINA",1474,133143,5302039,70568
1992,"ARGENTINA",1474,100047,4422696,62822
1992,"BRAZIL",1474,84932,6325869,115015
1993,"UNITED STATES",26129,42888,1832710,109852
1993,"CANADA",26228,162111,5182799,70386
1993,"CANADA",26228,138984,1359442,121378
1993,"BRAZIL",26228,89308,3243250,77838
1993,"ARGENTINA",26228,185454,1828866,92367
1993,"ARGENTINA",12736,145767,326296,108765
1993,"CANADA",12736,102501,4059450,90210
1993,"UNITED STATES",15998,175068,4032715,68583
1993,"UNITED STATES",19300,179834,1760723,114829
1993,"ARGENTINA",26368,133007,851760,62400
1992,"BRAZIL",23558,94616,3213166,96636
1992,"CANADA",23558,73144,4976858,67028
1993,"UNITED STATES",28705,116568,7764344,95073
1993,"BRAZIL",28705,154875,9361799,115792
1993,"UNITED STATES",28705,180228,5839894,78493
1993,"CANADA",28705,149,1833896,62948
1992,"UNITED STATES",5785,102949,8695892,117116
1993,"CANADA",508,197300,2079182,83838
1992,"BRAZIL",7660,135703,799802,104322
1993,"ARGENTINA",5026,138798,1234322,110207
1993,"UNITED STATES",6437,49110,3660284,63546
1992,"PERU",20578,16788,1619541,102286
1992,"UNITED STATES",21958,84402,549014,83184
1993,"PERU",12034,198758,7003661,111405
1992,"UNITED STATES",15163,96404,921463,84024
1993,"PERU",10591,88088,516518,64564
1993,"BRAZIL",27928,52852,173265,108291
1993,"CANADA",27928,120102,3675999,67326
1992,"PERU",7024,195101,5621670,71766
1992,"PERU",13666,95490,956655,89129
1992,"PERU",26729,77243,4490483,73214
1992,"PERU",24400,41738,3023514,100783
1992,"CANADA",2665,169470,1847364,92368
1992,"UNITED STATES",2665,84249,794206,73994
1993,"BRAZIL",1942,158637,1871975,101737
1992,"UNITED STATES",7165,1035,1263640,56161
1993,"UNITED STATES",22885,69375,2809733,80662
1992,"ARGENTINA",23183,29129,962889,63487
1992,"PERU",2069,21548,1763448,88172
1993,"ARGENTINA",21712,145926,7761477,118315
1993,"UNITED STATES",3181,3390,860104,77603
1992,"CANADA",3398,140001,1405350,62460
1992,"UNITED STATES",18842,197110,5441651,72426
1992,"PERU",18842,11261,3903625,70335
1992,"ARGENTINA",18842,56666,4627826,97359
1992,"UNITED STATES",14950,53819,2074187,106368
1992,"BRAZIL",14950,123555,928187,94713
1993,"BRAZIL",10141,53683,3299546,98200
1992,"BRAZIL",28577,98868,4250840,112011
1992,"BRAZIL",18001,166076,2039737,68524
1992,"ARGENTINA",18001,38700,1415836,98322
1992,"ARGENTINA",18001,21725,1198812,98803
1992,"CANADA",18001,129435,3300825,87865
1992,"PERU",353,102385,2930146,83242
1992,"ARGENTINA",353,177148,1025442,73508
1992,"CANADA",29204,113893,5320223,114413
1992,"ARGENTINA",29204,194708,2568847,108162
1993,"BRAZIL",12476,106243,1996285,74954
1993,"CANADA",12476,19486,1499647,84328
1992,"UNITED STATES",21503,139612,455844,99096
1993,"CANADA",28531,142665,3550225,102459
1992,"UNITED STATES",20527,51371,6215139,79342
1992,"PERU",20527,58030,1689531,59281
1992,"BRAZIL",20527,33276,2757135,72556
1992,"UNITED STATES",29596,193749,1844582,110564
1993,"UNITED STATES",18514,171408,2899624,88764
1993,"BRAZIL",22432,174239,1910749,78793
1993,"UNITED STATES",22432,20091,2139466,60665
1992,"UNITED STATES",4109,138514,7379080,93150
1993,"CANADA",20975,156877,6940659,116032
1992,"BRAZIL",5629,120300,2402946,79218
1993,"BRAZIL",9421,87191,964937,70691
1993,"UNITED STATES",9421,8139,829326,62827
1992,"UNITED STATES",3524,125194,453538,73151
1992,"ARGENTINA",9248,184834,1535064,115129
1993,"UNITED STATES",29293,147333,5383287,82819
1993,"UNITED STATES",29293,16370,864440,77182
1992,"CANADA",16264,134617,7217535,99096
1993,"UNITED STATES",14110,94173,2523421,70030
1992,"ARGENTINA",20866,96908,8326317,114294
1992,"UNITED STATES",20866,149295,2720842,80657
1993,"PERU",26401,118981,1583984,119998
1993,"ARGENTINA",14617,156951,9252633,120477
1993,"BRAZIL",23819,79623,7303139,96157
1993,"UNITED STATES",23819,52536,6573348,89311
1992,"CANADA",15001,168292,5277925,81617
1993,"CANADA",29882,13880,5901865,107632
1992,"UNITED STATES",2413,157697,6618690,105281
1992,"BRAZIL",25151,102954,3131120,117417
1992,"CANADA",25151,138920,7028604,117535
1992,"PERU",3706,109006,3720990,60900
1992,"ARGENTINA",3706,137375,762679,84742
1992,"BRAZIL",26806,51852,3117052,108231
1993,"BRAZIL",14491,33521,6836244,87271
1993,"PERU",14491,13808,4803822,103308
1992,"PERU",12364,48896,7969924,110693
1992,"UNITED STATES",12364,181336,2154341,85039
1992,"PERU",23593,184818,1678278,114168
1992,"PERU",17869,95911,8245478,114414
1993,"BRAZIL",19370,44447,2003673,83486
1993,"PERU",19370,8279,1674050,71236
1993,"ARGENTINA",15994,135354,4780753,83361
1993,"BRAZIL",20129,48678,7645349,97600
1993,"PERU",20129,128105,1917205,67986
1992,"PERU",20681,190213,4853154,78192
1993,"ARGENTINA",24244,117158,2326797,70509
1993,"UNITED STATES",24244,59646,584452,96338
1993,"ARGENTINA",20257,141592,1337910,98015
1993,"BRAZIL",11293,75664,6998068,98379
1993,"BRAZIL",15880,40972,6687743,114778
1993,"PERU",15880,51132,4458163,64987
1993,"PERU",15880,118915,5879086,116034
1993,"BRAZIL",2567,148805,6651434,111228
1993,"CANADA",773,159783,4113084,110566
1993,"BRAZIL",773,309,2781390,72558
1993,"CANADA",14264,71676,459699,98860
1993,"CANADA",16873,115739,2042505,105283
1993,"PERU",16873,18571,1340613,89374
1993,"BRAZIL",2509,160408,3925033,88104
1992,"PERU",9382,70598,2831304,94115
1993,"CANADA",24026,159290,2538014,80957
1992,"CANADA",26155,107511,1914841,91110
1992,"UNITED STATES",1631,52202,3102489,69252
1992,"PERU",17096,180474,6006472,93268
1992,"ARGENTINA",17096,41449,396275,83426
1993,"UNITED STATES",18251,104022,3492572,61561
1993,"PERU",18251,89185,3024687,70450
1993,"CANADA",18251,127040,614615,64022
1993,"UNITED STATES",18251,3498,407833,84089
1992,"ARGENTINA",15520,71490,961660,87689
1993,"ARGENTINA",11047,105867,7663743,112371
1992,"BRAZIL",19469,17768,6979046,101145
1992,"ARGENTINA",1172,47716,332742,99822
1992,"PERU",1172,165770,168890,110146
1993,"ARGENTINA",11614,23153,3917186,64569
1993,"PERU",3079,49203,1939152,69132
1992,"BRAZIL",23531,23483,1500714,84388
1992,"UNITED STATES",23531,63720,3252947,101023
1993,"ARGENTINA",23144,58995,1758591,117239
1992,"BRAZIL",15752,135566,2330269,96093
1992,"ARGENTINA",15752,49478,5769833,85648
1993,"ARGENTINA",23306,71159,411374,67809
1992,"PERU",13771,137332,1018781,82159
1992,"ARGENTINA",13771,194197,2161452,77471
1993,"UNITED STATES",17825,40065,2291536,60303
1993,"UNITED STATES",17825,163403,3869829,87984
1992,"PERU",1574,34078,3683934,60724
1992,"PERU",19708,179343,2230229,85340
1992,"BRAZIL",19708,139814,1219806,111228
1992,"BRAZIL",18403,114577,2864826,95494
1993,"PERU",5606,133261,1682538,77655
