"s_nation","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"ARGENTINA",7381,19960102,63700,1197864,99822
"PERU",24664,19931014,4297,5081456,72077
"BRAZIL",27356,19951011,88035,2977017,61381
"BRAZIL",7828,19960110,94780,7347589,106486
"CANADA",26012,19950716,82704,4486622,101202
"UNITED STATES",26012,19950716,197921,6331333,121135
"UNITED STATES",13393,19931027,61336,3659767,77839
"BRAZIL",12202,19980721,88362,1755468,81021
"ARGENTINA",25519,19951023,119917,6058654,116214
"ARGENTINA",17224,19920603,22630,5651573,93157
"BRAZIL",17224,19920603,12903,7417951,108954
"PERU",16354,19960920,2320,4894169,73339
"BRAZIL",16354,19960920,20590,4495515,90635
"UNITED STATES",25840,19940120,115118,3512641,67986
"ARGENTINA",11323,19961219,21636,566977,93457
"CANADA",11323,19961219,87514,6078112,90090
"PERU",11323,19961219,178306,3934180,83058
"PERU",16898,19940604,115209,5817398,73452
"PERU",12868,19931218,179809,183213,113328
"ARGENTINA",676,19980124,61931,4306415,113575
"ARGENTINA",676,19980124,96645,5417412,98498
"BRAZIL",20896,19940925,40216,3043144,69372
"CANADA",20896,19940925,167180,1209764,74830
"CANADA",29401,19980228,38024,1266018,57721
"CANADA",5600,19960317,118282,5734234,78016
"ARGENTINA",5600,19960317,163334,5030388,83839
"UNITED STATES",145,19970509,61158,1561214,67149
"PERU",5821,19960620,10426,4845858,80185
"ARGENTINA",14792,19920615,106828,6553977,110089
"ARGENTINA",7393,19920508,1739,7639238,98443
"ARGENTINA",18550,19940608,167505,6368625,94350
"BRAZIL",8800,19971129,117350,3608436,82041
"BRAZIL",8800,19971129,89855,1907574,110691
"CANADA",1240,19920501,641,3237444,92498
"ARGENTINA",1240,19920501,35172,1262173,66430
"CANADA",12097,19951021,157510,5069327,94050
"UNITED STATES",12097,19951021,136248,2542795,77054
"ARGENTINA",12097,19951021,115000,1266720,60900
"UNITED STATES",157,19921021,125509,5656167,92070
"BRAZIL",15814,19930808,153954,2951686,120477
"CANADA",12346,19920405,148984,3057601,121978
"CANADA",27085,19931228,93847,7170071,110450
"PERU",27085,19931228,85446,4477544,85886
"PERU",12965,19930317,135052,2003433,65223
"UNITED STATES",6503,19950407,177103,859112,70806
"UNITED STATES",496,19940618,150111,1783464,69666
"UNITED STATES",496,19940618,189967,7843188,123417
"UNITED STATES",6607,19950525,7589,4453822,89794
"ARGENTINA",25495,19930310,96909,762360,114354
"CANADA",25495,19930310,137802,7955295,110388
"ARGENTINA",1978,19951110,165335,2527595,84019
"BRAZIL",20507,19931027,194908,1165687,120174
"BRAZIL",18164,19940929,198124,5560646,73327
"BRAZIL",8374,19931229,106194,960152,72011
"BRAZIL",8638,19930929,23514,5494163,86250
"CANADA",8638,19930929,195335,394771,85819
"UNITED STATES",20947,19961210,95286,5581255,76876
"ARGENTINA",9215,19930629,65662,3255320,97659
"ARGENTINA",1420,19970221,116386,6321929,84142
"ARGENTINA",20750,19970210,46285,1440597,73876
"BRAZIL",23591,19940101,5351,4353252,75381
"BRAZIL",23591,19940101,128923,370864,117115
"ARGENTINA",10100,19930716,59620,4896822,94777
"ARGENTINA",3797,19940929,197507,4559989,96270
"CANADA",7828,19940326,163628,8035195,101497
"CANADA",7828,19940326,95136,1913871,67867
