"d_year","s_nation","lo_partkey","lo_revenue","lo_supplycost"
1993,"UNITED STATES",61336,3659767,77839
1992,"ARGENTINA",22630,5651573,93157
1992,"BRAZIL",12903,7417951,108954
1993,"PERU",179809,183213,113328
1992,"ARGENTINA",106828,6553977,110089
1993,"BRAZIL",106194,960152,72011
1993,"CANADA",93563,3891400,93393
1993,"ARGENTINA",145767,326296,108765
1993,"CANADA",102501,4059450,90210
1993,"ARGENTINA",138798,1234322,110207
1992,"PERU",77243,4490483,73214
1993,"BRAZIL",158637,1871975,101737
1992,"UNITED STATES",197110,5441651,72426
1992,"PERU",11261,3903625,70335
1992,"ARGENTINA",56666,4627826,97359
1993,"BRAZIL",174239,1910749,78793
1993,"UNITED STATES",20091,2139466,60665
1993,"UNITED STATES",147333,5383287,82819
1993,"UNITED STATES",16370,864440,77182
1993,"ARGENTINA",156951,9252633,120477
1992,"BRAZIL",102954,3131120,117417
1992,"CANADA",138920,7028604,117535
1993,"BRAZIL",33521,6836244,87271
1993,"PERU",13808,4803822,103308
1992,"PERU",184818,1678278,114168
1993,"ARGENTINA",135354,4780753,83361
1993,"BRAZIL",40972,6687743,114778
1993,"PERU",51132,4458163,64987
1993,"PERU",118915,5879086,116034
1993,"CANADA",159290,2538014,80957
1992,"BRAZIL",23483,1500714,84388
1992,"UNITED STATES",63720,3252947,101023
1992,"BRAZIL",135566,2330269,96093
1992,"ARGENTINA",49478,5769833,85648
1992,"PERU",137332,1018781,82159
1992,"ARGENTINA",194197,2161452,77471
1993,"ARGENTINA",108989,6948974,119878
1993,"BRAZIL",165850,4582713,114951
1992,"CANADA",69090,1849171,63545
1992,"UNITED STATES",190046,2894629,68162
1993,"UNITED STATES",182485,6081822,94048
1993,"BRAZIL",2546,3427245,86912
1993,"ARGENTINA",45384,749770,79762
1993,"ARGENTINA",162500,2850000,93750
1993,"PERU",51112,1837054,63786
1993,"CANADA",189949,9493304,122336
1993,"CANADA",56730,7372696,101203
1993,"ARGENTINA",53884,7112595,110272
1992,"PERU",95501,1723968,89790
1992,"CANADA",183483,7832400,93988
1992,"ARGENTINA",138940,1315995,118736
1992,"BRAZIL",162936,9594864,119935
1992,"BRAZIL",74334,3626690,78499
1993,"CANADA",91060,2289208,63063
1993,"ARGENTINA",31880,1721286,108712
1993,"ARGENTINA",177771,859678,110926
1993,"PERU",146158,3212672,72249
1993,"PERU",83182,4718979,69910
1993,"ARGENTINA",38828,692593,106009
1992,"UNITED STATES",76356,4132949,79941
1992,"CANADA",104891,7356053,113753
1992,"UNITED STATES",153597,2749882,99035
1993,"BRAZIL",78510,2844542,89310
1992,"UNITED STATES",55509,5730588,87870
1992,"CANADA",82721,4140039,102223
1993,"ARGENTINA",60046,1177066,60362
1993,"PERU",141228,3895236,76153
1993,"ARGENTINA",121045,1984966,63962
1993,"ARGENTINA",53095,1131937,62885
1993,"BRAZIL",132077,1563788,66544
1993,"ARGENTINA",8372,2408375,76822
1992,"BRAZIL",89506,6672921,89730
1992,"CANADA",54193,2477930,68831
1992,"UNITED STATES",55460,5766584,84927
1993,"CANADA",187050,102334,68223
1992,"CANADA",68555,2125352,91413
1993,"PERU",157144,4742100,72068
1993,"ARGENTINA",14617,5270270,91896
1993,"PERU",5079,3631218,59044
1992,"BRAZIL",15771,6659367,101206
1992,"UNITED STATES",18206,310279,67452
1992,"BRAZIL",153250,1212022,78195
1992,"PERU",4984,527025,113338
1992,"PERU",156859,4483089,114951
1992,"PERU",161814,3492758,112548
1993,"CANADA",94648,4786652,98558
1993,"UNITED STATES",151456,3566626,90447
1992,"BRAZIL",166592,7131937,99515
1993,"BRAZIL",150385,5310906,86122
1993,"ARGENTINA",113063,1829302,64563
1993,"BRAZIL",48666,6510309,96879
1993,"PERU",117744,6881356,105704
1993,"UNITED STATES",107767,6197461,106485
1993,"PERU",118262,1843574,76815
1993,"UNITED STATES",13360,3024230,76401
1993,"PERU",78542,4056800,91232
1993,"ARGENTINA",137419,4139117,87384
1992,"BRAZIL",120018,2877363,62280
1992,"BRAZIL",173621,3690882,101677
1993,"CANADA",98095,4820526,65585
1993,"BRAZIL",3290,4209927,71597
1993,"ARGENTINA",45399,1209951,80663
1992,"ARGENTINA",87168,4126231,69309
1992,"BRAZIL",91580,7468148,94294
1993,"UNITED STATES",122365,2451465,83241
1993,"PERU",33688,2896320,97300
1992,"UNITED STATES",63019,369235,58920
1993,"PERU",140335,6139473,82519
1993,"BRAZIL",42201,1040312,68592
1993,"UNITED STATES",36079,858749,60904
1993,"ARGENTINA",163590,1800759,99215
1993,"BRAZIL",43663,438618,96399
1993,"BRAZIL",76004,744800,58800
1993,"BRAZIL",166411,403332,88644
1993,"ARGENTINA",54999,4724747,117239
1992,"BRAZIL",3426,3062983,79765
1992,"UNITED STATES",27554,1240057,88893
