"d_year","s_city","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1993,"UNITED ST7",5491,30323,5128585,75199
1992,"UNITED ST9",3269,130421,2612556,87085
1993,"UNITED ST3",8137,161181,6148791,74530
1992,"UNITED ST7",22526,60963,3847920,115437
1992,"UNITED ST7",26891,87651,3020031,98319
1993,"UNITED ST3",7244,45405,6025484,81024
1992,"UNITED ST1",4538,187807,2940729,113688
1993,"UNITED ST9",14641,59030,2848406,59341
1992,"UNITED ST7",27328,163153,111885,72969
1992,"UNITED ST8",27328,96685,4313509,100900
1992,"UNITED ST0",8494,98090,3168518,65285
1992,"UNITED ST1",8494,192886,8311296,118732
1993,"UNITED ST9",6472,82183,3768192,69910
1993,"UNITED ST5",22105,79763,7617603,104565
1992,"UNITED ST4",26089,159136,5270523,71707
1992,"UNITED ST1",21196,167148,601494,72908
1992,"UNITED ST5",28078,109029,1281954,62281
1992,"UNITED ST6",10414,103264,4360641,76035
1993,"UNITED ST1",8726,154411,1948995,87924
1993,"UNITED ST6",3574,8064,365494,58323
1993,"UNITED ST9",27454,79738,1896373,103063
1993,"UNITED ST0",1544,20292,3920545,72737
1992,"UNITED ST9",1963,146970,9197383,121018
1992,"UNITED ST3",770,143514,2126001,93450
1993,"UNITED ST1",5759,118862,5304025,112851
1993,"UNITED ST4",24559,101653,4924238,99279
1993,"UNITED ST1",3571,153447,2484728,90026
1992,"UNITED ST6",29395,57621,1060832,94717
1993,"UNITED ST9",29599,24110,4915124,62046
1992,"UNITED ST1",22066,167003,4526100,64200
1993,"UNITED ST0",589,35330,1503212,75919
1992,"UNITED ST1",29000,42840,2406834,106970
1993,"UNITED ST6",29296,49846,6335723,107750
1992,"UNITED ST0",4258,138390,1285551,85703
1993,"UNITED ST4",16097,61345,5771410,78380
1993,"UNITED ST0",16097,27034,1136898,57661
1992,"UNITED ST5",6833,126958,3080642,119097
1993,"UNITED ST9",22057,10102,1554585,60726
1993,"UNITED ST1",11560,131395,3708614,85583
1993,"UNITED ST9",24524,33792,1035474,103547
1993,"UNITED ST1",871,49458,3201948,84447
1993,"UNITED ST4",4517,136946,9133421,118976
1993,"UNITED ST8",12496,45057,951947,60123
1993,"UNITED ST3",16972,129308,5347862,80238
1993,"UNITED ST9",27664,102144,2090559,68768
1992,"UNITED ST8",2107,97168,3539756,69909
