"s_city","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST7",5491,19930113,30323,5128585,75199
"UNITED ST1",14048,19940924,52068,3682416,61203
"UNITED ST9",21620,19950527,72186,2808586,69490
"UNITED ST9",3269,19920817,130421,2612556,87085
"UNITED ST5",3979,19941217,22304,4892937,73578
"UNITED ST1",692,19941102,51019,2976960,58200
"UNITED ST1",27139,19950413,43601,4893292,92676
"UNITED ST4",17347,19950818,76742,4716222,103124
"UNITED ST0",17347,19950818,94328,5775893,79339
"UNITED ST7",7061,19960917,57913,7745567,112254
"UNITED ST6",6989,19960430,27748,1067446,100544
"UNITED ST9",3865,19980414,156248,5159573,78254
"UNITED ST7",3577,19940609,42533,2360848,88531
"UNITED ST9",18803,19950312,96967,7810668,117837
"UNITED ST3",8137,19931124,161181,6148791,74530
"UNITED ST7",29116,19950128,1258,2499343,69555
"UNITED ST7",22526,19920427,60963,3847920,115437
"UNITED ST3",1007,19940803,46897,8850672,110633
"UNITED ST7",26891,19921028,87651,3020031,98319
"UNITED ST7",4597,19960819,162096,3554178,69485
"UNITED ST7",4597,19960819,124432,4903799,87385
"UNITED ST3",7244,19930403,45405,6025484,81024
"UNITED ST8",18668,19980116,153740,6855674,107624
"UNITED ST1",4538,19920110,187807,2940729,113688
"UNITED ST9",14641,19930313,59030,2848406,59341
"UNITED ST6",15016,19980129,107979,7550486,119218
"UNITED ST7",27328,19920109,163153,111885,72969
"UNITED ST8",27328,19920109,96685,4313509,100900
"UNITED ST0",16747,19950812,194466,2075411,93627
"UNITED ST0",11008,19970429,189053,4008595,68523
"UNITED ST0",8494,19920522,98090,3168518,65285
"UNITED ST1",8494,19920522,192886,8311296,118732
"UNITED ST4",22942,19950930,47648,1970615,95738
"UNITED ST3",16400,19960824,169672,4120791,104500
"UNITED ST7",3296,19940130,1451,2190969,81147
"UNITED ST0",2216,19951015,188846,8911873,116090
"UNITED ST9",6472,19930715,82183,3768192,69910
"UNITED ST0",22663,19970522,113797,6756057,108647
"UNITED ST3",14803,19970722,11936,6157302,110875
"UNITED ST1",27373,19971118,54721,7373168,100543
"UNITED ST9",13544,19980312,176458,2430568,92067
"UNITED ST5",13258,19970527,170683,7819659,105220
"UNITED ST8",13258,19970527,68038,4684075,60361
"UNITED ST7",28526,19970107,85979,5006743,117898
"UNITED ST0",28526,19970107,33259,1298360,71535
"UNITED ST5",22105,19931209,79763,7617603,104565
"UNITED ST4",26089,19920524,159136,5270523,71707
"UNITED ST0",16471,19940808,76666,5289365,98559
"UNITED ST1",21196,19920212,167148,601494,72908
"UNITED ST9",26995,19970615,198074,2900873,70324
"UNITED ST9",16816,19950806,172017,3380287,65340
"UNITED ST1",16816,19950806,30291,2992160,73277
"UNITED ST5",28078,19920619,109029,1281954,62281
"UNITED ST6",10414,19920103,103264,4360641,76035
"UNITED ST0",17993,19960308,160504,1703740,93870
"UNITED ST7",27314,19941010,52449,3481176,84086
"UNITED ST4",1600,19940313,74990,6906939,117899
"UNITED ST1",8726,19930916,154411,1948995,87924
"UNITED ST6",3574,19930307,8064,365494,58323
"UNITED ST9",446,19941002,167326,5162250,83599
"UNITED ST9",27454,19930701,79738,1896373,103063
"UNITED ST0",1544,19931130,20292,3920545,72737
"UNITED ST1",18628,19960813,89557,2850291,92793
"UNITED ST1",1124,19950908,136691,2384212,103661
"UNITED ST3",6889,19970130,20642,1909546,93758
"UNITED ST1",3973,19971016,67308,5338405,76518
"UNITED ST7",4250,19940401,99357,5615289,81381
"UNITED ST3",28262,19960826,192783,3314503,112546
"UNITED ST5",29242,19970511,160767,3799913,109665
"UNITED ST8",7594,19950920,143897,3953592,116453
"UNITED ST9",1963,19921118,146970,9197383,121018
"UNITED ST0",11990,19950210,179289,2672250,82096
"UNITED ST3",770,19920525,143514,2126001,93450
"UNITED ST1",5759,19931015,118862,5304025,112851
"UNITED ST0",29423,19971219,165594,3153221,99575
"UNITED ST4",24559,19930801,101653,4924238,99279
"UNITED ST0",24673,19970212,18947,6381514,111956
"UNITED ST1",3571,19930115,153447,2484728,90026
"UNITED ST6",29395,19920510,57621,1060832,94717
"UNITED ST7",15307,19950411,135379,3704235,84862
"UNITED ST9",29599,19931008,24110,4915124,62046
"UNITED ST7",9824,19961223,42501,4157280,86610
"UNITED ST0",28945,19980607,128147,334914,70508
"UNITED ST6",7231,19950411,49766,2800120,102945
"UNITED ST5",20581,19950825,156830,1418896,113209
"UNITED ST1",22066,19920731,167003,4526100,64200
"UNITED ST9",16700,19960221,28619,4333308,92856
"UNITED ST9",26644,19950817,162370,952526,85942
"UNITED ST4",998,19940330,177083,3948912,69604
"UNITED ST9",998,19940330,24719,4556364,98622
"UNITED ST0",15268,19940714,34439,2452945,82405
"UNITED ST9",22966,19960213,44303,1589060,74838
"UNITED ST3",20998,19940404,12420,3033920,79945
"UNITED ST4",6148,19971116,137043,3147236,64802
"UNITED ST4",1106,19940611,76703,4399134,100782
"UNITED ST0",589,19930902,35330,1503212,75919
"UNITED ST3",23452,19960427,104583,5580343,95254
"UNITED ST9",6224,19950802,145062,322154,66423
"UNITED ST8",6760,19960528,96386,6231769,82942
"UNITED ST4",27472,19980526,17279,5337756,71776
"UNITED ST1",29000,19921129,42840,2406834,106970
"UNITED ST9",9796,19950602,149320,1369320,82159
"UNITED ST7",6155,19951130,62538,6029129,90031
"UNITED ST7",26674,19970121,126585,7107067,96694
"UNITED ST7",26674,19970121,176182,1373932,75490
"UNITED ST0",14533,19941102,86470,4289304,87388
"UNITED ST0",7915,19970508,89829,4861705,109129
"UNITED ST6",29296,19930502,49846,6335723,107750
"UNITED ST8",27347,19950921,81069,4888029,63003
"UNITED ST7",6904,19950423,177479,2487239,93388
"UNITED ST6",9941,19961112,9350,2838574,75561
"UNITED ST7",1049,19950831,136118,210048,69246
"UNITED ST0",4258,19920216,138390,1285551,85703
"UNITED ST2",28396,19960326,31317,5808386,74898
"UNITED ST9",26611,19980428,20713,4162693,98022
"UNITED ST0",9602,19940812,191895,1967021,119213
"UNITED ST4",16097,19930730,61345,5771410,78380
"UNITED ST0",16097,19930730,27034,1136898,57661
"UNITED ST1",19285,19950104,45863,3869151,108531
"UNITED ST8",29938,19970129,19421,5971571,80425
"UNITED ST5",6833,19920211,126958,3080642,119097
"UNITED ST3",28417,19951115,96419,1064388,84924
"UNITED ST9",25964,19940918,22231,3164463,69193
"UNITED ST0",25964,19940918,30838,5985720,106129
"UNITED ST0",10106,19980316,193868,6603620,117711
"UNITED ST9",16462,19950611,149798,3647537,110867
"UNITED ST9",22057,19930320,10102,1554585,60726
"UNITED ST1",11560,19931120,131395,3708614,85583
"UNITED ST6",7747,19970313,76744,3923287,103244
"UNITED ST3",12556,19960520,178846,6467462,115490
"UNITED ST1",506,19980429,75211,2208723,71172
"UNITED ST6",6472,19950605,66051,567513,61023
"UNITED ST9",24524,19930310,33792,1035474,103547
"UNITED ST0",19183,19960522,84133,3720042,67027
"UNITED ST1",871,19931225,49458,3201948,84447
