"d_year","s_city","lo_partkey","lo_revenue","lo_supplycost"
1993,"UNITED ST7",30323,5128585,75199
1992,"UNITED ST7",60963,3847920,115437
1992,"UNITED ST1",187807,2940729,113688
1992,"UNITED ST0",98090,3168518,65285
1992,"UNITED ST1",192886,8311296,118732
1993,"UNITED ST9",79738,1896373,103063
1992,"UNITED ST9",146970,9197383,121018
1993,"UNITED ST4",101653,4924238,99279
1993,"UNITED ST1",153447,2484728,90026
1993,"UNITED ST4",61345,5771410,78380
1993,"UNITED ST0",27034,1136898,57661
1993,"UNITED ST9",10102,1554585,60726
1992,"UNITED ST8",97168,3539756,69909
1993,"UNITED ST1",173145,2129308,73088
1992,"UNITED ST2",113152,3921894,69909
1992,"UNITED ST9",77878,2728128,111352
1992,"UNITED ST9",89615,4980709,96276
1993,"UNITED ST8",83714,5561697,101862
1992,"UNITED ST4",167173,3690745,74410
1992,"UNITED ST8",75777,652030,105166
1992,"UNITED ST1",167245,716483,78734
1993,"UNITED ST1",163128,2818189,71467
1993,"UNITED ST2",40801,2534319,104508
1993,"UNITED ST0",106517,5621751,91410
1992,"UNITED ST5",1211,2046466,66732
1992,"UNITED ST7",140959,2819929,119997
1992,"UNITED ST9",41691,320007,97961
1992,"UNITED ST3",54665,6996931,97179
1993,"UNITED ST7",184895,768197,118793
1993,"UNITED ST4",148317,6224448,81918
1993,"UNITED ST4",114030,991828,62641
1993,"UNITED ST7",42589,4548792,91894
1993,"UNITED ST6",97047,4658506,62642
1993,"UNITED ST3",176727,8484698,108223
1992,"UNITED ST1",102481,3337830,89008
1993,"UNITED ST4",33983,7326697,115018
1993,"UNITED ST6",199102,2282090,72066
1993,"UNITED ST7",178456,1141630,92067
1992,"UNITED ST5",184392,6451824,88583
1993,"UNITED ST0",84641,6276596,97538
1992,"UNITED ST0",29939,4616257,112135
1992,"UNITED ST3",15537,2157007,87151
1992,"UNITED ST0",26180,2206829,66370
1992,"UNITED ST0",39727,4620147,100003
1992,"UNITED ST7",106591,5981376,95855
1992,"UNITED ST6",48795,3967122,104627
1992,"UNITED ST9",63863,1929164,109611
1992,"UNITED ST9",126019,855863,62700
1992,"UNITED ST0",151624,6772856,100537
1992,"UNITED ST4",66680,5756793,98800
1992,"UNITED ST0",56170,2229816,67570
1993,"UNITED ST5",132683,2712490,102940
1993,"UNITED ST4",6370,3101579,76582
1993,"UNITED ST4",76217,4080778,71592
1993,"UNITED ST0",197761,2198913,111525
1992,"UNITED ST4",107992,2759986,119999
1992,"UNITED ST3",78224,1399384,72133
1992,"UNITED ST5",103116,3706492,67146
1993,"UNITED ST0",88091,2767865,64745
1992,"UNITED ST8",196553,2144415,98973
1992,"UNITED ST1",160603,5662894,99816
1992,"UNITED ST7",39506,4755695,86730
1993,"UNITED ST8",149251,1146820,78015
1993,"UNITED ST2",79653,4754276,97959
1992,"UNITED ST4",48346,1747359,77660
1992,"UNITED ST9",109719,2395992,103722
1992,"UNITED ST1",92199,3919015,71471
1992,"UNITED ST0",180970,3740969,123058
1992,"UNITED ST3",19276,2342729,71716
1993,"UNITED ST8",87905,5224404,113574
1993,"UNITED ST0",15042,2961081,57422
1992,"UNITED ST7",55928,6375185,113035
1992,"UNITED ST0",162874,5702145,116212
1992,"UNITED ST8",19264,4246720,70995
1992,"UNITED ST3",15198,100187,66791
1992,"UNITED ST0",157988,5192697,122758
1992,"UNITED ST4",20077,4343236,59824
1992,"UNITED ST4",129673,950089,102160
1992,"UNITED ST3",21260,3241377,70875
1993,"UNITED ST9",147204,125120,75072
1993,"UNITED ST4",131748,1601766,106784
1993,"UNITED ST0",183354,7043015,86241
1993,"UNITED ST4",57647,4775408,96278
1992,"UNITED ST1",143995,6194451,122339
1993,"UNITED ST3",160964,2049259,121497
1993,"UNITED ST1",131834,3683148,111949
1992,"UNITED ST3",153730,7491666,107023
1992,"UNITED ST9",30627,7165052,93457
1992,"UNITED ST5",93895,1309000,113333
1992,"UNITED ST0",171202,2249744,76392
1992,"UNITED ST5",84866,1721299,111051
1993,"UNITED ST7",56525,2088943,88891
1992,"UNITED ST6",22189,5333664,66670
1993,"UNITED ST4",96679,670268,100540
1992,"UNITED ST3",98964,2649996,117777
1992,"UNITED ST6",127350,5330344,82641
1992,"UNITED ST2",189875,3018040,117892
1993,"UNITED ST6",163602,154900,99936
1993,"UNITED ST7",11178,1102240,65350
1992,"UNITED ST9",185681,3858429,106000
1992,"UNITED ST8",93225,2923728,73093
1993,"UNITED ST0",177726,649339,108223
1993,"UNITED ST9",195015,2997027,66600
1993,"UNITED ST1",6474,5140870,82828
1992,"UNITED ST7",65879,7185768,110692
1993,"UNITED ST7",107344,1337826,81080
1993,"UNITED ST1",114510,896411,91470
1993,"UNITED ST9",12841,3989986,105230
1992,"UNITED ST9",196371,2270021,88042
1993,"UNITED ST1",107007,4056000,60840
1993,"UNITED ST8",108610,3997966,97116
1992,"UNITED ST3",173432,885192,90325
1992,"UNITED ST0",90990,4754376,118859
1993,"UNITED ST3",183328,1155871,84679
1993,"UNITED ST6",159013,3666274,64320
1993,"UNITED ST0",149555,5853398,96273
1993,"UNITED ST8",100085,2666041,65104
1992,"UNITED ST3",192271,6022926,81796
1992,"UNITED ST1",110333,5371976,80599
1993,"UNITED ST0",97594,3361438,95495
1992,"UNITED ST3",13140,3984028,63188
1992,"UNITED ST9",99761,7099384,105645
1992,"UNITED ST5",81602,864645,95016
1992,"UNITED ST6",31569,976864,90033
1992,"UNITED ST1",54545,697286,89972
1992,"UNITED ST2",158325,5217883,82999
1992,"UNITED ST4",123465,148846,89307
1992,"UNITED ST9",177072,3450657,68944
1993,"UNITED ST9",17143,3746534,63608
1993,"UNITED ST6",122546,6901576,94112
1992,"UNITED ST7",49372,2510603,79282
1992,"UNITED ST4",166764,6393013,109845
1993,"UNITED ST9",21297,336248,73097
1992,"UNITED ST4",183292,2508528,82517
1993,"UNITED ST4",55048,3691187,60182
1993,"UNITED ST9",153595,3198264,98915
1993,"UNITED ST7",153625,1735693,100717
1993,"UNITED ST7",106224,1948668,73813
1993,"UNITED ST7",9469,4999674,82707
1992,"UNITED ST3",87569,2957464,93393
1992,"UNITED ST9",118378,6635550,83782
1993,"UNITED ST1",22136,2095097,63487
1992,"UNITED ST9",75296,2776497,76277
1992,"UNITED ST0",187787,3599577,112486
1993,"UNITED ST1",99531,5999677,91831
1992,"UNITED ST4",35078,4862736,60784
