"lo_orderdate","lo_partkey","lo_revenue"
19970628,80345,3149007
19970305,152084,1776829
19970719,94870,3224360
19970125,3191,1811978
19971230,47991,4031160
19970724,100596,3266623
19970313,60210,2896269
19971104,30123,2580144
19970702,35495,3347346
19970329,124891,5017715
19970329,35412,3328102
19971127,179106,2645143
19970626,147991,3874081
19971202,114169,2023203
19971221,98472,3280618
19970613,5685,2895037
19970216,44692,3977156
19970608,119918,3139414
19970609,165607,3177940
19970519,68957,3813381
19970519,14027,2190694
19970403,94198,1995726
19970210,85420,2892354
19970501,12315,2794584
19971212,191848,3264750
19970705,131227,2010635
19970412,15161,1958611
19970126,183323,3417357
19970126,129781,2893626
19970428,37868,3153031
19970714,173936,3658072
19970923,3016,1588049
19970630,191147,2050359
19970402,28982,4120072
19971204,79864,4425264
19971204,5253,2585214
19970122,190862,3515148
19970126,129667,2855478
19971204,58198,2691610
19971204,127163,2599309
19970813,168943,5178733
19970712,151619,4420434
19970904,93140,2165430
19970702,178589,2608095
19970626,62806,2796472
19971130,183615,4328058
19971130,6111,2315959
19970521,120181,2762714
19970213,69009,2273850
19970213,34035,1939998
19970930,31855,2991186
19970930,53935,3162068
19971124,5531,2246732
19970128,30716,3896115
19970629,84365,2512508
19970213,52705,3938695
19970717,104860,3222478
19970808,150026,2065958
19970125,82698,4063908
19970806,86056,1718340
19970927,38167,2181585
19971116,75537,3235301
19970325,105963,4479384
19970725,160654,3864821
19970721,133455,2572041
19970403,77258,2581672
19970221,96411,3686006
19970828,160385,2718759
19971213,186023,2550746
19970316,34503,2594687
19971127,14795,2831412
19971103,67583,3172486
19971123,142229,2616170
19970226,43273,2919048
19970216,76072,2068890
19970827,125912,4028914
19970326,89729,3440877
19970707,76356,3221622
19970115,78116,2113820
19971104,182508,3777437
19970616,145615,3985464
19970716,168851,3574760
19970607,42802,4239864
19970514,64790,4311519
19970106,102133,2240746
19971206,160948,4331274
19970827,164626,3644976
19970721,161302,3644100
19970721,191094,3135748
19970917,46653,3237691
19970513,79711,3347605
19970531,153133,2509851
19970509,24383,2796485
19970429,97353,2203771
19970429,162713,4084133
19970315,171956,3447515
19970515,24053,2020539
19971213,55556,3518888
19970807,188279,3248633
19971205,68122,2589035
19970106,164587,3633476
19970511,121237,2518976
19970322,151812,4383681
19970825,146349,2386031
19970114,167902,3047435
19970503,22506,2687008
19970102,132086,2571584
19971219,24337,2436889
19970813,7473,3540905
19970903,65844,3438696
19970204,21443,2693404
19970318,99523,3602282
19970201,6364,2286648
19970418,47988,4704431
19970422,172263,3071098
19970422,81822,3246876
19970821,40644,3831659
19970616,23429,2986143
19970422,27296,2637413
19970201,192920,5434884
19971014,163428,3504837
19970915,150003,1743768
19971117,159200,2991859
19970728,120937,4886993
19970204,193784,4412783
19970721,25377,2844376
19971117,140380,2505550
19970501,67739,3440767
19970216,134394,3252444
19970601,44784,3537083
19970505,102589,2864844
19970928,27241,1913577
19970704,131824,4175595
19970809,195602,3225440
19970506,142777,3348376
19971010,28662,3306982
19970517,135082,2627372
19970725,54184,2162542
19970307,164212,2671107
19970307,105064,2458838
19970409,36597,4016472
19971213,105271,2297286
19971211,7184,1928115
19970430,127363,2814088
19970704,136122,2692629
19971209,190279,2674184
19970902,34677,3771307
19970115,12429,3138922
19970613,6364,2051631
19970215,18679,3099479
19970427,20313,2836613
19971003,112574,2893903
19970915,23920,3252674
19970406,166232,2173237
19970509,80901,3912470
19971127,54125,2050328
19970508,25547,2948025
19970802,183687,3187224
19970622,85324,2333208
19970311,84677,3630748
19970311,18434,2207165
19971229,59423,3414577
19970224,103594,3674457
19970611,31752,3465157
19970119,16575,2663944
19970306,192370,2886718
19970314,68018,2267823
19970314,184811,4276947
19970108,50996,3364398
19971010,183167,2494069
19971219,170127,2873088
19971101,166795,3219034
19970416,3174,2279291
19970214,181746,3684723
