"lo_custkey","lo_orderdate","lo_revenue","lo_suppkey"
3566,19930203,2739778,1447
3566,19930203,1672719,703
6472,19930804,3447750,1211
6472,19930804,2416882,982
6472,19930804,1591437,1364
6472,19930804,1907892,1717
19528,19931207,1881695,1234
29641,19930804,3714926,905
15979,19931230,3646722,167
23927,19931022,2313136,1007
23927,19931022,1805840,206
9463,19930318,1334186,1632
27424,19930525,3888700,1803
27424,19930525,3317448,294
27424,19930525,3505448,646
1789,19930322,2705909,1926
25207,19930930,2308818,1991
29608,19931023,1990731,710
29608,19931023,3562690,1343
22132,19930519,1651460,49
9782,19931105,2587248,271
9782,19931105,3579207,1164
3643,19930422,3958122,1587
23210,19930710,1857449,1850
8269,19930124,2110352,1714
10690,19930611,2144531,736
20281,19930422,3751467,1022
20281,19930422,3235318,1839
18056,19930118,3506727,1364
18056,19930118,2885865,1599
26938,19930326,3297062,1908
14341,19930515,2869764,544
22582,19931205,2490960,600
5773,19931006,2466465,451
24400,19930515,2347741,822
13349,19930122,2250368,1473
11947,19930226,3105057,1811
11947,19930226,2369055,1081
11947,19930226,3491052,1574
26308,19931018,2932428,809
26308,19931018,2341484,1837
26308,19931018,1491811,1436
12349,19930529,2346255,225
12349,19930529,1423242,750
12349,19930529,2061847,1945
12349,19930529,1562801,1576
22990,19930729,1818683,1272
26992,19930103,2420209,1114
3229,19930406,3025413,399
3229,19930406,2096277,201
26551,19930428,2171776,326
29273,19930324,2046178,1145
15689,19930522,1529623,830
12551,19930106,3237831,1960
29878,19930607,2667815,328
11329,19930312,2016416,1151
25336,19930313,1367088,1309
20281,19930516,2134555,304
4807,19930609,2189523,1159
4807,19930609,2356293,1397
4807,19930609,1476371,1229
8132,19930419,3093870,1774
8132,19930419,1665867,820
8893,19931003,1549387,219
16405,19930226,1987345,1082
16405,19930226,2658736,757
10729,19931226,3772925,1511
22525,19930301,3398238,1448
19357,19930630,2812251,1478
8933,19930526,3598447,1858
20569,19931116,3489648,591
21808,19930924,1339200,672
15221,19930714,2717457,924
23932,19930810,3165107,127
19369,19930429,2613127,1531
5482,19931128,2484885,486
15314,19930610,3107262,127
15314,19930610,2663313,961
9301,19930722,2419228,500
11966,19930405,1775109,231
26825,19931209,2200588,1946
9916,19931211,1692308,1901
16925,19931105,1660668,1268
16925,19931105,2129847,1126
9692,19930519,2312458,1973
20941,19931214,2052328,1532
16679,19930212,3500146,1768
2350,19930105,2133825,1047
4084,19930801,4138807,1452
12541,19930716,3017947,581
