"lo_orderdate","lo_partkey","lo_revenue","lo_suppkey"
19930806,470503,2143913,8848
19930806,342825,2898841,15423
19930417,221082,4620140,1868
19930104,22830,520590,8782
19930104,290349,1181289,4285
19930509,171974,7144527,5891
19930509,163585,2558596,1534
19930509,26870,5870374,16338
19930207,468991,7984917,12012
19930207,309214,2757092,19622
19930207,114981,8606665,10637
19930921,96275,3576082,3340
19930729,324239,5502586,16885
19930313,199533,5919553,12507
19931215,508891,8006052,10443
19931223,240685,6372626,2565
19930420,112652,2120764,3854
19930420,328109,2138866,4310
19931016,447105,927934,13168
19931208,586027,4858245,13240
19930424,412681,4259853,6234
19930120,443981,7734489,18510
19930923,594790,3731844,13467
19930625,344291,6476108,12915
19930929,101733,4293456,7940
19930828,257758,3567023,3359
19930828,122379,6659310,2308
19930623,63114,2111135,15304
19930623,294094,4691800,14231
19930305,37755,3981348,3659
19930305,326261,5607261,6508
19931020,340770,4436362,10301
19930531,496304,4792832,14626
19930531,388122,4343084,3130
19931119,472082,3652317,7754
19931118,300849,8701600,11987
19930717,558360,4169919,18950
19930717,345218,3466220,2383
19930522,496872,6410155,2921
19930522,147995,2629328,8261
19930825,43245,1844148,13635
19930920,441609,6016250,12823
19930920,116516,3754649,3194
19930920,235583,5208695,3124
19930909,322022,3410780,19987
19930909,234647,1252650,12581
19930321,62322,4734003,12673
19930321,435428,4496493,13308
19930612,461619,6745958,5620
19931114,253070,2083973,15706
19931212,163297,266616,505
19931025,242353,1282386,9591
19931119,18482,2195952,12707
19931119,255995,3595656,7371
19930110,17369,4866299,4037
19930805,444872,2158417,8802
19930318,566352,1528959,1246
19930107,15150,2847145,2489
19931021,188274,2002536,191
19931021,515251,2481810,407
19931021,124924,2291929,12657
19931021,190935,6878032,18885
19931201,261295,2736177,18988
19931201,373991,4856832,9419
19931201,54253,4449923,14411
19931022,468608,6881771,3418
19930225,308246,4793667,12011
19930105,376203,2005769,3483
19930615,130738,5026730,1193
19930611,339995,8259983,15122
19930611,436520,847683,8490
19930407,274786,1394529,13772
19930911,523895,4137083,14722
19930911,90530,3834776,5107
19930911,530639,2915139,19271
19930603,440974,5308241,7145
19930603,234222,3701028,11018
19930413,322570,2028921,8251
19930823,140302,5979946,8825
19930823,45211,1144647,17629
19930808,577254,1054334,17648
19930808,431853,4594152,5399
19930218,428815,5179056,4910
19930311,506055,3327390,15684
19931117,506739,5357583,3195
19931117,347627,4642018,16760
19931128,197813,8896731,12516
19931128,32214,778276,13602
19931128,358642,3166573,12063
19931128,224644,3535692,17690
19930227,373583,1124811,14087
19930729,52073,3380680,12592
19931118,395905,594264,13632
19930223,258522,5026331,8969
19930820,228062,1960299,10364
19930425,198591,6356237,11750
19930529,75972,7558123,13262
19930529,48823,6359061,6953
19930104,289997,7516745,4985
19931021,372884,1328714,3348
19931021,347543,787312,13103
19931021,99168,231097,13563
19930315,149066,2207818,13202
19930401,50705,4543240,7353
19931119,401195,4082137,9576
19930815,151776,1950230,747
19931129,489449,2232427,17446
19931129,154388,1554885,12435
19930609,323174,3367611,13658
19930708,568532,4705499,10790
19931228,28564,6353827,18847
19931228,208003,2705640,19030
19930923,210691,3139292,93
19930923,471063,1433179,8393
19931217,20069,3453797,8494
19931217,91138,4471354,5718
19931217,544539,1410907,12849
19931217,260789,7977201,18686
19931021,72274,2538651,16155
19931021,296210,358241,7832
19930404,337772,8062480,7504
19930404,407703,315693,14990
19931221,191420,888714,9180
19930220,130474,5012894,14827
19930220,462236,939396,7305
19930220,454627,6199872,17685
19930327,375458,7590528,16424
19931126,494970,2096601,12380
19930525,459148,4773901,3128
19930525,294930,8866181,12123
19930328,17029,3986528,3759
19930328,5469,2585359,3938
19931208,5237,904646,461
19931208,293295,5739287,3838
19930318,211565,6077479,12114
19930709,285929,4691529,7218
19930804,408631,5792012,12287
19930804,260650,631370,5707
19930630,187556,7322015,4008
19930110,197878,1549082,11743
19930110,259412,3122677,12537
19931220,464164,1326692,4804
19930912,462949,1514240,361
19930912,129911,4565020,1165
19930912,11965,1471536,19835
19930413,120066,1383640,4181
19930413,179792,6420239,6054
19930512,265446,2934362,19573
19930512,345159,3218666,10451
19930502,140896,2277782,9418
19930502,68339,4945629,17450
19930502,172492,613280,11176
19930313,153200,1473763,10472
19930313,176994,2029570,17181
19930906,364532,3911474,9291
19930828,331105,4676146,13946
19930522,133955,2144088,2434
19930323,96879,8088751,1798
19930323,443118,1680766,9165
19930420,333015,4565088,1467
19931128,199814,7239943,19456
19931128,58539,4696254,14819
19930417,96215,4391847,3737
19931022,579558,3530514,12587
19931222,577021,4304160,3036
19931222,500113,4518032,3738
19930819,395744,364266,11814
19930328,418656,6391423,8965
19930328,135166,4002265,10987
19930721,109026,4970166,15634
19930721,598618,7647408,14017
19930405,380407,1472516,7679
19930107,190981,8325215,686
19930505,592953,2381462,11574
19931218,289591,6415574,6375
19930720,293026,4493834,19631
19930720,362687,1028805,7889
19930626,516230,3541728,9633
19930112,251650,7301876,16092
19930112,591076,2943300,2684
19930719,56142,2023872,11244
19930719,367818,5974214,7267
19931110,167020,2797989,4690
19931110,296028,4271145,18313
19931110,135648,4000328,15189
19930613,72527,3859764,16693
19930329,124284,3077074,10148
19931110,264552,4560235,7065
19931110,315093,3290997,8004
19930116,477650,4511790,19671
19930204,12983,2815530,5977
19931120,314673,6384417,13584
19931120,170630,4882508,17095
19930726,535182,4604516,18532
19930516,557729,2653249,18459
19930516,321043,2085498,5166
19930516,564038,320684,12259
19931016,381211,5013736,9137
19931016,576664,7766735,7969
19930423,474547,6346259,5961
19931230,187613,4377370,14049
19930604,6514,5098210,12119
19930604,283837,5298586,6239
19931230,375847,3236122,5487
19930202,476470,3260298,18284
19930202,419056,4826398,5244
19930828,489078,207007,3349
19930828,526935,1553832,12385
19931016,416810,2369155,18325
19930327,464070,1433193,13524
19930327,223834,2436338,14479
19930830,481463,5719982,8100
19930322,441954,5255517,1124
19930322,117391,6830691,2663
19930322,105430,1266049,9422
19930322,251764,5212448,1362
19930324,457996,758140,3823
19930324,39844,4671876,12730
19930324,56804,4313960,10032
19930324,102874,7725196,14605
19931201,412001,3276685,2732
19931201,547966,3749956,14387
19931003,444701,3671512,6164
19931003,118286,511277,10916
19930107,289641,790855,3688
19930107,191632,334384,9688
19931012,120872,4773818,5283
19931012,493422,1922113,1747
19931128,257230,4537554,13146
19931128,256840,880446,13281
19931210,376897,4449125,11282
19931210,378112,2565855,14823
19931210,323993,2934705,113
19930201,462026,195624,167
19930201,62855,5113612,12273
19930807,553703,347822,18549
19930807,232516,562018,4720
19930121,277978,2108524,16511
19930420,407473,1205132,581
19930420,588364,6831807,859
19930420,30453,5558702,6158
19930420,577633,4190994,5202
19931207,52208,3183588,4968
19930303,554320,1088445,14801
19930303,566847,2970248,12499
19930303,181784,6515303,5550
19930925,58254,2586941,11881
19930112,48964,7686273,4390
19930410,24045,3549593,14733
19930325,479290,4186052,3065
19931217,113340,3183055,19195
19930513,565477,5497291,1160
19930513,85958,8862468,1360
19931230,534388,4277036,13562
19931230,45663,4618462,9797
19930410,164840,369538,1258
19930410,260210,3859319,10611
19931015,476622,7519814,8044
19931015,62147,2854926,1628
19930124,165232,2696941,9733
19930124,572496,3689041,19239
19931114,165329,1352490,8279
19930201,539039,731968,602
19931005,498304,128925,15062
19931005,511334,3862385,532
19930618,188824,5302337,17779
19930618,463474,4126918,14681
19930618,405041,278129,729
19931112,531608,6817373,8881
19931112,129226,4139715,997
19930616,299631,1917609,15121
19930616,418709,5683858,17681
19930728,562169,3224355,18162
19930403,215404,2456704,5489
19930117,485522,4825507,9400
19930330,44532,5209197,18546
19930221,513789,3147618,312
19930221,511850,8668680,7521
19930407,501816,2879379,1311
19930407,517404,562866,3664
19931222,305422,423940,12080
19930821,360827,4211704,8654
19930821,203745,8078777,15652
19930117,507508,1764018,3170
