"d_yearmonthnum","lo_partkey","lo_revenue"
199303,199533,5919553
199304,412681,4259853
199306,63114,2111135
199306,294094,4691800
199310,340770,4436362
199305,388122,4343084
199309,234647,1252650
199311,253070,2083973
199310,242353,1282386
199311,18482,2195952
199301,15150,2847145
199310,190935,6878032
199312,54253,4449923
199310,468608,6881771
199306,440974,5308241
199306,234222,3701028
199302,428815,5179056
199311,358642,3166573
199307,52073,3380680
199311,395905,594264
199303,149066,2207818
199312,28564,6353827
199312,544539,1410907
199312,191420,888714
199302,130474,5012894
199302,462236,939396
199303,375458,7590528
199312,5237,904646
199307,285929,4691529
199306,187556,7322015
199301,197878,1549082
199304,120066,1383640
199305,172492,613280
199307,367818,5974214
199311,135648,4000328
199306,6514,5098210
199306,283837,5298586
199308,526935,1553832
199303,105430,1266049
199303,457996,758140
199303,56804,4313960
199310,444701,3671512
199311,257230,4537554
199302,62855,5113612
199312,52208,3183588
199309,58254,2586941
199301,165232,2696941
199311,531608,6817373
199306,299631,1917609
199312,305422,423940
199304,310613,7796527
199307,233181,2316359
199309,492887,3163804
199303,538296,3830689
199301,72169,442770
199308,507541,5614933
199306,272205,1615104
199305,239423,4005485
199302,493544,5631935
199305,569265,1046044
199311,179587,7274621
199303,53412,2943823
199307,206709,6425599
199312,153887,960735
199308,142955,5232631
199304,90215,1789736
199306,551298,1068621
199305,123554,2601379
199307,397744,4108899
199310,376137,4471560
199302,578514,7335008
199305,47349,381123
199312,382515,4648725
199305,351796,3259483
199302,329615,3062245
199312,216070,1932677
199307,469787,7919474
199301,294357,6091840
199306,217656,5647793
199305,272880,4539531
199301,461338,6175620
199312,4757,1316106
199312,514122,2361951
199302,442023,4776750
199312,401149,4219382
199306,91200,4390763
199308,100355,2281054
199306,483146,2213075
199308,367497,4646505
199304,506326,3101594
199305,330790,4415391
199308,421624,2574969
199308,154926,2113641
199308,205926,5863943
199308,24545,6336656
199303,323282,2972099
199304,156954,4778017
199303,408502,276454
199308,513124,3308961
