"d_yearmonthnum","lo_custkey","lo_revenue","lo_suppkey"
199209,117433,2487421,1497
199211,11929,2237914,5422
199204,187172,2756710,11335
199206,83429,2576645,9310
199202,296237,2072636,13076
199207,156388,2215654,9233
199206,198619,1768976,10380
199206,198619,3506670,16779
199212,140738,3244391,4676
199204,230387,4022119,10523
199207,131812,1834900,14983
199207,131812,2803796,18345
199207,131812,3172608,716
199203,56234,3315790,1032
199203,56234,3535800,13047
199202,60739,2975011,17822
199203,256543,3476597,14666
199209,91372,1981157,11785
199212,290716,4247544,6890
199208,164234,3417351,15397
199208,164234,4200567,18969
199204,255925,2715213,3333
199205,223906,1774005,6850
199211,86288,2046996,9795
199210,258277,3771312,4830
199207,124963,1861319,19047
199207,124963,3630766,8827
199207,124963,2869867,1059
199211,176395,3059529,15994
199211,176395,2222874,10386
199211,176395,3876166,11896
199209,239200,1713294,3441
199205,36788,3371173,3475
199206,200288,3168111,19937
199206,200288,4406920,9382
199205,445,2070342,6657
199205,445,2978976,1934
199207,255235,3044223,2574
199209,28972,3993738,14996
199207,8765,3127673,18392
199206,229754,3504973,7292
199210,294892,2478208,17496
199204,172669,3238970,3810
199210,109750,4312945,14437
199211,152366,4972556,699
199211,152366,2069818,15483
199207,45814,2100180,7261
199205,213578,1818319,9991
199210,297697,4488461,11451
199210,297697,2647937,5113
199212,247123,3827276,676
199212,247123,3945109,8210
199212,247123,1957458,13462
199202,270889,3486048,2000
199211,87533,2833156,16118
199202,177764,3610643,17742
199210,245815,3246447,7764
199209,263539,2166898,5045
199212,26998,3405619,783
199212,26998,3928612,19180
199208,182375,3091878,19453
199211,93481,1864722,3194
199211,93481,2682025,13332
199211,93481,2686157,5084
199211,93481,2785806,16894
199211,241448,1731456,6572
199209,114809,2212306,17837
199209,114809,4098938,8631
199209,264745,2590191,16564
199209,264745,3761813,9922
199209,264745,3386544,7378
199204,293644,2774586,14310
199210,241277,4183033,16398
199210,241277,3986187,2652
199208,36674,1864145,2724
199202,182575,3818398,14883
199205,96586,3085298,3809
199208,21881,3679308,18608
199208,21881,2493196,19430
199210,249268,3988834,2066
199210,249268,2924504,7113
199207,44146,3506273,8507
199207,44146,2114244,5719
199209,53575,3034772,9696
199209,53575,2018052,8928
199209,53575,2340353,287
199202,19927,3170302,506
199205,55543,2735665,3879
199205,55543,2536490,9836
199202,166825,3236141,1408
199207,45523,2767374,4062
199207,286147,3942322,3042
199208,249605,3409367,17666
199204,97453,3589403,12518
199204,97453,2903779,19576
199204,97453,3049679,16813
199206,11923,3958998,14118
199205,110737,2350528,11651
199205,110737,2329801,412
199205,110737,3324384,1684
199210,63257,2156614,10793
199210,63257,3409574,3159
199207,264238,2698857,13277
199207,264238,4238039,1683
199206,288214,3231877,17020
199201,122354,2639393,7051
199201,122354,4229417,11703
199207,39205,3607943,5974
199207,39205,1762398,2629
199207,39205,4092449,15729
199207,39205,2848366,13553
199203,169708,3796126,16722
199206,171011,3364861,1028
199206,171011,2480734,14407
199208,231371,3555763,18774
199208,182144,4504125,518
199208,182144,1968172,17784
199206,85298,1880094,11244
199206,85298,2710164,4369
199210,14561,2832031,18384
199210,14561,2243668,18448
199212,250138,1857863,14025
199203,248464,4134553,11170
199207,94816,2186391,16520
199207,94816,3945996,5250
199211,149176,3785151,1132
199204,244718,3674745,14820
199203,274121,3133443,5533
199203,274121,3353998,12177
199204,72358,2926614,4034
199209,45220,4278534,7193
199208,180563,2918889,7022
199208,180563,1782956,2790
199209,134312,3832171,17266
199203,215026,3389578,10610
199203,215026,2802410,15828
199212,126976,2638356,7818
199203,200032,2451684,9201
199201,56617,2543033,17468
199212,144031,3045069,18946
199210,167251,3260322,10500
199207,219143,2609966,3126
199210,238799,3593988,3183
199202,79099,3835227,2026
199212,141598,2149655,2508
199212,141598,3418812,16722
199206,85153,2797988,18888
199206,299287,2332635,4274
199211,148306,2818215,4344
199205,219865,2305290,9056
199203,251726,1944602,5720
199211,143287,2426559,7288
199211,143287,3112065,19956
199203,230128,3040901,16107
199203,230128,2516157,14492
199203,102074,3227120,13946
199209,58507,3141929,16621
199209,58507,1775854,19909
