"s_nation","d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"IRAQ",199210,105064,58652,4145813,96639
"IRAQ",199201,32788,328519,5416250,92850
"SAUDI ARABIA",199201,132731,522733,1053426,105342
"IRAN",199201,132731,371146,1807438,73027
"IRAQ",199203,4669,441132,4143277,64386
"JORDAN",199210,23821,309018,2717442,61620
"JORDAN",199201,230990,45398,2821119,80603
"EGYPT",199205,234082,550116,2886072,69965
"JORDAN",199202,32329,79015,4480997,59640
"JORDAN",199202,32329,482980,6348212,117777
"EGYPT",199212,60871,547089,3117348,68163
"JORDAN",199203,290290,170796,373358,112007
"IRAN",199212,1603,477434,5532727,84684
"SAUDI ARABIA",199208,6746,80790,2950136,106247
"IRAN",199204,1243,37491,428547,85709
"IRAN",199206,118468,290596,3490476,95194
"IRAN",199211,245039,120195,357265,72911
"EGYPT",199212,200452,359801,4011863,111647
"IRAQ",199211,41164,56695,4694102,99101
"JORDAN",199207,123604,5875,352612,106852
"JORDAN",199204,252272,227474,6104759,84087
"SAUDI ARABIA",199211,168157,525913,7173893,116333
"JORDAN",199208,184960,385249,3170130,80053
"IRAQ",199211,65792,517144,4368133,69667
"IRAQ",199204,73759,84472,4282021,87388
"IRAN",199202,222952,61653,6804135,96879
"IRAN",199207,46567,455172,4508600,67629
"IRAQ",199207,46567,67651,4694085,97119
"SAUDI ARABIA",199211,195028,343841,1292993,113089
"EGYPT",199201,216949,30063,2261197,59583
"EGYPT",199207,176917,328679,3179662,102459
"IRAN",199205,45521,296736,6282842,103963
"EGYPT",199209,223586,596185,4946558,76869
"IRAQ",199203,104434,64602,3722241,93996
"JORDAN",199205,49951,370669,852428,104379
"JORDAN",199206,274459,58671,3748241,97780
"JORDAN",199206,274459,487062,1869389,62942
"IRAQ",199209,1046,249509,4764886,87509
"IRAN",199202,266635,262250,1333464,72734
"IRAQ",199203,259859,203534,3306296,86251
"IRAQ",199201,50629,402311,121329,72797
"SAUDI ARABIA",199205,9439,239609,2168026,92915
"SAUDI ARABIA",199210,85261,123696,2359414,103181
"IRAN",199205,63983,323393,140221,84982
"IRAQ",199205,63983,458945,942440,114235
"SAUDI ARABIA",199203,242455,143377,142037,85222
"SAUDI ARABIA",199204,97516,171597,5005770,100115
"IRAN",199204,97516,9298,4587702,72437
"JORDAN",199207,211678,566918,8646180,119093
"IRAN",199203,206806,64670,2751149,98080
"IRAN",199210,49820,591485,936417,94587
"IRAQ",199205,72109,10834,3627501,104689
"SAUDI ARABIA",199202,263821,538471,4632502,90567
"IRAN",199207,201562,141781,535897,109366
"IRAN",199206,264046,18549,3307835,88052
"SAUDI ARABIA",199202,208426,6131,2642607,62227
"IRAQ",199202,208426,37574,1925740,90694
"SAUDI ARABIA",199209,276214,417564,7259546,88892
"SAUDI ARABIA",199204,79667,113442,6275857,87326
"IRAQ",199204,170597,38107,2403730,62706
"EGYPT",199202,238903,220478,1258614,83907
"IRAQ",199204,287441,259349,3497166,78499
"EGYPT",199211,209317,372967,7472336,122397
"IRAN",199205,226412,541921,3497887,117774
"IRAQ",199207,90493,158541,2508078,95972
"EGYPT",199207,14465,397083,1888112,70804
"IRAN",199201,120496,458888,1846860,110811
"JORDAN",199203,217162,458232,5773708,71412
"IRAQ",199206,36044,41692,1293882,98021
"IRAQ",199203,54499,54265,1911799,73155
"SAUDI ARABIA",199207,204214,16575,2067316,89494
"IRAQ",199204,201355,12844,1756840,105410
"JORDAN",199202,95209,534146,1888192,70807
"SAUDI ARABIA",199209,233297,310452,3296339,87746
"IRAQ",199209,17971,45401,3166732,80784
"JORDAN",199203,138937,320491,5985460,90688
"IRAN",199208,107596,384872,383544,117411
"JORDAN",199208,298438,186151,727444,74229
"IRAN",199208,284881,160695,7126345,105341
"EGYPT",199206,132995,499753,2453822,105163
"IRAN",199202,36709,576923,9407529,119994
"IRAQ",199202,36709,439165,5193874,66248
"SAUDI ARABIA",199207,107861,412003,4124729,54898
"JORDAN",199202,172522,166356,3698110,85341
"IRAQ",199201,223414,481073,5113196,63243
"EGYPT",199202,265246,291022,694924,60780
"JORDAN",199202,125609,370355,3245499,85520
"EGYPT",199201,79229,568766,3669480,110084
"JORDAN",199202,8590,479898,6692728,112672
"JORDAN",199202,61325,531141,1972677,70327
"IRAQ",199202,61325,418455,6191422,82405
