"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
8177,19920727,355916,7150109,14598,118314
291139,19921029,107686,3521160,19086,101620
275752,19921129,393671,1210556,13365,105879
275752,19921129,214211,3453238,12338,67512
105064,19921026,89895,9047472,16787,113093
105064,19921026,58652,4145813,8616,96639
6872,19920701,36025,3363570,18495,57661
6872,19920701,65708,3645318,13091,100422
32788,19920131,328519,5416250,14252,92850
132731,19920112,522733,1053426,8390,105342
132731,19920112,371146,1807438,923,73027
46198,19920314,319761,523540,10582,106845
46198,19920314,383277,5521295,16192,81615
46198,19920314,301815,5216032,15793,109008
4669,19920305,441132,4143277,2248,64386
87031,19920817,352697,2624520,8485,104980
175988,19921109,404311,4812548,14869,72917
175988,19921109,251035,1774836,19308,59161
175988,19921109,529410,4749987,17863,86363
139612,19920126,32122,3756883,14408,63247
23821,19921024,309018,2717442,17678,61620
230990,19920112,45398,2821119,9822,80603
52889,19920906,442952,9285157,16007,113695
299101,19921207,544189,1233160,1654,73989
299101,19921207,424916,8468094,11883,110453
299101,19921207,355055,4568924,6424,66602
227551,19920403,124654,664745,8730,100719
220930,19921111,335530,7749324,9695,93931
220930,19921111,438859,7399868,18961,107869
137804,19921125,501761,7227234,16140,105764
137804,19921125,86387,1076729,16800,82402
137804,19921125,490718,1674516,2071,102521
234082,19920529,550116,2886072,19564,69965
32329,19920208,79015,4480997,18194,59640
32329,19920208,482980,6348212,16626,117777
32329,19920208,31557,3063435,6373,89313
63124,19920522,572027,5440050,17806,65940
63124,19920522,253379,6331374,19278,79941
63124,19920522,292283,3787551,5785,76516
129064,19921203,120149,3356600,16022,70148
64222,19921223,29948,1487328,5667,112676
60871,19921231,547089,3117348,10903,68163
60871,19921231,513945,5093192,13064,117535
60871,19921231,531173,4334940,12183,72249
96353,19920926,521997,1211382,18598,121138
96353,19920926,237442,3277525,9204,82765
290290,19920322,170796,373358,16348,112007
290290,19920322,160307,5469200,8137,82038
132073,19920313,376493,1709163,1012,94168
132073,19920313,107786,6748200,12568,107626
144395,19921111,583702,3149939,266,107140
144395,19921111,278853,6528677,7622,109910
144395,19921111,445582,5346460,4006,91653
171046,19921203,275214,4312039,1328,71352
204322,19921023,308607,3958195,18443,96935
1603,19921221,557939,9984550,13761,119814
1603,19921221,477434,5532727,6704,84684
108526,19921114,588783,4117872,6827,112305
6746,19920805,80790,2950136,3414,106247
76736,19920310,151583,1307664,1008,98074
76736,19920310,54390,532378,15510,80663
1243,19920415,37491,428547,10951,85709
49319,19920721,576836,1312187,3883,114768
271648,19920824,12262,3287928,2928,70455
271648,19920824,274176,1707987,10029,69009
281845,19920314,472279,2377375,16575,75075
281845,19920314,574494,1229680,7155,94108
119395,19920922,502262,1769936,4153,75854
186641,19920111,493731,5864014,839,103482
42476,19920804,328061,5118535,6602,65343
181003,19920421,437886,5416864,11375,109431
92429,19921015,56749,4011900,11364,102344
194752,19920418,399580,2351398,8958,100774
118468,19920612,290596,3490476,7325,95194
118468,19920612,595836,8329964,19003,115908
264040,19920118,111823,4904473,17345,110089
289111,19920313,121174,5324482,18983,71710
245039,19921108,120195,357265,13971,72911
236894,19921108,511578,7788795,17768,95373
126967,19920605,65603,3764640,4673,94116
85528,19920802,421567,729384,4695,89312
142903,19921018,58970,7750601,1843,115738
142903,19921018,506874,6330941,2188,112851
200452,19921219,359801,4011863,5124,111647
41164,19921123,56695,4694102,416,99101
271528,19920125,396953,3214305,17980,122996
271528,19920125,181216,513695,1380,77832
260749,19920625,278840,1960698,16664,109129
260749,19920625,453453,3307923,5783,84385
260749,19920625,579488,1843332,499,94047
41020,19921019,219649,5226675,11182,94117
41020,19921019,9909,7821270,6086,109134
41020,19921019,337307,5511589,3139,80657
204880,19920909,455252,4587474,2121,72433
95960,19921020,76714,3550491,1935,101442
95960,19921020,532157,5826737,6587,71347
239222,19920610,249354,2193521,3337,78200
239222,19920610,9031,2671565,1216,56401
239222,19920610,574546,1782572,15583,97231
123604,19920711,288263,1251250,4262,75075
123604,19920711,5875,352612,14075,106852
120329,19920831,130440,5293584,3024,88226
120329,19920831,44776,2237001,17118,103246
252272,19920416,227474,6104759,17522,84087
252272,19920416,552276,5259870,19652,79695
252272,19920416,92596,2700603,17319,95315
96742,19920423,428781,3761472,18382,102585
96742,19920423,514575,476865,11372,95373
96742,19920423,108624,808146,14432,97957
204511,19920505,6085,1748265,18465,59464
168157,19921130,525913,7173893,16344,116333
168157,19921130,416850,4547820,8395,106009
168157,19921130,228528,4369530,10622,87390
5893,19921020,38832,3470826,1955,106249
113767,19920419,16683,5859627,8167,95980
113767,19920419,12751,3788358,16004,99825
176110,19920306,23855,6339821,261,106731
255235,19921107,564080,4690646,13232,68643
184960,19920805,201002,1251544,19674,54179
184960,19920805,385249,3170130,14225,80053
68446,19920731,180700,3315663,16032,106842
65792,19921113,517144,4368133,12396,69667
65792,19921113,329170,2758068,12327,71949
65792,19921113,357339,547357,16145,83779
40573,19920707,531231,2874052,6528,75732
298777,19920130,1550,6970343,17809,87093
197293,19920503,323156,4786129,8878,70748
237760,19920818,115202,5129280,19160,73032
73759,19920417,84472,4282021,18095,87388
222952,19920208,61653,6804135,18341,96879
60139,19920113,182396,4244457,5747,88703
60139,19920113,527940,5978540,13006,118075
141233,19920206,193967,4488770,19896,123657
141233,19920206,39335,1892380,9510,76459
46567,19920724,361556,1585189,17418,97052
46567,19920724,455172,4508600,16757,67629
46567,19920724,67651,4694085,11173,97119
221191,19920923,593173,6330750,2500,75969
221191,19920923,447791,3825294,13443,104326
106133,19920711,508063,4198476,19839,64262
142372,19921105,545966,6035820,13257,120716
263092,19920710,137116,2397315,3373,69186
195028,19921120,343841,1292993,10762,113089
195028,19921120,149252,4895302,3382,78075
216949,19920107,440303,3481184,13885,74596
216949,19920107,357324,4602524,14330,82878
216949,19920107,438784,8103863,8023,103365
216949,19920107,30063,2261197,6343,59583
280579,19920103,572867,1330730,6841,116390
182203,19920303,57211,1752315,14166,70092
182203,19920303,331848,5895146,1126,112789
176917,19920718,328679,3179662,15911,102459
176917,19920718,503405,5915196,9576,84502
45521,19920507,296736,6282842,12022,103963
256009,19921023,341727,5659872,3113,106122
166271,19920824,525315,1313484,10970,80417
223586,19920912,409804,3526959,18605,102826
223586,19920912,527352,965531,5033,82759
223586,19920912,596185,4946558,7282,76869
51511,19921114,190749,728537,4602,110384
152140,19921220,397337,5593848,13056,86059
152348,19921120,580731,2663213,13630,108702
271930,19920305,402975,1673253,13372,112677
104434,19920325,64602,3722241,14627,93996
271745,19921204,509906,5172876,11049,114952
271745,19921204,177140,4503418,17105,73028
49951,19920527,370669,852428,19655,104379
13552,19920101,237227,1629894,16887,69852
13552,19920101,436901,6368254,6444,110272
87452,19920501,19770,7617483,3214,101386
80953,19921006,599867,4626007,13278,118010
