"s_nation","d_yearmonthnum","lo_partkey","lo_revenue","lo_supplycost"
"IRAQ",199210,58652,4145813,96639
"EGYPT",199212,547089,3117348,68163
"IRAN",199212,477434,5532727,84684
"IRAQ",199204,84472,4282021,87388
"EGYPT",199201,30063,2261197,59583
"IRAQ",199203,64602,3722241,93996
"IRAQ",199209,249509,4764886,87509
"IRAN",199202,262250,1333464,72734
"SAUDI ARABIA",199203,143377,142037,85222
"SAUDI ARABIA",199204,171597,5005770,100115
"IRAN",199204,9298,4587702,72437
"EGYPT",199211,372967,7472336,122397
"SAUDI ARABIA",199207,16575,2067316,89494
"JORDAN",199202,534146,1888192,70807
"IRAN",199208,384872,383544,117411
"SAUDI ARABIA",199207,412003,4124729,54898
"JORDAN",199202,370355,3245499,85520
"IRAQ",199209,115989,6415936,120298
"SAUDI ARABIA",199205,500716,5836746,103001
"IRAN",199212,112063,3299359,64503
"JORDAN",199210,45653,633065,95919
"IRAN",199212,19477,5115269,83788
"SAUDI ARABIA",199204,480877,8546110,111471
"EGYPT",199207,276595,7238697,94294
"IRAN",199201,310989,4507932,119998
"IRAQ",199202,211279,5713248,71415
"EGYPT",199212,425301,5220273,73576
"IRAN",199207,520072,1819355,65523
"EGYPT",199207,221208,2571165,67751
"IRAN",199208,337821,6922208,111528
"SAUDI ARABIA",199208,453752,1350938,102343
"IRAQ",199209,433353,2143025,77179
"SAUDI ARABIA",199208,395609,5625147,102275
"SAUDI ARABIA",199208,17570,2945388,89254
"SAUDI ARABIA",199209,468172,3463775,68409
"JORDAN",199206,437646,6017756,95017
"SAUDI ARABIA",199206,504566,5597404,94232
"EGYPT",199203,362779,184176,110505
"IRAQ",199209,513423,3878280,86184
"IRAQ",199204,211874,3750306,107151
"SAUDI ARABIA",199204,253803,8432592,105407
"IRAN",199211,14697,1263564,96701
"IRAQ",199206,497352,5937052,80959
"IRAN",199201,227796,8532711,103426
"EGYPT",199205,445465,279267,84626
"IRAQ",199207,220303,363317,73397
"SAUDI ARABIA",199211,199173,5984287,76330
"IRAQ",199210,85830,2336973,108949
"SAUDI ARABIA",199210,96209,2266981,72312
"IRAQ",199211,74748,861370,103364
"IRAN",199204,354536,6770843,95431
"SAUDI ARABIA",199201,278722,2500043,102042
"JORDAN",199208,76074,4013367,63004
"JORDAN",199212,24840,349438,105890
"SAUDI ARABIA",199212,381750,1632080,109904
"JORDAN",199211,276316,4861632,77538
"JORDAN",199204,212199,5335886,66670
"IRAQ",199207,182848,7454973,115850
"IRAQ",199210,434247,2362440,70873
"JORDAN",199207,381607,2701744,101315
"JORDAN",199210,59666,2926188,97539
"IRAN",199210,160573,1120629,98014
"IRAQ",199211,350082,3622624,67924
"JORDAN",199208,148274,2332484,79336
"IRAQ",199211,134695,8475481,103781
"EGYPT",199210,550819,1121874,112187
"EGYPT",199206,13300,121330,72798
"IRAN",199204,423523,3260411,86790
"JORDAN",199208,25812,8258073,104268
"EGYPT",199204,339406,2549667,86723
"JORDAN",199205,138970,10044850,120538
"SAUDI ARABIA",199210,358058,5245388,66962
"IRAN",199207,466261,368172,73634
"JORDAN",199212,475173,3038004,68889
"IRAQ",199211,121261,4316087,76935
"IRAN",199206,420276,2723861,71775
"IRAQ",199203,552090,3805377,68524
"SAUDI ARABIA",199201,247292,3222128,74356
"JORDAN",199210,169320,2338225,83359
"IRAQ",199203,382637,7566328,103177
"SAUDI ARABIA",199206,183189,6109008,76330
"EGYPT",199207,174206,5504860,76812
"SAUDI ARABIA",199204,524092,1562498,66964
"EGYPT",199210,575046,3884334,67261
"JORDAN",199201,201586,1020473,89254
"EGYPT",199210,158265,4631410,79395
"EGYPT",199210,187994,2652455,124919
"SAUDI ARABIA",199211,275350,129883,79520
"IRAQ",199211,437379,3999071,78981
"JORDAN",199212,377225,510466,78132
"IRAQ",199205,80300,4893306,76818
"EGYPT",199201,369504,2360235,94409
"JORDAN",199202,227840,8142624,106069
"EGYPT",199204,494319,130015,78797
"EGYPT",199203,179398,1625129,88643
"EGYPT",199202,400910,7171124,108653
"IRAQ",199201,378314,5708430,83538
"SAUDI ARABIA",199201,556284,1206234,80415
"EGYPT",199201,408766,4476580,100484
"SAUDI ARABIA",199202,599478,6467545,94647
"JORDAN",199208,175597,6690360,100355
"EGYPT",199209,184190,1911285,76451
"IRAN",199211,109515,905558,91470
"JORDAN",199211,446386,130571,79941
"EGYPT",199211,14171,4015129,65110
"JORDAN",199207,454060,3513648,60842
"SAUDI ARABIA",199212,403034,2319099,56220
"EGYPT",199212,379099,5183552,70684
"SAUDI ARABIA",199203,542213,251038,75311
"EGYPT",199205,427949,8645093,112615
"JORDAN",199203,218503,417918,85289
"SAUDI ARABIA",199208,155426,6221964,88885
"EGYPT",199208,565532,4111990,95850
"IRAQ",199208,282121,2594514,66186
"JORDAN",199210,512410,1812124,85343
"EGYPT",199204,430584,3029120,90873
"IRAN",199207,389221,1540806,78612
"IRAQ",199207,297230,4908880,73633
"IRAN",199206,182030,2201819,66721
"IRAN",199201,263527,4528169,89430
"JORDAN",199211,119359,4052349,82701
"IRAN",199207,315116,1343746,67866
"EGYPT",199206,312522,5524236,92070
"SAUDI ARABIA",199204,166260,4679045,79575
"SAUDI ARABIA",199210,180712,7708653,107562
"SAUDI ARABIA",199209,301324,1443262,79518
"SAUDI ARABIA",199206,538320,6589113,81498
"IRAQ",199203,369517,2332155,95190
"JORDAN",199211,153804,735688,111468
"JORDAN",199208,503525,1348137,91710
"SAUDI ARABIA",199211,169665,7979436,104079
"SAUDI ARABIA",199207,97609,4408510,96396
"EGYPT",199211,491130,4994545,67266
"EGYPT",199203,228101,3293088,61745
"IRAN",199204,251947,1116570,113935
"JORDAN",199209,589304,1911580,83596
"EGYPT",199205,73239,4440398,72733
"EGYPT",199208,447040,3192022,59221
"JORDAN",199210,599416,3788475,90923
"JORDAN",199209,118243,4414340,75674
"IRAN",199203,482276,3523100,75495
"EGYPT",199202,506599,6993862,96334
"EGYPT",199206,99717,4120104,103002
"EGYPT",199206,557942,593976,119995
"JORDAN",199203,587827,2464347,114888
"EGYPT",199203,417879,889440,107811
"EGYPT",199209,384699,6467623,107020
"IRAQ",199207,250918,183152,112134
"IRAN",199202,162502,306642,93870
"SAUDI ARABIA",199202,486992,4114278,118738
"IRAQ",199205,142592,647297,98075
"IRAQ",199201,449172,3955417,67269
"IRAN",199210,329418,5065900,86844
"SAUDI ARABIA",199210,324947,1971930,118315
"IRAQ",199210,70711,1664892,100902
"SAUDI ARABIA",199209,5829,1190086,104089
"SAUDI ARABIA",199202,47173,4704714,67210
"IRAQ",199204,36012,650334,56880
"IRAN",199206,84487,1177184,88288
"IRAN",199210,482981,7855840,117837
"EGYPT",199204,174089,2878623,69784
"JORDAN",199212,114946,4804303,117656
"IRAQ",199202,166486,5379343,93148
"JORDAN",199209,314493,6783660,90448
"SAUDI ARABIA",199206,203091,1461297,59644
"JORDAN",199210,118043,1039819,63662
"SAUDI ARABIA",199203,150225,2167874,76513
"JORDAN",199208,511518,6965297,91769
"EGYPT",199210,437343,4767911,76819
"SAUDI ARABIA",199201,523299,1832666,79336
"EGYPT",199202,546977,2204081,121437
