"d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
199207,8177,355916,7150109,14598,118314
199210,291139,107686,3521160,19086,101620
199211,275752,393671,1210556,13365,105879
199211,275752,214211,3453238,12338,67512
199210,105064,89895,9047472,16787,113093
199210,105064,58652,4145813,8616,96639
199207,6872,36025,3363570,18495,57661
199207,6872,65708,3645318,13091,100422
199201,32788,328519,5416250,14252,92850
199201,132731,522733,1053426,8390,105342
199201,132731,371146,1807438,923,73027
199203,46198,319761,523540,10582,106845
199203,46198,383277,5521295,16192,81615
199203,46198,301815,5216032,15793,109008
199203,4669,441132,4143277,2248,64386
199208,87031,352697,2624520,8485,104980
199211,175988,404311,4812548,14869,72917
199211,175988,251035,1774836,19308,59161
199211,175988,529410,4749987,17863,86363
199201,139612,32122,3756883,14408,63247
199210,23821,309018,2717442,17678,61620
199201,230990,45398,2821119,9822,80603
199209,52889,442952,9285157,16007,113695
199212,299101,544189,1233160,1654,73989
199212,299101,424916,8468094,11883,110453
199212,299101,355055,4568924,6424,66602
199204,227551,124654,664745,8730,100719
199211,220930,335530,7749324,9695,93931
199211,220930,438859,7399868,18961,107869
199211,137804,501761,7227234,16140,105764
199211,137804,86387,1076729,16800,82402
199211,137804,490718,1674516,2071,102521
199205,234082,550116,2886072,19564,69965
199202,32329,79015,4480997,18194,59640
199202,32329,482980,6348212,16626,117777
199202,32329,31557,3063435,6373,89313
199205,63124,572027,5440050,17806,65940
199205,63124,253379,6331374,19278,79941
199205,63124,292283,3787551,5785,76516
199212,129064,120149,3356600,16022,70148
199212,64222,29948,1487328,5667,112676
199212,60871,547089,3117348,10903,68163
199212,60871,513945,5093192,13064,117535
199212,60871,531173,4334940,12183,72249
199209,96353,521997,1211382,18598,121138
199209,96353,237442,3277525,9204,82765
199203,290290,170796,373358,16348,112007
199203,290290,160307,5469200,8137,82038
199203,132073,376493,1709163,1012,94168
199203,132073,107786,6748200,12568,107626
199211,144395,583702,3149939,266,107140
199211,144395,278853,6528677,7622,109910
199211,144395,445582,5346460,4006,91653
199212,171046,275214,4312039,1328,71352
199210,204322,308607,3958195,18443,96935
199212,1603,557939,9984550,13761,119814
199212,1603,477434,5532727,6704,84684
199211,108526,588783,4117872,6827,112305
199208,6746,80790,2950136,3414,106247
199203,76736,151583,1307664,1008,98074
199203,76736,54390,532378,15510,80663
199204,1243,37491,428547,10951,85709
199207,49319,576836,1312187,3883,114768
199208,271648,12262,3287928,2928,70455
199208,271648,274176,1707987,10029,69009
199203,281845,472279,2377375,16575,75075
199203,281845,574494,1229680,7155,94108
199209,119395,502262,1769936,4153,75854
199201,186641,493731,5864014,839,103482
199208,42476,328061,5118535,6602,65343
199204,181003,437886,5416864,11375,109431
199210,92429,56749,4011900,11364,102344
199204,194752,399580,2351398,8958,100774
199206,118468,290596,3490476,7325,95194
199206,118468,595836,8329964,19003,115908
199201,264040,111823,4904473,17345,110089
199203,289111,121174,5324482,18983,71710
199211,245039,120195,357265,13971,72911
199211,236894,511578,7788795,17768,95373
199206,126967,65603,3764640,4673,94116
199208,85528,421567,729384,4695,89312
199210,142903,58970,7750601,1843,115738
