"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"BRAZIL",1997,590553,4141695,98611
"BRAZIL",1997,216805,7438132,103307
"BRAZIL",1997,37385,3451411,79342
"BRAZIL",1997,122873,7431810,113752
"CANADA",1995,581147,2216756,73687
"PERU",1993,212941,5459823,111235
"PERU",1993,209710,3045036,97182
"PERU",1993,542152,549299,71647
"BRAZIL",1994,419664,3976520,95018
"UNITED STATES",1997,477802,2367107,106786
"UNITED STATES",1997,15687,1604282,96160
"ARGENTINA",1995,541604,4398635,98734
"ARGENTINA",1995,488505,3844217,89608
"UNITED STATES",1993,260620,5690196,94836
"UNITED STATES",1998,497607,4818553,96274
"PERU",1996,208226,3630606,68052
"BRAZIL",1995,597070,2993483,70023
"BRAZIL",1995,552041,2076738,65581
"BRAZIL",1995,480047,4062891,61621
"BRAZIL",1995,236966,5777356,114177
"CANADA",1994,442259,5650585,72073
"ARGENTINA",1995,377687,4450497,105880
"ARGENTINA",1997,160370,3361369,85822
"CANADA",1994,345122,1386526,70026
"CANADA",1994,261778,6478866,104385
"ARGENTINA",1998,581402,4000675,89002
"ARGENTINA",1995,387107,4656951,71645
"PERU",1995,158325,4405874,82999
"BRAZIL",1995,135353,2653136,83301
"ARGENTINA",1994,84561,3298225,92733
"ARGENTINA",1994,455563,1105497,91112
"ARGENTINA",1995,580459,1981246,92365
"CANADA",1993,266725,6135832,101502
"CANADA",1998,393551,5479607,98672
"CANADA",1998,8823,4987641,103909
"CANADA",1996,11006,4448367,55020
"PERU",1996,570523,1647679,95610
"ARGENTINA",1995,267635,4153991,96157
"ARGENTINA",1993,123099,2468598,67325
"ARGENTINA",1993,255638,3298793,95617
"CANADA",1997,129775,7527695,108286
"PERU",1998,61893,2266675,111293
"PERU",1998,349420,5482368,88164
"PERU",1997,584970,8770526,123297
"CANADA",1992,525362,6797966,83240
"PERU",1996,556278,5016780,80055
"ARGENTINA",1998,515288,638597,78195
"CANADA",1994,584108,448222,71524
"CANADA",1994,490377,6362279,82041
"CANADA",1994,25648,6585683,94418
"CANADA",1994,138474,3716138,90748
"UNITED STATES",1997,431443,1599824,82465
"UNITED STATES",1997,288067,3708500,63303
"ARGENTINA",1995,235931,4165098,112015
"UNITED STATES",1995,219837,969764,105409
"UNITED STATES",1995,127327,4940559,81259
"PERU",1997,430618,4274108,92915
"PERU",1997,225720,3870709,98742
"PERU",1992,577397,283079,88462
"PERU",1992,232251,3961487,70994
"BRAZIL",1995,352627,1755192,100776
"ARGENTINA",1995,320138,333538,69487
"ARGENTINA",1995,347031,3686828,64681
"ARGENTINA",1995,536699,2950639,104140
"PERU",1995,87814,1902711,108108
"UNITED STATES",1993,213881,6964095,107692
"UNITED STATES",1992,300361,612607,81681
"BRAZIL",1997,127460,856776,89247
"PERU",1994,161526,288928,95251
"ARGENTINA",1998,41232,5226739,70393
"ARGENTINA",1998,577494,4200539,94288
"PERU",1993,341411,1931692,87144
"PERU",1993,281761,6490001,104565
"PERU",1993,62547,5555107,90572
"BRAZIL",1996,202522,6017130,85470
"UNITED STATES",1994,451797,3821062,104926
"PERU",1992,543831,6411850,112488
"CANADA",1993,380114,680637,71646
"PERU",1995,99200,661958,71952
"PERU",1995,447556,6218600,90211
"UNITED STATES",1995,400993,375006,113638
"UNITED STATES",1995,537463,3646069,90026
"UNITED STATES",1995,482449,2897194,85885
"CANADA",1996,104335,5362677,80359
"CANADA",1996,369726,2909050,107742
"ARGENTINA",1993,378663,4730321,104499
"ARGENTINA",1993,573428,6155740,90084
"PERU",1995,540717,1919397,105461
"PERU",1995,225274,3453868,71955
"PERU",1995,179157,899917,74169
"ARGENTINA",1995,280851,3909146,109910
"CANADA",1997,109255,3868605,75855
"UNITED STATES",1998,543366,4016619,84560
"UNITED STATES",1998,344255,1314830,77954
"PERU",1997,233805,5854505,104327
"PERU",1997,299604,3888705,96215
"PERU",1992,190542,2791643,97952
"PERU",1992,249743,2654200,101563
"CANADA",1998,41589,4652963,91834
"UNITED STATES",1997,327672,7908517,101979
"BRAZIL",1997,331776,5488359,108465
"BRAZIL",1997,346782,5793543,109726
"BRAZIL",1994,522767,8161214,107384
"CANADA",1992,278092,1393244,64204
"BRAZIL",1993,341162,1617033,72189
"PERU",1995,200809,6799834,102587
"PERU",1995,585396,2417595,88882
"PERU",1994,258459,5596053,85046
"PERU",1994,509786,8095286,107745
"PERU",1994,563502,5861157,93928
"PERU",1994,365949,9091364,120895
"PERU",1994,512648,4430534,99637
"BRAZIL",1996,132821,7372642,111229
"BRAZIL",1996,319177,2723656,71769
"UNITED STATES",1994,240645,7303411,95137
"ARGENTINA",1997,266661,7894102,97659
"UNITED STATES",1997,567952,7903986,121195
"CANADA",1997,139737,5232469,106603
"UNITED STATES",1997,548747,3070681,107743
"BRAZIL",1993,97187,1416279,71050
"BRAZIL",1996,224413,4022899,80244
"PERU",1995,183877,6017910,117652
"CANADA",1992,298136,928844,68047
"CANADA",1992,425801,6561764,103606
"BRAZIL",1997,554872,4942370,115611
"BRAZIL",1997,543771,5231924,108885
"BRAZIL",1994,147014,4045631,63660
"CANADA",1997,243150,3043301,65588
"BRAZIL",1996,3456,1714266,81567
"ARGENTINA",1992,164711,639255,106542
"CANADA",1996,34897,2154302,109913
"CANADA",1994,116113,1117818,67746
"BRAZIL",1994,299544,598889,92611
"BRAZIL",1994,421532,1203506,87210
"PERU",1995,299459,5403520,87506
"PERU",1995,113392,1437713,84323
"PERU",1995,36669,4091221,96339
"CANADA",1993,526502,4218604,91708
"CANADA",1992,75676,3646887,99100
"CANADA",1993,580893,4403703,118432
"CANADA",1995,278209,1201436,71231
"CANADA",1995,159224,3695673,76993
"ARGENTINA",1994,347472,4521912,91167
"ARGENTINA",1994,159389,3403693,86902
"CANADA",1992,358272,2906618,79815
"PERU",1993,514409,1518746,85402
"PERU",1993,445572,5109590,91053
"PERU",1992,115144,319922,69548
"UNITED STATES",1997,499139,3380186,68286
"UNITED STATES",1997,12215,2077448,67632
"ARGENTINA",1992,151368,914067,85161
"ARGENTINA",1992,25971,6775976,113818
"PERU",1995,211873,8567328,107091
"PERU",1995,537788,5039097,109545
"PERU",1998,346952,3006405,119936
"ARGENTINA",1993,516029,2445300,62700
"CANADA",1997,492372,2607272,81861
"CANADA",1994,345900,5604163,116753
"CANADA",1994,128754,1902194,106965
"CANADA",1992,31283,2214846,72856
"BRAZIL",1995,162608,4537349,100236
"BRAZIL",1995,536604,1476522,98434
"PERU",1997,399703,6100302,108161
"UNITED STATES",1993,37013,4468847,57000
"ARGENTINA",1998,92933,4385342,115555
"ARGENTINA",1998,115920,352337,116155
