"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"UNITED STATES",1993,542479,608580,91287
"PERU",1993,444408,1368608,81142
"ARGENTINA",1993,135961,4193616,119817
"CANADA",1992,583947,2242135,121855
"BRAZIL",1992,495385,3851204,82821
"PERU",1992,247349,6092751,77779
"PERU",1992,457613,3986157,94235
"UNITED STATES",1993,20872,6608518,107572
"ARGENTINA",1993,302022,1024010,61440
"UNITED STATES",1993,80282,5398771,75736
"BRAZIL",1993,330905,1103457,116153
"PERU",1993,362712,6087221,106482
"ARGENTINA",1993,86932,575679,115135
"PERU",1993,64630,6407223,95677
"CANADA",1992,30605,2106843,92136
"BRAZIL",1993,539256,3336512,77713
"ARGENTINA",1992,31595,5138501,91595
"UNITED STATES",1992,8456,1910230,81867
"PERU",1992,300688,1337426,101320
"CANADA",1992,358959,4826912,121076
"PERU",1992,187871,6205700,117532
"CANADA",1993,566304,2704932,82216
"BRAZIL",1993,519723,7699248,104562
"ARGENTINA",1993,186283,1430897,82156
"ARGENTINA",1992,426985,5334368,114717
"PERU",1992,153047,4635568,66002
"UNITED STATES",1992,35061,4057948,59763
"BRAZIL",1993,185536,1219390,97291
"CANADA",1993,53107,887303,63606
"BRAZIL",1993,282481,5070923,87808
"ARGENTINA",1993,95993,779684,119339
"BRAZIL",1992,82372,763864,81262
"UNITED STATES",1992,85704,4129626,101382
"PERU",1992,470582,7005150,93153
"ARGENTINA",1993,502984,5150200,119217
"CANADA",1993,463619,3307613,94955
"CANADA",1993,397212,4665988,78552
"ARGENTINA",1993,162046,1612198,66482
"BRAZIL",1993,542306,2114103,80896
"PERU",1992,212978,8987732,113457
"BRAZIL",1992,92298,3592167,77417
"CANADA",1992,238854,8164593,107570
"CANADA",1993,224911,3073296,110154
"BRAZIL",1993,73809,7220340,106968
"ARGENTINA",1992,165450,5940564,90927
"CANADA",1992,310319,1020902,79758
"UNITED STATES",1992,567358,141107,85519
"CANADA",1992,179445,280496,91466
"PERU",1992,340701,2316447,104501
"BRAZIL",1993,52601,848265,93216
"UNITED STATES",1993,71359,3631855,79821
"ARGENTINA",1993,19749,901119,100124
"ARGENTINA",1993,422279,4120287,72075
"CANADA",1993,453044,2999036,59821
"PERU",1993,309792,7135048,108106
"BRAZIL",1993,554908,2190574,117772
"CANADA",1993,487932,8639595,115194
"PERU",1993,465844,5270195,108589
"BRAZIL",1992,448695,3905359,98620
"ARGENTINA",1992,558446,1107253,90265
"PERU",1992,237376,2836857,78801
"ARGENTINA",1992,97018,689191,60900
"CANADA",1992,560539,6695548,95970
"PERU",1993,476176,2935678,69129
"ARGENTINA",1992,466439,5666613,84324
"PERU",1992,158769,6969248,109665
"PERU",1993,81690,4513563,100301
"BRAZIL",1992,333152,4953885,71108
"ARGENTINA",1993,141532,3436589,94411
"BRAZIL",1993,16933,4084645,110995
"UNITED STATES",1993,130659,2595302,101379
"UNITED STATES",1992,364693,5452323,105460
"PERU",1993,259453,1652554,84746
"BRAZIL",1993,12588,3488848,90034
"BRAZIL",1993,360746,4634262,108403
"CANADA",1993,45230,3224831,70513
"BRAZIL",1992,321005,4822153,61559
"ARGENTINA",1992,261328,4332081,77358
"CANADA",1993,571454,4301712,91525
"ARGENTINA",1993,221211,4270658,67932
"PERU",1992,63839,2249931,108169
"BRAZIL",1992,135378,5721321,84802
"ARGENTINA",1992,96402,1577395,83904
"ARGENTINA",1992,508837,548205,110748
"CANADA",1992,221014,4254250,56100
"UNITED STATES",1992,44452,4423953,83787
"PERU",1992,363716,3724912,106782
"PERU",1992,161837,2295685,113929
"ARGENTINA",1992,393723,8447701,109002
"CANADA",1992,481239,113479,73212
"BRAZIL",1993,401186,722961,65229
"ARGENTINA",1993,524335,129134,81558
"PERU",1993,86194,1109378,70811
"PERU",1992,517061,1090976,64682
"UNITED STATES",1992,482025,3190176,60420
"ARGENTINA",1992,535307,2061742,80536
"BRAZIL",1992,192201,823768,77592
"BRAZIL",1992,464515,2840620,88769
"CANADA",1992,489094,212281,64984
"BRAZIL",1993,221806,3649092,103667
"CANADA",1993,5349,860477,75260
"CANADA",1993,354584,4129196,98314
"UNITED STATES",1993,585548,1760934,98011
"UNITED STATES",1992,24753,3785004,100665
"BRAZIL",1992,232675,2025651,96459
"CANADA",1992,302943,5604278,116755
"CANADA",1992,557011,3915251,64079
"PERU",1992,69275,5731107,74656
"PERU",1992,300766,5305550,106005
"UNITED STATES",1993,240898,7237831,110332
"CANADA",1993,567277,1209825,80655
"PERU",1993,215340,3776032,75319
"BRAZIL",1992,341784,1643193,109546
"BRAZIL",1992,265100,600710,63905
"ARGENTINA",1992,537148,1401996,71107
"PERU",1993,563520,6427426,95010
"UNITED STATES",1993,77150,5025961,67629
"BRAZIL",1993,73475,4797332,86908
"CANADA",1992,494706,6139454,102040
"PERU",1992,315545,6671265,93631
"PERU",1992,549542,143236,95491
"UNITED STATES",1992,36432,1654431,82105
"PERU",1993,46340,2512222,77180
"BRAZIL",1993,214182,2900465,65770
"PERU",1993,342982,6220707,121498
"PERU",1993,433411,4597813,80663
"BRAZIL",1992,182581,7985184,99814
