"s_city","d_year","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST1",1993,542479,608580,91287
"UNITED ST0",1993,20872,6608518,107572
"UNITED ST4",1993,80282,5398771,75736
"UNITED ST7",1992,8456,1910230,81867
"UNITED ST5",1992,35061,4057948,59763
"UNITED ST7",1992,85704,4129626,101382
"UNITED ST4",1992,567358,141107,85519
"UNITED ST4",1993,71359,3631855,79821
"UNITED ST9",1993,130659,2595302,101379
"UNITED ST4",1992,364693,5452323,105460
"UNITED ST8",1992,44452,4423953,83787
"UNITED ST1",1992,482025,3190176,60420
"UNITED ST4",1993,585548,1760934,98011
"UNITED ST2",1992,24753,3785004,100665
"UNITED ST6",1993,240898,7237831,110332
"UNITED ST3",1993,77150,5025961,67629
"UNITED ST5",1992,36432,1654431,82105
"UNITED ST6",1993,37144,4540788,64868
"UNITED ST4",1992,37588,573618,91534
"UNITED ST4",1993,230356,120915,77180
"UNITED ST6",1992,228860,4980158,107331
"UNITED ST4",1993,16752,465581,100125
"UNITED ST0",1993,501807,5788096,108526
"UNITED ST3",1992,126851,5355628,112671
"UNITED ST7",1992,318488,1247357,90388
"UNITED ST0",1992,422799,2754832,103306
"UNITED ST3",1992,163664,1112613,103659
"UNITED ST5",1993,69610,7430485,94776
"UNITED ST9",1992,239809,6405817,104927
"UNITED ST0",1993,197816,5012268,114828
"UNITED ST0",1993,380147,5291384,73627
"UNITED ST5",1992,349249,4673628,77893
"UNITED ST3",1992,287400,2530599,83243
"UNITED ST0",1993,357122,5044232,70746
"UNITED ST9",1993,375757,1180284,109964
"UNITED ST0",1992,107671,7327394,100720
"UNITED ST3",1993,370539,630931,96571
"UNITED ST2",1992,358621,2494220,100776
"UNITED ST8",1992,136539,4340585,94531
"UNITED ST9",1992,147342,6603533,83360
"UNITED ST4",1992,299910,8434118,114594
"UNITED ST7",1992,159295,650059,81257
"UNITED ST4",1992,368512,1869731,94830
"UNITED ST5",1993,585046,5211740,67861
"UNITED ST6",1993,486854,169356,110449
"UNITED ST2",1993,183021,4570642,66241
"UNITED ST5",1993,271182,2594632,69190
"UNITED ST6",1993,12992,7107517,114299
"UNITED ST5",1993,226092,3752642,61084
"UNITED ST6",1992,500631,4731669,97896
"UNITED ST2",1992,379006,488245,65099
"UNITED ST0",1993,572007,941949,64738
"UNITED ST8",1993,22663,4566700,95139
"UNITED ST5",1992,521137,1572713,69486
"UNITED ST0",1992,509743,5100415,105163
"UNITED ST9",1993,595358,5611307,87199
"UNITED ST3",1992,302653,7311306,99338
"UNITED ST0",1992,347579,2093382,97593
"UNITED ST6",1992,554451,4666833,90325
"UNITED ST1",1992,551486,7006205,92247
"UNITED ST0",1993,210262,1920145,70335
"UNITED ST6",1993,232106,2055418,62285
"UNITED ST3",1992,409753,1421634,99763
"UNITED ST4",1992,230202,2163615,67931
"UNITED ST2",1993,394003,2813779,65819
"UNITED ST4",1993,435301,1912525,74176
"UNITED ST1",1992,520607,7265517,97654
"UNITED ST6",1993,374730,2829800,108283
"UNITED ST6",1993,6411,4805911,79044
"UNITED ST6",1993,325591,2887211,96994
"UNITED ST7",1992,496118,1403753,66845
"UNITED ST7",1993,493265,2199403,75494
"UNITED ST1",1993,118320,871246,80299
"UNITED ST5",1992,559580,5702389,98373
"UNITED ST8",1993,112595,2893662,96455
"UNITED ST1",1992,415293,3078671,72496
"UNITED ST8",1993,388058,3481669,68762
"UNITED ST1",1993,390092,4564010,70924
"UNITED ST3",1993,551213,2020175,75851
"UNITED ST7",1993,592683,6861150,106539
"UNITED ST7",1992,162638,833308,102037
"UNITED ST7",1992,445006,760784,57058
"UNITED ST4",1993,55963,6908256,115137
"UNITED ST2",1993,306822,2922438,109728
"UNITED ST8",1992,82066,3389426,62883
"UNITED ST0",1992,588165,4849651,75188
