"s_city","d_yearmonthnum","lo_custkey","lo_revenue"
"UNITED ST6",199304,219619,2822582
"UNITED ST3",199312,197548,1600487
"UNITED ST3",199310,101735,1331744
"UNITED ST6",199312,153428,1343382
"UNITED ST6",199301,210862,2999768
"UNITED ST3",199304,264968,2330319
"UNITED ST3",199305,156067,2648700
"UNITED ST3",199301,188678,2589560
"UNITED ST6",199311,271271,2360102
"UNITED ST6",199303,182279,3475118
"UNITED ST3",199310,247211,1687574
"UNITED ST3",199304,18688,1990074
"UNITED ST3",199305,261922,1882014
"UNITED ST6",199303,153124,1966656
"UNITED ST6",199305,169193,3704005
"UNITED ST6",199304,114797,2766519
"UNITED ST6",199301,133718,3111266
"UNITED ST6",199301,88694,2966508
"UNITED ST3",199305,196489,1832920
"UNITED ST6",199303,150695,3545432
"UNITED ST6",199312,40742,2257834
"UNITED ST3",199312,296317,2525883
"UNITED ST3",199309,61859,1945274
"UNITED ST3",199307,192544,1756115
"UNITED ST6",199309,63890,2944818
"UNITED ST3",199311,230447,2607214
"UNITED ST6",199305,117506,1169640
"UNITED ST6",199310,289487,2538342
"UNITED ST3",199302,261304,2516128
"UNITED ST6",199312,238735,3217645
"UNITED ST3",199306,3319,1521772
"UNITED ST6",199303,90445,2900311
"UNITED ST3",199311,142915,2774731
"UNITED ST3",199312,74101,2214469
"UNITED ST6",199305,173996,2519897
"UNITED ST6",199306,98720,3139902
"UNITED ST3",199301,79088,2439591
"UNITED ST6",199304,92267,2941365
"UNITED ST3",199303,181141,2325235
"UNITED ST3",199305,246782,2589309
"UNITED ST3",199304,164636,2698963
"UNITED ST3",199305,50761,2050492
"UNITED ST6",199305,92533,3194016
"UNITED ST6",199306,119377,2604150
"UNITED ST6",199310,131659,2090926
"UNITED ST6",199305,76679,2473121
"UNITED ST6",199307,183928,2693646
"UNITED ST6",199311,71806,2091171
"UNITED ST6",199311,205021,2081257
"UNITED ST6",199301,280018,2912900
"UNITED ST3",199303,160624,1550221
"UNITED ST6",199302,20155,2397975
"UNITED ST6",199306,277721,2652700
"UNITED ST6",199308,83972,2098072
"UNITED ST6",199301,77197,1273467
"UNITED ST6",199307,193391,2067350
"UNITED ST3",199312,85354,2649493
"UNITED ST6",199302,285581,1325930
"UNITED ST3",199312,35941,1317757
"UNITED ST3",199305,271825,2963107
"UNITED ST3",199308,36742,2469187
"UNITED ST3",199309,149026,1869676
"UNITED ST3",199302,173723,2106813
"UNITED ST3",199309,96190,3015710
"UNITED ST3",199301,233603,1295861
"UNITED ST6",199302,95053,3293057
"UNITED ST6",199311,15509,1971489
"UNITED ST6",199302,195379,2047498
"UNITED ST6",199301,204176,2234723
"UNITED ST3",199304,78442,2808808
"UNITED ST6",199310,108811,2105234
"UNITED ST6",199311,29770,1545861
"UNITED ST6",199306,284413,2914960
"UNITED ST3",199309,248990,2347075
"UNITED ST3",199310,79120,2240685
"UNITED ST6",199303,65830,3136824
"UNITED ST3",199306,53993,2401865
"UNITED ST3",199306,276935,2252168
"UNITED ST3",199306,30181,3019068
"UNITED ST6",199303,104731,1515364
"UNITED ST3",199304,208808,1447676
"UNITED ST3",199312,35980,1905247
"UNITED ST3",199311,189131,2251135
"UNITED ST6",199302,39853,3329705
"UNITED ST6",199303,9157,2064925
"UNITED ST3",199303,9157,2644540
"UNITED ST3",199307,133291,2199033
"UNITED ST6",199301,21457,2362900
"UNITED ST6",199307,58814,2605824
"UNITED ST6",199302,72145,2656242
"UNITED ST6",199302,52132,3091727
"UNITED ST3",199307,12710,2459295
"UNITED ST6",199302,274738,3531924
"UNITED ST3",199312,226282,3322800
"UNITED ST3",199305,179482,2766346
"UNITED ST3",199309,241033,1452033
"UNITED ST3",199304,136793,2076736
"UNITED ST6",199312,51790,2080592
"UNITED ST6",199301,75460,1494969
"UNITED ST3",199306,59579,2442945
"UNITED ST3",199304,45223,2112211
"UNITED ST6",199303,260287,2235654
"UNITED ST3",199309,122002,3280236
"UNITED ST3",199301,219884,2517373
"UNITED ST6",199309,59023,1697494
"UNITED ST6",199308,106844,2080642
"UNITED ST6",199304,113285,2758436
"UNITED ST3",199306,38552,3084251
"UNITED ST6",199305,227179,2529538
"UNITED ST6",199305,46949,1770358
"UNITED ST6",199308,94288,3025735
"UNITED ST3",199310,289726,1543813
"UNITED ST6",199303,134677,3397545
"UNITED ST6",199307,202025,2124704
"UNITED ST3",199306,246991,2660304
"UNITED ST6",199305,131245,2067275
"UNITED ST6",199303,282439,1134708
"UNITED ST6",199307,42793,2356104
"UNITED ST6",199304,167545,3116369
"UNITED ST3",199310,47986,3231216
"UNITED ST6",199310,185116,2068816
"UNITED ST6",199306,225049,2124625
"UNITED ST6",199303,207968,2174468
"UNITED ST6",199304,187765,2903134
"UNITED ST6",199311,201500,1998207
"UNITED ST6",199302,147146,1690991
"UNITED ST3",199310,202021,2446325
"UNITED ST6",199306,289531,2666460
"UNITED ST6",199303,47540,2699869
"UNITED ST6",199312,63598,2560183
"UNITED ST6",199307,185467,1456608
"UNITED ST6",199301,213437,2361749
"UNITED ST6",199307,231874,2888890
"UNITED ST3",199301,34034,2340211
"UNITED ST6",199309,206257,2227887
"UNITED ST6",199309,100636,2714727
"UNITED ST3",199304,152330,3059276
"UNITED ST6",199308,252356,2807205
"UNITED ST6",199304,241925,2730121
"UNITED ST3",199310,46618,1424206
"UNITED ST3",199305,51982,1615680
"UNITED ST3",199309,193724,2908479
"UNITED ST3",199312,255934,2222960
"UNITED ST6",199312,27577,1988925
"UNITED ST3",199302,238904,2117563
"UNITED ST6",199301,164243,1983974
"UNITED ST6",199308,223753,3288251
"UNITED ST6",199305,91316,3028734
"UNITED ST6",199307,264652,1417464
"UNITED ST3",199301,96143,1709376
"UNITED ST6",199305,193715,3234271
