"lo_discount","lo_extendedprice","lo_orderdate"
7,3967458,19940507
7,4330560,19960722
5,5855466,19920220
5,6276072,19930722
6,3218079,19920330
5,3439748,19920913
5,4784664,19941120
6,5585943,19920510
5,3966456,19980106
5,4994080,19970402
6,3503519,19921125
5,5799550,19950224
6,4902653,19960322
5,2926935,19960701
5,5522464,19960701
7,2656908,19960407
7,5771700,19970928
6,5985309,19940820
5,4218060,19960612
7,4846620,19960612
6,4402809,19980617
5,5751508,19920804
6,3955245,19920804
5,2732856,19970611
7,4061372,19940428
7,6401115,19970619
7,5223820,19951003
7,3669600,19970808
6,5854520,19940715
7,5137587,19940715
5,3773770,19970503
5,4408684,19930621
6,6513686,19940729
7,3928080,19940729
6,4536168,19941110
6,3842524,19920212
5,4496508,19921107
7,3195390,19980309
6,4727394,19930708
7,5269264,19930717
6,3972861,19920920
6,3199689,19920828
7,4792755,19940410
7,3648932,19940410
6,3717350,19980512
6,5081368,19950508
6,5645508,19930117
5,4650789,19961117
5,3051081,19921108
5,3529240,19921108
6,4049838,19951104
5,6754968,19951104
7,4819105,19970905
7,5804032,19950808
5,3791637,19961018
7,3561600,19920504
7,2913624,19920504
5,4711398,19960219
7,3366720,19961019
5,5213084,19921217
5,3513888,19921217
5,4611658,19940711
6,5366348,19930610
6,3141090,19930610
5,3099978,19980630
7,5410944,19971113
7,3652124,19930307
6,3585154,19930307
6,4687419,19970702
7,4861532,19940724
7,5619635,19920913
6,5153820,19920913
7,6203505,19960611
7,4336320,19960402
6,3764208,19940112
6,4862214,19970907
6,4462171,19931202
7,5352849,19980629
6,6751701,19970219
5,5567507,19940504
7,4994676,19960701
7,5977248,19921110
6,6268852,19980105
6,3651840,19930818
7,2983608,19930818
6,3872872,19920423
7,4391712,19931031
5,3234360,19950301
5,4994550,19950726
6,6041714,19960630
7,4679527,19940823
7,5156236,19970326
6,4615920,19970326
7,6203439,19920919
7,4974074,19941024
7,4716867,19980417
6,3648672,19920409
6,5644418,19941030
6,4614428,19941030
7,3039000,19970827
6,3335391,19950925
7,4453046,19920509
7,4191921,19980424
6,5599136,19920928
6,3797780,19980717
7,6551528,19980127
6,3372834,19960805
7,3546803,19980129
7,5027253,19950913
5,4638304,19970725
6,6246870,19930108
6,5509408,19941103
6,5381568,19920509
6,3509319,19921108
7,5035203,19940711
6,4917794,19961017
7,4073160,19931029
6,4564576,19940501
7,4788966,19940316
5,5032160,19950708
7,2623400,19950325
5,5896065,19930421
6,5133480,19930421
7,4344092,19940116
5,5038436,19941020
5,3787280,19960219
7,5285742,19950505
5,4291956,19970320
7,5118462,19920729
5,5074670,19930520
6,5118802,19940328
5,3687632,19941207
7,4682210,19941207
6,5319266,19931107
7,5034216,19950215
6,3944754,19941109
6,3542880,19941109
5,5867312,19930130
5,4765040,19950223
7,3550965,19980615
7,3726665,19940328
6,3481212,19920118
5,4175424,19940327
7,3411100,19931101
5,5993384,19921124
6,2861940,19930609
5,2766658,19941208
6,3567435,19930608
7,3519151,19930104
7,5925350,19960915
5,6412576,19951122
6,4873730,19951008
5,4575040,19960905
6,3240172,19960604
6,5336310,19970117
7,4346082,19951028
7,5451376,19920713
7,3756810,19940813
6,4491445,19950922
7,3063346,19951121
7,5169888,19940411
5,4768500,19980131
6,6014760,19920624
5,4428288,19920624
5,5370750,19960307
5,5125602,19920211
7,5876550,19950214
7,3229929,19941203
5,3320694,19930319
7,5313896,19930212
5,6159576,19930403
7,3002562,19931001
6,4406754,19980605
6,4319252,19940724
6,4285099,19970429
7,2847130,19930925
7,4526270,19920530
7,4228978,19980619
7,4209492,19940517
6,4337120,19970619
6,5681940,19950526
6,6432256,19960202
5,2633904,19930917
7,5945610,19970121
5,4032944,19961206
6,4582800,19960331
7,2854089,19980208
7,4119990,19921008
5,3673263,19970223
6,5179830,19970223
5,3752658,19960313
6,6054890,19940320
7,2692062,19960309
6,4688471,19980620
5,3378790,19980408
6,4124812,19920906
6,5601785,19921229
5,3897660,19940609
6,5858442,19971112
5,6197350,19970412
6,7132755,19940915
6,5728030,19970111
7,4203840,19921225
7,5418172,19931102
5,5233920,19920904
7,3837753,19941108
6,3113748,19920227
6,3829027,19920227
6,6786395,19920915
7,3803002,19941208
6,4239664,19941021
5,5185320,19941021
6,3084748,19970608
7,5259553,19970608
5,5264766,19920612
6,4750440,19920612
5,6037684,19940526
5,3808596,19971016
5,5275479,19971016
6,2874030,19920224
6,3242668,19920701
6,4871744,19950408
5,3931170,19930401
7,5169600,19940710
6,3010308,19930322
7,4869051,19970927
5,3941042,19931212
7,5836712,19931212
7,5317983,19941121
5,4186114,19941125
7,4815132,19970720
6,3708536,19970701
7,3927272,19960708
5,4894304,19940510
5,5978643,19930308
7,4367324,19940811
6,3464440,19970902
7,5512755,19940621
6,5378550,19971030
5,3172364,19971030
6,4304972,19971108
7,4109523,19971108
5,6408115,19940617
5,3158400,19930717
7,4725733,19920710
5,4002841,19971115
7,6058018,19971115
