"d_yearmonthnum","lo_partkey","lo_revenue","lo_suppkey"
199303,633826,4355480,8253
199303,712014,2288961,38841
199309,452229,4812208,20889
199309,436913,1087735,42501
199309,785826,7868927,12823
199309,694964,3839502,13826
199311,743238,4473950,9541
199311,389562,3684608,32271
199309,723507,5492856,43204
199309,689096,2578102,37582
199305,18348,3008823,11457
199306,490286,5812088,15713
199305,503787,347407,33750
199305,744171,2977093,40376
199303,725614,5194189,27463
199303,421168,646949,26523
199303,157605,493792,23066
199310,767609,8050889,2716
199303,434354,2874264,16575
199303,175407,5136516,49021
199308,20481,686725,30372
199308,211251,4602470,49534
199308,91564,4620013,14753
199311,291764,6257493,1179
199311,464072,2132190,1196
199311,443361,2556506,56207
199308,508969,193838,12530
199308,640729,4210958,40271
199308,733253,127335,23952
199302,499476,1144949,45114
199309,500754,2893549,45079
199304,467969,563649,8017
199312,268438,5513166,49655
199312,426265,3152021,55338
199308,603812,7983524,41440
199308,267472,5501616,55364
199308,187363,4406193,21817
199309,147319,2164235,9350
199308,288524,5780813,5298
199303,446526,2020270,3335
199305,462881,4198469,41414
199305,271650,3531931,51103
199305,9135,1841845,43739
199305,731464,1595623,54716
199308,61955,5447971,3678
199306,421863,173129,29589
199306,370352,6484448,24019
199301,716965,4855728,27690
199309,678824,5945601,2853
199312,333131,5247852,50503
199310,650716,990007,32320
199307,411540,2560481,4219
199307,279741,340704,17681
199307,10771,7504057,15375
199305,322081,1310447,16987
199308,230006,3335868,54476
199308,224657,2608124,34861
199309,117565,2016181,38133
199305,456265,5385668,15956
199308,415486,5573606,57978
199308,622533,427917,54404
199308,467441,4508352,18439
199308,266235,4194660,1432
199308,197853,3406184,51385
199303,449077,3284386,53260
199312,434150,1367087,22762
199306,752652,6613925,13955
199306,220741,3223756,55867
199310,710678,3009156,44796
199309,114687,7075585,57176
199301,756102,4717977,14847
199301,604126,2098293,50481
199301,579844,8761076,50038
199301,167726,5149770,27013
199308,424993,1302301,24223
199305,769755,5722321,20271
199305,796338,4730321,33211
199305,597806,3358267,46526
199303,123929,2841498,25892
199312,105238,3167750,54382
199312,730082,3775409,10044
199305,107891,5210554,36584
199311,213620,4402994,44012
199311,450415,794656,15128
199307,131184,4451204,37268
199307,707098,5141844,1918
199304,647384,5008538,43346
199304,569104,2958507,47314
199304,789127,5898036,57006
199304,453186,2567666,51761
199309,2254,4349812,36841
199306,252043,193035,23203
199306,204864,1040083,30336
199306,4291,4173952,40213
199303,186205,1917432,18916
199303,735905,2259172,26201
199311,191037,3015224,39256
199302,404601,6409254,43630
199302,123824,1267604,19345
199308,494807,4459405,31029
199301,372334,3062964,25855
199311,225682,3274823,21157
199307,549381,3784732,23889
199307,794728,8931181,28471
199312,62478,978079,27293
199309,372441,6822542,53394
199309,128430,2572670,18095
199301,322627,3266227,6998
199301,645318,1347919,11835
199303,185150,4599698,19417
199303,92502,4882531,21170
199307,427071,2323460,12248
199307,172025,4945366,49787
199305,459753,6612850,1535
199303,580857,2110296,57675
199301,700844,5785324,3333
199310,731201,6037633,29388
