"d_year","lo_partkey","lo_revenue"
1993,521657,3745023
1996,196991,5115575
1998,330985,8999290
1998,496971,6954735
1998,744081,1883333
1995,151419,1711557
1995,96924,1106449
1995,653088,3194982
1993,402120,1022100
1996,109906,3755164
1995,236806,7947122
1995,341059,431215
1996,772413,2620210
1996,180888,9549068
1996,174208,369273
1995,696189,1013303
1994,421491,3183707
1994,357238,2830055
1994,108577,3428002
1994,42858,983264
1998,312067,2749419
1998,545617,1140536
1997,724858,5369802
1996,501804,3792138
1996,724779,707066
1997,569980,7088761
1997,352844,5975014
1997,202361,3918911
1992,590432,6028743
1992,669075,285022
1992,229111,1338608
1992,606528,2087182
1994,586190,4877521
1996,562181,4226744
1993,375299,2844759
1993,651646,7275515
1997,10141,624377
1997,646278,3760865
1997,387544,6891582
1995,208230,2318554
1995,632514,135969
1995,570022,3452904
1995,81483,5074423
1993,622521,949816
1993,56999,2313936
1993,380030,852495
1993,761318,546194
1993,265128,4713490
1994,777543,7233956
1994,160069,1050025
1996,196578,3851511
1992,108613,2065931
1992,642809,2417442
1996,136694,4283457
1996,470754,4656771
1998,402915,1745174
1992,169451,5949520
1992,754484,746148
1992,250374,2390469
1992,687499,3145349
1996,543011,1630522
1996,777930,9445161
1998,166512,1780559
1996,689033,2914744
1996,153917,772596
1996,610376,2315412
1996,183909,9183283
1997,420857,5338823
1997,659071,4501274
1998,205519,4017090
1998,544099,3640677
1998,780555,4167304
1998,387331,5446348
1992,459196,2287236
1996,680007,4885501
1994,526035,2058359
1994,171098,1145708
1993,438707,4043435
1993,19339,4351305
1994,692401,6487530
1997,120204,4605440
1997,256987,3499146
1995,436826,7058251
1992,619462,4368081
1998,785761,7645462
1992,229648,780926
1992,224535,6375183
1992,209941,9254650
1992,83944,8675730
1992,444736,7422015
1994,222413,4743340
1993,503836,8301222
1998,545219,2503096
1998,287199,1544406
1994,404519,3012104
1993,285742,7957924
1995,385296,1489019
1995,242295,3552230
1994,15558,1084532
1994,142639,2283653
1994,696953,183292
1994,87589,4496406
1996,343325,1672074
1996,652301,626635
1996,6660,2663322
1995,311560,2923083
1997,731611,3971758
1993,649686,4867694
1993,69692,5051537
1996,641520,1087348
1995,275048,2455272
1995,200624,7395883
1994,510460,1094007
1994,84459,3851124
1992,148037,3128141
1993,622596,6705960
1993,268180,3926741
1992,63482,6938304
1992,152638,2623857
1992,336631,2978369
1992,384316,1729370
1992,51006,1741740
1995,71803,7347672
1995,13160,1733153
1995,371330,2107585
1994,5762,1951279
1993,380286,2945678
1993,179396,693433
1996,243679,447854
1996,296615,5453654
1996,458182,5415760
1997,470147,3675324
1992,730216,3279945
1992,289235,1333175
1995,655125,2538211
1993,770898,1791662
1998,385563,7279996
1995,533090,4182312
1992,403538,6162455
1996,15643,6022584
1996,509796,4366351
1996,124601,5533542
1994,138338,5020851
1993,713644,6365222
1996,542014,2069740
1992,547619,1096616
1994,171212,4735044
1994,106760,6512277
1995,751580,479675
1995,133448,6545001
1995,18242,5287213
1995,247780,6009184
1998,105856,6021222
1992,635062,1996054
1992,40352,368319
1995,182101,2260904
1995,286069,1603676
1996,247269,5840432
1996,227747,994789
1992,76851,520937
1996,39942,2794680
1994,775955,4061840
1995,287868,352611
1995,109982,8704952
1998,394891,381288
1994,297697,6995639
1994,84581,1567145
1994,187398,6422826
1998,788309,5030172
1998,453519,3533976
1998,99393,5927404
1995,70592,4650267
1993,542759,2738629
1993,11508,2171835
1993,609120,4445668
1997,743122,3074672
1992,417866,963273
1996,576092,2174946
1996,331752,6599838
1992,18272,1230739
1996,391322,2035166
1996,558195,5348529
1996,780849,8321340
1996,143042,434016
1994,311419,6659942
1994,413077,2090985
1994,497376,3065317
1998,270097,3450936
1993,612140,791186
1996,403441,1223422
1996,623129,1616010
1993,481165,4380547
1992,118658,2114255
1994,413863,3882395
1997,691030,2756700
1997,530543,4829132
1997,465405,2343349
1993,453844,179782
1993,543396,6621102
1993,409148,884809
1993,540957,7999711
1992,414879,4081008
1996,645367,3343816
1992,205048,2191969
1994,162001,1413790
1994,723538,7026750
1993,213405,4682921
1993,292153,721438
1997,250145,438052
1997,72201,3167640
1997,361108,1098944
1993,228544,2685894
1994,189699,5323141
1995,636532,3960544
1995,580032,723918
1995,152648,5977749
1995,737199,2422873
1995,771317,952360
1997,649289,2648616
1994,377249,2141861
1996,313758,5868002
1994,397502,1425145
1998,724214,5703057
1998,662511,1856584
1995,216488,2654448
1995,285023,3351633
1998,53467,4755700
1995,784225,4527179
1994,571524,6972335
1994,232643,2007352
1996,628077,2068372
1996,89806,5746560
1993,211284,5916586
1993,175842,2186337
1993,174376,3553406
1994,623530,1104660
1994,457134,2222591
1994,142686,6472177
1994,294528,429347
1994,355696,7819499
1993,783725,6088050
1997,42342,5915670
1993,94440,4438157
1993,727629,1446203
1994,159041,4312156
1998,508696,6944825
1994,526013,1246788
1994,691861,1000528
1996,676845,349787
1996,745787,7835006
1996,269769,1634425
1997,111501,3811500
1995,79419,5425830
1992,483253,5577869
1994,763214,3397298
1994,131630,5099542
1995,775695,6657681
1995,111880,8625080
1994,788186,489273
1995,263121,907400
1995,665376,4160836
1997,97116,1295660
1997,561424,4509674
1993,750667,833050
1993,452458,2595191
1993,222430,3076755
1995,787840,3624282
1995,419320,3649738
1996,326467,1560655
1996,530126,1317954
1997,708777,4330419
1997,673250,4648236
1992,139488,3161883
1994,176670,3049685
1994,491232,3170560
1994,415935,1998982
1994,226526,4232614
1992,566314,4058052
1994,380986,8061183
1994,347078,2227618
1993,558640,3672416
1993,475962,4786711
1993,284002,2957970
1995,520819,4908559
1996,732848,4976623
1993,106142,981659
1998,651323,1406816
1996,669714,6667372
1996,679974,2336912
1995,579976,4539537
1995,452428,2512328
1997,745023,198646
1997,526311,5777092
1997,94006,3610000
1997,116834,4547489
1996,599396,2296888
1997,537021,1269600
1996,369757,1085083
1998,156863,8063412
1996,428381,2770605
1996,574350,5127588
1993,639040,863486
1998,110934,3695367
1992,747729,8009318
1993,611358,2597028
1998,360024,205961
1998,7693,456196
1995,349652,6503668
1995,595428,1508166
1995,148342,132082
1995,382073,4389228
1995,380050,849790
1997,379619,1331702
1997,384455,3762391
1997,652927,8750887
1996,782663,5816439
1996,134908,6800150
1996,197912,4341405
1996,268343,4235595
1996,234021,2807729
1995,745037,1713888
1996,203481,1673824
1997,281527,1642767
1997,419607,1578483
1992,201022,1074383
1992,170643,6306195
1997,353215,1369656
1996,219219,1946322
1992,668759,7256424
1995,275978,6190145
1995,293165,4273573
1995,296393,3101096
1994,323153,2346399
1993,215024,3004832
1996,297858,8640791
1997,335139,4304323
1997,679499,860463
1992,185932,3983393
1998,791943,7777426
1998,678136,218363
1996,75407,398131
1996,152875,7480135
1995,450238,2144719
1995,741459,3312927
1995,86376,2246548
1993,413076,1535005
1993,154184,3900267
1993,171868,349174
1996,29655,6338600
1997,291458,1578440
1995,606974,6635956
1996,770545,726979
1997,398263,2830038
1997,797485,5893043
1997,114177,2004739
1995,679495,2481516
1995,265267,5042367
1996,708082,4054986
1996,445492,6485864
1996,173187,5217145
1997,351915,4671387
1997,568096,570394
1997,31781,1932015
1996,585432,4515812
1998,79637,2648039
1992,731164,3045191
1994,732489,6858696
1997,622252,4537186
1992,163196,2659409
1997,307043,477763
1995,750572,7087254
1997,747636,5362266
1994,84965,354892
1994,799818,2243802
1994,32994,8592448
1997,556687,4660803
1997,53607,1630827
1994,43568,717991
1998,330295,5454852
1994,12446,2371836
1994,684248,2151438
1998,616021,463810
1998,654945,8652190
1997,39311,118779
1994,680786,6408002
1994,370155,4771920
1994,680133,1873347
1994,644332,2519416
1994,777323,5539547
1996,537373,535933
1993,175162,3073105
1993,620707,3987791
1996,634480,707225
1996,245631,2270332
1992,255055,4136113
1992,297596,6028513
1995,256267,229971
1997,69930,7516123
1993,757904,392374
1993,184290,2556179
1998,234827,2965126
1998,261769,3980725
1997,33414,3555814
1993,78937,5287966
1992,400592,805987
1994,480258,713220
1992,530443,1458685
1992,10960,5725137
1993,400972,2313093
1993,736341,2534250
1995,477116,104936
1995,674055,3094263
1995,39561,5188936
1998,606513,3406752
1998,62830,4869326
1993,612985,174611
1993,29703,2947023
1993,686004,752377
1995,93480,4273092
1995,513362,1829202
1995,545197,1808599
1993,103239,1565209
1993,734929,1319734
1993,742703,2618505
1996,182783,7981806
1997,225570,3876491
1998,621988,6417432
1992,482565,5253898
1992,592255,6135285
1995,489920,8212570
1992,497692,7265581
1996,702828,7330483
