"s_nation","d_year","lo_custkey","lo_revenue"
"CHINA",1993,668873,2805001
"CHINA",1996,748457,1284260
"INDONESIA",1997,1004,4779401
"CHINA",1997,337789,3231162
"CHINA",1993,399400,836007
"VIETNAM",1992,170572,3778329
"INDIA",1996,284002,6257018
"INDIA",1996,491830,3938736
"JAPAN",1995,630715,1103646
"INDIA",1994,317378,952191
"INDIA",1994,317378,717854
"INDIA",1994,247055,3256126
"INDIA",1997,549839,2172528
"CHINA",1997,549839,4432628
"VIETNAM",1996,827509,6793974
"INDONESIA",1997,237442,4868287
"JAPAN",1992,62555,8409561
"CHINA",1996,145933,2918948
"CHINA",1995,296294,1111415
"VIETNAM",1995,296294,2900501
"VIETNAM",1992,17383,2327654
"CHINA",1992,549598,3653750
"JAPAN",1992,549598,6520773
"INDIA",1992,369601,5881645
"JAPAN",1994,72899,6288418
"INDIA",1994,72899,5679485
"INDIA",1993,519205,3793551
"CHINA",1993,519205,4037586
"CHINA",1993,519205,721464
"INDONESIA",1994,748553,4886523
"VIETNAM",1993,669020,8992092
"VIETNAM",1994,515320,4559324
"INDONESIA",1997,539899,7310262
"JAPAN",1997,254855,7931700
"CHINA",1995,494077,5469502
"INDONESIA",1993,66985,2877877
"VIETNAM",1993,243211,4991193
"CHINA",1993,243211,209303
"CHINA",1993,243211,5669827
"JAPAN",1992,880186,3565813
"VIETNAM",1996,748984,7077607
"JAPAN",1996,743713,156130
"INDIA",1996,746795,7657982
"INDONESIA",1996,746795,6149177
"INDIA",1996,130996,2371797
"JAPAN",1996,433900,890145
"VIETNAM",1996,433900,2984556
"VIETNAM",1996,433900,2093882
"INDIA",1994,742804,6236537
"INDIA",1993,389275,2171601
"INDIA",1993,389275,5112474
"JAPAN",1993,441802,1823435
"JAPAN",1992,380479,1603276
"VIETNAM",1992,372325,4904872
"INDONESIA",1994,854020,1285148
"VIETNAM",1993,284729,4458616
"VIETNAM",1997,130534,3936453
"VIETNAM",1992,570394,3034763
"CHINA",1992,570394,3750488
"INDIA",1994,353494,2639288
"INDIA",1993,748528,2706961
"INDONESIA",1996,754052,2529058
"INDONESIA",1996,754052,5334977
"CHINA",1994,600892,991476
"CHINA",1994,600892,3165402
"JAPAN",1994,280979,2413478
"INDIA",1994,280979,5839097
"INDONESIA",1997,392939,5597742
"INDIA",1997,306382,6180128
"JAPAN",1993,431201,3876195
"VIETNAM",1993,431201,3689926
"VIETNAM",1994,390014,6972652
"INDIA",1994,390014,110413
"JAPAN",1994,390014,419846
"VIETNAM",1996,259513,750297
"VIETNAM",1996,230614,5653319
"INDIA",1996,230614,7313526
"CHINA",1995,96550,8527740
"INDONESIA",1994,2915,3361986
"INDIA",1992,211949,3124883
"VIETNAM",1993,17020,2395510
"CHINA",1993,731179,6540932
"INDIA",1992,326848,7852431
"JAPAN",1992,622921,6839389
"JAPAN",1992,622921,8125104
"JAPAN",1993,630100,1000298
"INDIA",1995,668245,3714282
"JAPAN",1995,668245,3174774
"INDIA",1992,482506,6374062
"VIETNAM",1992,482506,7478124
"INDIA",1995,584168,1702701
"INDONESIA",1995,584168,9141481
"CHINA",1992,85769,3458599
"VIETNAM",1992,85769,2478659
"INDONESIA",1992,610558,2865829
"VIETNAM",1993,726380,5976730
"VIETNAM",1993,726380,5253400
"CHINA",1993,656753,2767428
"VIETNAM",1996,432842,1456368
"INDONESIA",1996,158260,3167588
"INDIA",1997,363862,1080058
"CHINA",1993,425776,1012029
"CHINA",1992,96608,319989
"INDONESIA",1992,96608,336532
"INDIA",1995,254764,3255323
"CHINA",1992,829274,1542144
"INDIA",1992,829274,2856321
"VIETNAM",1996,203572,230612
"VIETNAM",1994,504949,1103582
"VIETNAM",1994,504949,1308534
"INDONESIA",1994,568141,683992
"INDONESIA",1994,568141,7121131
"INDIA",1994,568141,6470739
"INDONESIA",1996,335221,3922301
"JAPAN",1992,186265,7584538
"CHINA",1992,186265,7454744
"JAPAN",1992,186265,6559384
"INDONESIA",1997,370300,3353109
"CHINA",1992,545830,801039
"JAPAN",1992,382849,1352691
"CHINA",1994,317854,1702127
"VIETNAM",1994,317854,1612521
"CHINA",1996,669377,2777847
"CHINA",1996,669377,1280030
"JAPAN",1993,603668,5639982
"INDIA",1996,387364,2293137
"INDONESIA",1996,387364,6594092
"INDONESIA",1992,694277,4031769
"JAPAN",1992,694277,6307194
"VIETNAM",1992,694277,478085
"JAPAN",1993,743506,2836997
"INDIA",1993,743506,5810950
"VIETNAM",1992,797351,7466867
"JAPAN",1994,571099,4969577
"CHINA",1994,272041,4367088
"CHINA",1994,272041,2555334
"INDONESIA",1994,553531,6277572
"JAPAN",1994,780340,3240460
"VIETNAM",1994,780340,3378715
"INDONESIA",1995,192733,8803986
"INDONESIA",1997,132301,840864
"VIETNAM",1993,23885,352956
"VIETNAM",1993,23885,5548052
"CHINA",1996,409163,4574453
"INDIA",1996,409163,5378501
"INDONESIA",1995,535348,4109808
"INDIA",1995,535348,3263022
"INDIA",1996,273545,1486038
"VIETNAM",1996,273545,3235234
"JAPAN",1992,155950,1446535
"INDONESIA",1995,535316,973736
"INDONESIA",1993,234362,4644303
"INDONESIA",1996,511633,7667285
"INDIA",1995,353668,4666007
"CHINA",1992,497188,117406
"INDIA",1992,633799,3797787
"INDIA",1995,512548,4818198
