"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST4",1994,146044,4142402
"UNITED ST8",1994,146044,169506
"UNITED ST2",1996,5497,3923387
"UNITED ST5",1997,819574,6878778
"UNITED ST4",1996,827807,1901580
"UNITED ST1",1997,330322,643153
"UNITED ST6",1996,575423,3561783
"UNITED ST0",1997,389572,6615813
"UNITED ST1",1994,213413,3197832
"UNITED ST9",1995,329306,7720592
"UNITED ST0",1993,37279,2788896
"UNITED ST3",1995,539617,1247754
"UNITED ST3",1993,405004,7550205
"UNITED ST8",1994,694939,8101894
"UNITED ST6",1993,183454,6862795
"UNITED ST6",1997,579998,2033994
"UNITED ST7",1994,189241,6784972
"UNITED ST0",1995,681163,3534301
"UNITED ST3",1993,318361,3602392
"UNITED ST0",1997,108431,3146952
"UNITED ST5",1996,113008,5770777
"UNITED ST4",1995,542989,3998165
"UNITED ST9",1993,59677,2859536
"UNITED ST1",1992,753982,2932857
"UNITED ST0",1996,116269,6046488
"UNITED ST1",1992,154924,157045
"UNITED ST9",1993,541624,657280
"UNITED ST1",1992,105590,1156169
"UNITED ST8",1995,564088,3233007
"UNITED ST3",1995,884806,108858
"UNITED ST8",1995,233215,167748
"UNITED ST6",1995,233215,8412231
"UNITED ST6",1992,892651,1932740
"UNITED ST2",1992,91397,4651096
"UNITED ST0",1992,91397,2796432
"UNITED ST2",1996,695254,4441282
"UNITED ST3",1993,409138,2040707
"UNITED ST3",1996,365816,2810120
"UNITED ST1",1995,408968,529495
"UNITED ST4",1996,605863,4057754
"UNITED ST0",1997,880036,4289673
"UNITED ST0",1994,646451,1680670
"UNITED ST0",1994,646451,6975416
"UNITED ST4",1997,451807,5345998
"UNITED ST6",1994,152216,6977388
"UNITED ST5",1995,523204,1170751
"UNITED ST1",1994,294916,5208092
"UNITED ST3",1993,61478,1650240
"UNITED ST3",1997,530848,5941847
"UNITED ST4",1992,334585,427230
"UNITED ST2",1997,306415,190089
"UNITED ST2",1997,199576,4378718
"UNITED ST6",1993,325232,1426041
"UNITED ST2",1996,587410,6649009
"UNITED ST0",1997,483518,1354480
"UNITED ST0",1996,38206,3219157
"UNITED ST3",1996,38206,8815130
"UNITED ST1",1993,639979,5779127
"UNITED ST5",1995,151837,8089771
"UNITED ST0",1995,244120,7256610
"UNITED ST6",1995,597284,2351396
"UNITED ST5",1994,103373,4448873
"UNITED ST7",1995,854995,3880336
"UNITED ST3",1994,247073,6110619
"UNITED ST9",1995,63706,4733729
"UNITED ST6",1997,549071,4068288
"UNITED ST1",1994,119375,2058160
"UNITED ST0",1996,219370,6004843
"UNITED ST5",1994,829621,2175237
"UNITED ST2",1995,467099,1648912
"UNITED ST3",1992,359776,403914
"UNITED ST8",1997,876472,1653335
"UNITED ST0",1997,876472,5435720
"UNITED ST9",1995,264221,683739
"UNITED ST6",1992,161453,616910
"UNITED ST5",1995,645883,3767559
"UNITED ST9",1993,469259,2550734
"UNITED ST5",1994,348898,3365066
"UNITED ST8",1995,813929,3989168
"UNITED ST2",1994,76402,2854734
"UNITED ST9",1997,594433,1297185
"UNITED ST3",1994,487429,2523210
"UNITED ST0",1994,507530,3831804
"UNITED ST5",1992,301426,5565700
"UNITED ST3",1995,852802,4621276
"UNITED ST6",1994,128266,7312200
"UNITED ST6",1992,554420,136312
"UNITED ST1",1992,554420,3329802
"UNITED ST9",1996,432832,2782982
"UNITED ST6",1995,784069,1172260
"UNITED ST3",1994,630646,5276560
"UNITED ST4",1993,439882,4850516
"UNITED ST4",1995,356737,7144141
"UNITED ST8",1994,776819,4705216
"UNITED ST2",1994,776819,2498973
"UNITED ST1",1993,342001,1370809
"UNITED ST9",1994,601517,2955714
"UNITED ST6",1992,401200,1720355
"UNITED ST7",1996,315880,3296424
"UNITED ST9",1995,273337,120469
"UNITED ST5",1992,822403,5378015
"UNITED ST5",1996,813577,1518429
"UNITED ST7",1993,5611,2679430
"UNITED ST2",1994,685339,4339890
"UNITED ST6",1997,173374,100917
"UNITED ST4",1996,398854,5355306
"UNITED ST8",1992,270481,1637481
"UNITED ST5",1992,270481,1937045
"UNITED ST9",1992,203974,4660508
"UNITED ST9",1994,567970,4727614
"UNITED ST6",1994,66050,2778371
"UNITED ST5",1992,361894,6115384
"UNITED ST6",1992,387851,7072658
"UNITED ST8",1992,426371,5373938
"UNITED ST4",1995,153011,4378170
"UNITED ST6",1993,354011,497110
"UNITED ST8",1995,499534,6395173
"UNITED ST9",1995,499534,4456128
"UNITED ST7",1995,499534,3501724
"UNITED ST8",1996,417322,5045086
"UNITED ST7",1996,476878,100401
"UNITED ST4",1996,657154,1976076
"UNITED ST9",1994,849917,4335586
"UNITED ST1",1995,418933,3462480
"UNITED ST1",1992,528199,105480
"UNITED ST3",1993,195943,4068543
"UNITED ST2",1995,401123,5015629
"UNITED ST7",1994,569668,6741896
"UNITED ST3",1993,683290,2894778
"UNITED ST9",1995,21526,4195218
"UNITED ST6",1992,469220,2710160
"UNITED ST1",1994,366541,6040823
"UNITED ST1",1997,64969,3047895
"UNITED ST5",1996,711484,4942582
"UNITED ST9",1996,487789,2947253
"UNITED ST9",1994,53381,3643080
"UNITED ST6",1994,219571,8841292
"UNITED ST1",1996,229082,3297282
"UNITED ST9",1997,506449,3214368
"UNITED ST0",1996,291197,2144801
"UNITED ST1",1996,783550,1534667
"UNITED ST8",1997,608285,5379379
"UNITED ST8",1993,594046,2329774
"UNITED ST7",1992,747896,2598192
"UNITED ST8",1997,814352,5050811
"UNITED ST7",1994,398663,2949300
"UNITED ST0",1992,303334,6165794
"UNITED ST1",1995,683218,8124401
"UNITED ST5",1996,709216,1240467
"UNITED ST7",1994,709073,8071371
"UNITED ST8",1994,709073,3669237
"UNITED ST2",1997,253435,2653759
"UNITED ST0",1997,253435,4742074
"UNITED ST8",1994,129704,2811167
"UNITED ST0",1992,763948,8734410
"UNITED ST6",1997,273571,1620482
"UNITED ST2",1993,688879,7491192
"UNITED ST8",1993,262228,3973572
"UNITED ST9",1995,574444,8159564
"UNITED ST7",1994,517576,984342
"UNITED ST1",1992,52487,6514140
"UNITED ST6",1993,629893,4493961
"UNITED ST1",1995,840034,5366957
"UNITED ST2",1994,397675,1678713
"UNITED ST9",1992,315566,1745533
"UNITED ST8",1996,757505,1891825
"UNITED ST8",1997,6220,3623492
"UNITED ST5",1992,571915,7553252
"UNITED ST2",1995,171487,4248104
"UNITED ST1",1992,33568,2487095
"UNITED ST7",1994,452041,6961557
"UNITED ST7",1994,535984,166452
"UNITED ST2",1995,174010,464369
"UNITED ST9",1993,478504,579399
"UNITED ST3",1992,695747,5653267
"UNITED ST7",1992,617827,595790
"UNITED ST0",1994,242476,789421
"UNITED ST8",1992,65374,4883106
"UNITED ST0",1995,156256,1844262
"UNITED ST7",1994,653659,4714866
"UNITED ST4",1997,442168,7290005
"UNITED ST3",1993,89573,1047116
"UNITED ST9",1995,597346,2913444
"UNITED ST9",1997,302329,2931015
"UNITED ST1",1996,274462,185945
"UNITED ST2",1997,152743,3245424
"UNITED ST7",1995,349121,2917046
"UNITED ST1",1994,632305,3576188
"UNITED ST0",1993,329521,2577925
"UNITED ST1",1993,329521,5061421
"UNITED ST6",1992,117064,1078277
"UNITED ST1",1995,356108,6094972
"UNITED ST8",1992,382789,1208070
"UNITED ST7",1996,893210,1750731
"UNITED ST9",1992,539329,5561598
"UNITED ST6",1992,180820,4540991
"UNITED ST7",1995,131984,388596
"UNITED ST3",1994,850226,3540498
"UNITED ST0",1994,850226,5846175
"UNITED ST7",1996,610388,3316961
"UNITED ST2",1992,542650,2065298
"UNITED ST8",1997,846650,3138124
"UNITED ST3",1995,623090,910483
"UNITED ST5",1996,518926,1759031
"UNITED ST7",1993,500554,2865412
"UNITED ST8",1992,438047,2185362
"UNITED ST7",1996,478915,6882013
"UNITED ST7",1993,63194,1817797
"UNITED ST0",1996,242482,2507920
"UNITED ST3",1996,172892,4691299
"UNITED ST3",1995,753280,2605919
"UNITED ST9",1995,398375,2207241
"UNITED ST5",1995,595892,698384
"UNITED ST0",1997,543844,8112300
"UNITED ST3",1994,899465,1310751
"UNITED ST0",1992,396496,8531784
"UNITED ST0",1992,396496,2226719
"UNITED ST2",1993,805828,1797612
"UNITED ST7",1996,115049,661279
"UNITED ST9",1993,415148,4043915
"UNITED ST2",1994,701194,6575230
"UNITED ST6",1996,258920,1252352
"UNITED ST3",1994,526573,1807209
"UNITED ST7",1995,398647,8061891
"UNITED ST3",1994,623116,8151232
"UNITED ST3",1995,330907,3729297
"UNITED ST2",1995,330907,516947
"UNITED ST9",1996,171710,3527328
"UNITED ST3",1997,513979,2142474
"UNITED ST1",1995,226510,2267376
"UNITED ST7",1995,226510,1745161
"UNITED ST9",1993,665293,6595592
"UNITED ST6",1993,665293,3003238
"UNITED ST9",1993,198046,6804373
"UNITED ST6",1997,500434,6427234
"UNITED ST9",1997,860539,1986376
"UNITED ST2",1995,213925,6378587
"UNITED ST8",1995,213925,2819596
"UNITED ST9",1997,515861,7659082
"UNITED ST1",1992,183298,632229
"UNITED ST0",1993,507031,9347620
"UNITED ST9",1995,81770,7050532
"UNITED ST5",1995,555778,7042750
"UNITED ST0",1997,208303,4864432
"UNITED ST0",1993,687698,4151574
"UNITED ST7",1996,690484,585736
"UNITED ST4",1994,140593,7731145
"UNITED ST9",1995,271867,3783942
"UNITED ST6",1993,844421,2070861
"UNITED ST2",1994,88144,3723461
"UNITED ST7",1993,788144,6142623
"UNITED ST1",1995,345142,3779358
"UNITED ST4",1995,363361,4132615
"UNITED ST5",1992,249412,763381
"UNITED ST4",1997,830960,3274097
"UNITED ST6",1992,880294,4850555
"UNITED ST2",1993,439453,7214078
"UNITED ST1",1995,856970,5147319
"UNITED ST6",1993,407831,3374756
"UNITED ST3",1993,65509,5537274
"UNITED ST9",1993,305725,5446643
"UNITED ST5",1992,361786,2210115
"UNITED ST9",1995,136733,3188808
"UNITED ST4",1992,101539,1880675
"UNITED ST9",1995,165466,1854591
"UNITED ST9",1997,249238,5811050
