"s_nation","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"UNITED STATES",1992,711239,556584,1786569,98433
"PERU",1992,632981,257523,2694528,88830
"BRAZIL",1992,77611,128793,6962881,109307
"ARGENTINA",1992,130099,27604,918960,91896
"BRAZIL",1993,186377,514834,166392,110928
"ARGENTINA",1992,199912,105708,1115618,102822
"ARGENTINA",1992,379414,141443,6074328,89066
"CANADA",1992,874214,350009,105899,63539
"UNITED STATES",1992,664474,229319,4159335,74898
"UNITED STATES",1993,583555,584373,6558075,87441
"CANADA",1993,75526,238622,1966368,93636
"PERU",1992,268199,32942,7053524,112496
"BRAZIL",1992,268199,44086,3800995,61804
"ARGENTINA",1993,26083,145731,3830629,106603
"PERU",1992,497068,461381,134236,80541
"ARGENTINA",1993,647143,483587,5716838,94233
"BRAZIL",1993,182039,685485,5168631,88227
"CANADA",1992,741265,709140,3954087,68946
"ARGENTINA",1992,741265,111295,2534202,78377
"ARGENTINA",1992,670480,411096,2382727,60424
"PERU",1992,670480,521594,148632,96934
"PERU",1992,670480,21764,5006707,101145
"PERU",1992,885676,625810,5387861,104146
"UNITED STATES",1992,703961,476483,3882163,87567
"UNITED STATES",1993,860641,560319,4413728,82757
"CANADA",1993,860641,480263,915024,74594
"BRAZIL",1993,888877,760326,2911209,83177
"BRAZIL",1992,867619,725270,5440008,77714
"BRAZIL",1993,373015,93261,851642,75255
"PERU",1992,745366,256604,4020079,93635
"UNITED STATES",1993,235874,571852,7887703,115429
"BRAZIL",1992,46274,394078,2943042,70323
"BRAZIL",1993,550979,224572,4489680,89793
"PERU",1993,445660,720522,146536,92549
"PERU",1992,413623,84959,762028,116637
"BRAZIL",1993,406477,585995,9364365,124858
"ARGENTINA",1992,647617,398738,2755080,110203
"PERU",1992,647617,369220,1837124,77352
"UNITED STATES",1992,135700,187968,2512383,123357
"UNITED STATES",1992,135700,125008,3718800,61980
"UNITED STATES",1992,766306,678464,1507339,86545
"ARGENTINA",1993,31108,350515,5466726,93930
"BRAZIL",1993,31108,684570,6634776,93272
"BRAZIL",1992,641239,710256,4011384,75973
"CANADA",1992,641239,456148,3461416,66247
"ARGENTINA",1992,641239,68697,1704000,99941
"CANADA",1993,762928,456872,2353729,109731
"BRAZIL",1993,627571,755784,7726950,110385
"ARGENTINA",1993,39595,212488,2576864,84028
"CANADA",1993,39595,787765,3920376,111163
"BRAZIL",1993,801781,488617,1642518,96335
"BRAZIL",1992,659891,693739,4158480,103962
"ARGENTINA",1993,81664,7050,272759,57423
"ARGENTINA",1993,797788,544577,2065854,97293
"ARGENTINA",1993,220042,686131,1563940,67026
"BRAZIL",1992,393523,762592,307748,99273
"PERU",1992,32125,627934,5714171,111714
"BRAZIL",1992,587059,490862,8988126,111170
"CANADA",1993,679550,773749,4626037,109362
"UNITED STATES",1993,679550,726638,6513579,99876
"CANADA",1993,679550,589083,1558839,70323
"CANADA",1993,187009,148381,1556594,85762
"BRAZIL",1992,264193,382593,6700644,100534
"PERU",1992,264193,625608,2277351,92014
"BRAZIL",1992,570413,717113,2657948,67804
"UNITED STATES",1992,601813,241025,4177027,57960
"BRAZIL",1992,601813,393259,2669321,81134
"BRAZIL",1993,232996,310223,3703329,73992
"CANADA",1993,890963,595810,701330,114347
"BRAZIL",1993,890963,788234,3450942,79332
"UNITED STATES",1992,291631,244894,1382837,110332
"BRAZIL",1992,22048,625421,969400,80783
"CANADA",1992,647423,642367,4318170,78559
"CANADA",1992,647423,788333,6893305,85278
"PERU",1992,839347,456578,6532579,92073
"ARGENTINA",1992,342844,604539,1443500,86610
"ARGENTINA",1992,342844,475606,7117110,94894
"CANADA",1992,342844,700029,293262,61739
"UNITED STATES",1993,247162,126698,320792,103481
"UNITED STATES",1993,247162,244214,4892236,69492
"UNITED STATES",1993,247162,428719,5266017,98861
"PERU",1993,107362,418111,946762,61745
"PERU",1993,107362,564083,4561857,68823
"BRAZIL",1993,107362,537531,6708517,94110
"UNITED STATES",1993,107362,672083,105505,63303
"CANADA",1993,116363,231077,2368941,60483
"UNITED STATES",1993,734605,227606,437073,92015
"PERU",1992,112490,276036,4809119,60721
"CANADA",1992,112490,129270,3826350,77956
"CANADA",1993,298450,27214,429094,68472
"BRAZIL",1993,298450,571918,4974725,119393
"PERU",1992,459806,716720,4949566,104201
"ARGENTINA",1993,388403,660896,4642150,111411
"UNITED STATES",1993,388403,467524,1044050,89490
"UNITED STATES",1992,270265,572017,1924245,65339
"CANADA",1992,270265,774788,3040008,111765
"UNITED STATES",1992,64903,382322,963356,84258
"PERU",1993,464615,574276,4018344,81015
"UNITED STATES",1992,130946,722132,3179545,69246
"BRAZIL",1993,853456,681878,6628469,111590
"PERU",1992,195784,711374,3324816,83120
"CANADA",1992,633739,453245,455323,71893
"BRAZIL",1992,633739,291974,933831,117957
"CANADA",1993,538409,693353,1938700,80779
"UNITED STATES",1992,144355,781972,1560994,123236
"ARGENTINA",1992,61744,350042,2568454,65521
"UNITED STATES",1992,556384,599019,2417094,67079
"CANADA",1992,556384,164734,4799011,107923
"CANADA",1992,133534,679299,5522083,76695
"UNITED STATES",1992,133534,3283,4580227,71176
"BRAZIL",1992,600319,282110,2813249,65526
"UNITED STATES",1993,409384,779798,6129008,112665
"CANADA",1993,409384,454285,3762393,74355
"ARGENTINA",1992,8095,486300,643140,77176
"UNITED STATES",1992,406817,707211,5211374,73090
"ARGENTINA",1992,406817,434209,4280065,68590
"BRAZIL",1992,47014,711394,4452180,84321
"CANADA",1992,149374,586648,478755,104077
