"s_city","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST9",1992,316831,342372,3530242,84861
"UNITED ST7",1992,316831,635410,885260,80722
"UNITED ST0",1993,351334,724259,4619592,76993
"UNITED ST4",1993,698372,357791,6589051,110926
"UNITED ST2",1993,769381,756680,6621846,104199
"UNITED ST9",1993,495347,347476,6793108,91407
"UNITED ST0",1993,223610,415915,1076563,109853
"UNITED ST6",1992,580208,694943,7325299,116274
"UNITED ST7",1992,448387,438059,1340008,59821
"UNITED ST8",1992,412153,419166,850749,65108
"UNITED ST6",1992,412153,115650,1665650,99939
"UNITED ST2",1993,190837,534010,297537,62639
"UNITED ST0",1993,584074,135,397489,62107
"UNITED ST5",1992,223405,632565,290520,89851
"UNITED ST0",1993,861874,690580,3797589,94233
"UNITED ST2",1993,732719,744021,4556027,63899
"UNITED ST3",1993,600629,449109,211616,63484
"UNITED ST2",1993,554359,573442,5791935,90925
"UNITED ST8",1993,650893,485598,6052404,95014
"UNITED ST7",1992,140227,652762,7901475,102883
"UNITED ST0",1993,275329,798387,558491,89121
"UNITED ST8",1992,311761,487629,1280347,96996
"UNITED ST6",1992,880793,724764,6697005,107323
"UNITED ST9",1992,485578,93602,5638850,95736
"UNITED ST3",1993,749953,516487,5277144,90207
"UNITED ST0",1992,252286,773901,2322447,118492
"UNITED ST1",1993,64276,343028,1693266,64260
"UNITED ST0",1992,635708,794628,1295387,103355
"UNITED ST6",1992,615781,219020,3005771,56340
"UNITED ST6",1992,5468,467813,7867530,106847
"UNITED ST2",1992,209431,516868,7712765,113090
"UNITED ST2",1992,556712,320823,1865935,110628
"UNITED ST0",1992,701557,649428,2589493,82643
"UNITED ST0",1993,524866,305400,5881557,84323
"UNITED ST4",1993,185581,737330,4648820,82038
"UNITED ST2",1992,578461,501725,5527166,103602
"UNITED ST6",1992,119690,679015,3846702,59638
"UNITED ST4",1992,863638,762818,1354161,112846
"UNITED ST8",1992,863638,404807,1090403,102706
"UNITED ST5",1992,689309,788307,3654212,83716
"UNITED ST6",1992,336815,224848,1499814,106369
"UNITED ST8",1992,459844,333826,7439240,111588
