"lo_custkey","lo_orderdate","lo_revenue","lo_suppkey"
849812,19930807,1829040,53660
461443,19930629,2777630,4925
461443,19930629,3750350,30787
513248,19931105,3102293,42930
513248,19931105,2379628,42099
827677,19930517,2643650,40319
827677,19930517,2984083,34749
827677,19930517,1548691,40414
827677,19930517,2647384,41081
373939,19930815,2591284,58653
373939,19930815,1946659,27963
170485,19930425,2366967,19549
122503,19931104,2208038,33726
432482,19930905,2809373,39105
432482,19930905,2563156,14002
589576,19930312,2362380,28392
589576,19930312,2019254,59792
444388,19930126,2473361,857
5974,19931110,1810787,43797
487211,19930422,2446844,58773
487211,19930422,3583434,15458
225884,19930826,2113965,15186
217288,19930622,2066763,16253
217288,19930622,1814591,29158
538165,19931118,1791465,22908
538165,19931118,2199535,23686
538165,19931118,1418027,35714
531760,19931027,2223129,21117
843683,19930715,2636022,46468
628072,19930724,2020003,10721
776143,19930213,1642572,58504
323228,19930102,2287615,22693
342728,19930225,2319420,11275
832528,19930927,1922264,34872
832528,19930927,2690469,57269
832528,19930927,2082911,48751
299881,19931218,3025265,15109
299881,19931218,3943375,57548
181135,19930328,2855754,9967
181135,19930328,2142189,55230
181135,19930328,2616831,41511
181135,19930328,1366387,45414
278774,19931002,3199806,51550
396145,19930206,2262906,50173
396145,19930206,2344150,2291
396145,19930206,2555538,42735
236080,19930213,2824709,10380
236080,19930213,1915458,19202
236080,19930213,2058355,38896
206839,19930323,1712767,50
545746,19930120,2947936,56696
545746,19930120,3034694,40854
207622,19931004,1856872,27567
113335,19931230,2728813,38758
544666,19931109,2810465,39824
350030,19930801,1762556,16450
550997,19931101,2126145,17841
834307,19931213,2508378,21370
182815,19931026,1272849,25699
182815,19931026,1540786,32313
182815,19931026,2211284,18081
74119,19931013,2353981,55476
483604,19930701,1733284,4350
501959,19930314,2342188,45302
11818,19930605,1848759,52649
11818,19930605,2263740,42759
785905,19930619,1770964,46896
821290,19930902,2424808,31321
850201,19930127,3073891,47813
55927,19930903,2217183,35120
55927,19930903,3841094,29374
775898,19930305,3600954,33539
775898,19930305,2272812,44588
483058,19931208,1842570,3904
543760,19930718,1141536,221
626995,19930610,1751684,6356
626995,19930610,2616540,58156
626995,19930610,1603287,25536
819173,19930510,2663402,33603
67861,19930818,2027530,33788
67861,19930818,1661972,16959
579725,19931023,1943148,37439
579725,19931023,2759940,17414
520183,19930323,2658963,7955
671488,19930615,2312336,57258
671488,19930615,1572332,40725
671488,19930615,2860090,44861
695068,19930311,2792518,38844
10804,19930423,3111149,5019
255055,19930716,1660582,9683
689755,19930206,2210266,53719
66866,19930501,1779750,19576
600679,19930425,1497511,7231
600679,19930425,2471500,46643
51232,19930620,2572823,15119
445201,19930716,2935696,41493
789721,19930528,3055496,21315
507994,19930906,3291373,49488
507994,19930906,3307240,17433
507994,19930906,1868220,4142
507994,19930906,2217385,2272
507994,19930906,3169887,16969
583801,19930113,1472827,7101
832156,19930226,2390566,10246
736486,19930113,3414706,9108
736486,19930113,2667799,41005
489637,19930524,2137354,28553
489637,19930524,1411256,9095
807373,19930922,1982521,47855
807373,19930922,2359712,20619
808,19930414,2365139,751
808,19930414,3563191,20833
819181,19931020,2182649,4748
819181,19931020,1962861,54384
819535,19930831,1787924,8753
304798,19930206,3540476,2210
740074,19931212,2439222,32952
612850,19930111,2637922,10993
612850,19930111,1611480,19302
612850,19930111,1425014,33733
389671,19931113,3266501,20148
678458,19931213,3058259,29996
103477,19931110,2101886,21275
794630,19930403,2238120,45561
244679,19930526,1889797,37990
116570,19930701,2742723,35531
664276,19930603,2359282,7448
664276,19930603,2215478,48939
450100,19930327,2063449,16721
298181,19931226,3185230,5262
621895,19930620,2265798,29638
555394,19930824,1792647,35536
635515,19930507,1534812,39355
635515,19930507,1273260,17416
756202,19931217,2178216,16660
756202,19931217,1814086,17794
792571,19930831,2420999,24918
708098,19931102,2189690,39785
708098,19931102,2657956,21875
390757,19930928,1175148,25740
88573,19930925,1850472,5783
88573,19930925,1509596,49525
88573,19930925,3433999,32755
501886,19930907,1411384,29837
735280,19930126,1692649,59759
306184,19930705,2925822,4587
306184,19930705,1119744,46879
844493,19930705,2326418,34337
169363,19931009,2267128,59343
686779,19930101,3270402,28196
176330,19930720,3376401,3182
176330,19930720,2435988,12243
770722,19931118,3624122,20225
533431,19930321,1453971,40712
781513,19930603,2328706,26771
175666,19930527,2812017,1404
122581,19930423,2488560,37820
814234,19930326,1996660,49786
216445,19931001,1380659,27891
106789,19930110,2807827,18910
511543,19930620,1484475,5008
313747,19930114,3016832,59601
863260,19930619,1936025,4460
795737,19930115,2082828,14729
687554,19931227,2776928,42662
536803,19931021,3446049,39955
430750,19931014,2242239,57401
407797,19930411,2484580,56596
207109,19930716,3582069,59208
737107,19930621,1466520,13404
307198,19931228,2018538,39231
675337,19930813,1490261,15870
268946,19930802,3171844,13741
842464,19930930,1680032,31510
112853,19930219,2621308,49786
112853,19930219,3252853,59620
867529,19930821,2716214,37125
867529,19930821,1678883,8404
867529,19930821,2479113,24531
471991,19931218,1405687,40327
669955,19931103,2997843,8164
27569,19930510,3143314,41343
748441,19930727,1291303,458
95236,19930313,2461590,30183
485864,19931104,2938250,54380
740270,19930726,2749155,55369
778240,19930720,2923005,57265
778240,19930720,1887316,16226
262576,19930525,1896772,30503
262576,19930525,1661573,30888
401428,19931103,2107727,30657
384202,19930814,2453205,4077
615577,19930212,2120877,2144
588493,19930328,2430594,56826
587446,19930527,1756822,43002
331036,19930924,2384975,32462
161936,19930720,2386393,20727
523951,19930619,2481880,22523
523951,19930619,2389791,53244
844774,19930220,3424879,12465
531904,19930608,1276637,10518
290386,19931025,2246143,28886
655570,19930404,4025634,19892
655570,19930404,2638924,55736
628297,19930114,3721961,33073
366505,19930927,3067087,11703
414860,19930817,3217951,17100
414860,19930817,2781019,50689
414860,19930817,2002453,34282
414860,19930817,1286430,30211
414860,19930817,2681824,23266
157597,19930131,1706922,50141
30143,19930512,1999648,12410
234196,19931008,2055852,15850
709813,19931124,3079248,21213
709813,19931124,1679986,3103
718678,19931105,1645724,16946
861133,19931201,1600143,18873
861133,19931201,2125012,24249
156586,19930728,3969104,28931
623510,19930505,3192454,5620
710473,19930131,1459312,58037
236189,19930522,3107236,58538
385585,19930115,1843698,18186
761843,19931015,2218557,13843
485725,19930608,2952076,28684
356122,19931221,1731655,54488
356122,19931221,3017974,54142
356122,19931221,2420167,7624
739909,19930220,2775307,2136
